类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,御营使司（南宋）,,,,,,,,,总五军，置都统制官一员；每军一万人，统制官一员，下设十将。各军均置虎符。使司，以宰相兼御营使，执政官兼御营副使（《要录》卷24，辛未），又有参赞军事、提举一行事务等官（《朝野杂记》甲集卷10《御营使》）。,,,南宋初，三衙禁旅废弛，行在诸军不相统一，为加强对扈从诸军的统一指挥，特设本司，一度独擅兵柄（《要录》卷5，丁酉、《宋会要•职官》32之35）。,,①御营司。《宋史•职官志》2《御营使》：“建炎元年，置御营司。”《要录》卷24，辛未：“御营使司奏诸军并以万人为一军。”②御营。《宋史•韩世忠传》：“康王即位，……初建御营，为左军统制。”,宋代官制辞典第202页,唐天祐元年（904）正月始置（《通鉴》卷264）。南宋建炎元年（1127）五月八日置，四年六月四日罢。隆兴元年（1162）六月复置，隆兴元年（1163）十月罢。（《朝野杂记》甲集卷10《御营使》、《宋会要•职官》32之35）。,,,,
,御营使,,,,,,,以宰相兼领（同上书卷）。,,一员或二员（参《中兴圣政》卷3，建炎二年十二月）。,,,总齐行在五军政令，及有关边防措置等事（《宋史•职官志》2《御营使》）。,,,宋代官制辞典第202页,五代后晋天福八年（943）已有御营使之名（《新五代史•晋本纪》）。,,,,
,御营副使,,,,,,,,,,,,,,,宋代官制辞典第202页,,,,,
,御营司参赞军事,,,,,,,,,,,,,,御营参赞军事（《宋史•高宗纪》2，建炎二年十二月）。《要录》卷21，癸卯：“御营使司参赞军事张浚。”,宋代官制辞典第202页,,,,,
,御营司参议官,,,,,,,,,,,,,,,宋代官制辞典第202页,,,,,
,提举御营使司一行事务,,,,,,,,,,,,,,,宋代官制辞典第202页,,,,,
,御营使司都统制司,,,,,,,,,,,,,,都统司。《要录》卷21，戊戌：“苗傅闻世忠自海道还，以都统司檄命世忠屯江阴。”《要录》卷21，癸未：“苗傅承宣使、御营都统制。”《要录》卷21，丁亥：“御营都统制司参议官王钧甫。”,宋代官制辞典第202页,,,,,
,御营使司都统制,,,,,,,,,,,,,,都统制。《要录》卷20，癸丑：“都统制王渊。”同前书卷10，丁卯：“御营使司都统制王渊。”,宋代官制辞典第202页,,,,,
,御营使司同都统制,,,,,,,,,,,,,,,宋代官制辞典第202页,,,,,
,御营使司副都统制,,,,,,,,,,,,,,御营副都统制。《要录》卷21，癸未：“刘正彦观察使、御营副都统制。“同前书卷庚寅：“渭州观察使、御营使司副都统制刘正彦。”,宋代官制辞典第202页,,,,,
,御营都副统制,,,,,,,,,,,,,,,宋代官制辞典第202页，宋代官制辞典第203页,,,,,
,御营五军统制军马官,,,,,,,,,,,,,,①御营统制。《宋史•高宗纪》1：“命御营统制辛道宗讨陈通。”《金佗粹编》卷16《广德捷奏》：“御营使司统制军马臣岳飞。”②扈从统制。《宋史•高宗纪》2：“扈从统制苗傅。”《十朝纲要》卷21：“御营前军统制苗傅。”,宋代官制辞典第203页,,,,,
,御营使司前军统制官,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司后军统制官,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司左军统制官,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司右军统制官,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司中军统制官,,,,,,,,,,,,,,①中军统制官。《要录》卷21，癸未：“中军统制官吴湛与傅等通。”②御营中军统制官。同上书卷22，甲寅：“斩御营中军统制官、权主管侍卫步军司公事吴湛。……以统制官辛永宗为带御器械充御营使司中军统制。”③中军。《宋史•韩世忠传》：“中军吴湛佐逆为最。”,宋代官制辞典第203页,,,,,
,御营使司都统司统领,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司左军都统制,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司右军都统制,,,,,,,,,,,,,,将军。《宋史•韩世忠传》：“世忠步走挺戈而前，贼望见，咋曰：‘此韩将军也！’”《要录》卷18，癸亥：“御营平寇左将军韩世忠。”,宋代官制辞典第203页,,,,,
,御营使司平寇前将军,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司主管机宜文字,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营使司激赏库,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营宿卫使司,,,,,,,,,统御营宿卫五军（先锋、前军、右军、中军、左军）共四万余人，设御营宿卫使、统制官等。《要录》卷199，绍兴三十二年四月壬申：“诏御营宿卫使司统制将佐使臣军兵等四万三百五十二人各转一官资。出戍暴露者转两官资。”,,,为应付高宗亲临长江防线督阵，临时而设，不复与建炎初擅掌兵柄的御营使司相比（《朝野杂记》甲集卷10《御营使》）。,,,宋代官制辞典第203页,绍兴三十一年十月二十四日置司，罢于绍兴三十二年五月十二日（《玉海》卷139《建炎御营五军》、《十朝纲要》卷25）。,,,,
,御营宿卫使,,,,,,,,,,,,,,,宋代官制辞典第203页,,,,,
,御营宿卫使司先锋军都统制,,,,,,,,,,,,,,,宋代官制辞典第203页，宋代官制辞典第204页,,,,,
,御营宿卫使司前军都统制,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,御营宿卫使司右军统制,,,,,,,,,,,,,,右军统制。《要录》卷193，壬戌：“右武大夫、高州刺史苗定为右军统制。”同前书卷195癸丑：“御营宿卫使司右军统制苗定。”,宋代官制辞典第204页,,,,,
,御营宿卫使司左军统制,,,,,,,,,,,,,,左军统制。《要录》卷193，壬戌：“郭振为左军统制。”同前书卷196，癸已：“御营宿卫左军统制、新知寿春府、主管宿毫安抚司公事郭振。”,宋代官制辞典第204页,,,,,
,御营宿卫使司中军统制,,,,,,,,,,,,,,中军统制。《要录》卷193，壬戌：“刘锐为中军统制。”同前书卷194，丁亥：“翊卫大夫、利州观察使、御营宿卫中军统制刘锐。“,宋代官制辞典第204页,,,,,
,御营宿卫使司随军都转运使,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,御营宿卫使司书写机宜文字,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,修政局,,,,,,,,,设提举官、同提举官各一员，参详官一员，参议官二员，检讨官四员。吏人有检阅文字二人，主管文字四人，书写文字四人（《要录》卷54，丙戌）。,,,令百官条陈政事利弊得失，省并司局。以修内政；并督修车马、器械，以外御入侵之敌（《宋会要•职官》1之49）。,,,宋代官制辞典第204页,绍兴二年五月二十七日于尚书都省置局，同年九月二日因彗星出而罢（《中兴圣政》卷11、《宋会要•职官》1之49）。,,,,
,提举修政局,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,同提举修政局,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,制国用使,,,,,,,,,,,,以宰相兼总制国家钱谷出纳大纲（《朝野杂记》甲集卷10《制国用使》）。,,,宋代官制辞典第204页,古无此官，乾道二年（1166）十二月二十二日始以宰相带（《中兴圣政》卷29）。五年二月二十二日罢（《宋会要•职官》1之61）。,,,,
,同知国用事,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
,三省户房国用司,,,,,,,,,吏员有点检文字二人，主管文字五人，掌管文书守阙二人，书写文字十人。官额参“国用司”条（同上书卷）。,,,为适应宰执兼制国用而设，处理常程文书下户部实施；事干内外财政出纳利害文字，编号置簿籍登记，以备逐一回报审计后勾销，防止舞弊侵占。诸凡在京百司、诸军经常岁支与特殊开支，诸路州军当起发送交户部财赋（包括总制钱），及总领所中请支用钱粮有不依条法或稽误者，申宰执并取旨施行。,,国用司。《朝野杂记》甲集卷10《制国用使》：“（乾道）五年二月戊申，罢国用司。”《宋会要•职官》6之21：“准敕：宰相兼制国用使……以三省户房国用司为名。……五年二月二十二日，诏国用司可罢，其所行事务归并三省户房。”,宋代官制辞典第204页,乾道三年正月十一日置。五年二月二十二日罢（《宋会要•职官》6之21、22）。,,,,
,国用使,,,,,,,,,,,,,,,宋代官制辞典第204页,,,,,
