类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,三省,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,东府,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,台省,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,省台,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,三省长官,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,两令,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,三省都录事,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,经抚房,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,两省,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,北省,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,掖署,,,,,,,,,,,,,,,宋代官制辞典第170页,,,,,
,内两省,,,,,,,,,,,,,,,宋代官制辞典第170页，宋代官制辞典第171页,,,,,
,大两省,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,两省长官,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,两省侍郎,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,左、右省侍郎,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,两后省,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,后两省,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,后省,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,两省给舍,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,给舍,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,二起居,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,左右史,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,柱下史,,,,,,,,,,,,,,柱下。《净德集》卷5《辞免起居舍人状》：“伏以柱下之官，记人主言动。”,宋代官制辞典第171页,,,,,
,左右起居,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,小两省官,,,,,,,,,,,,,,小两省。《宋史•选举制》1《科目》上：“宴诸科，请省郎、小两省。”,宋代官制辞典第171页,,,,,
,一点青,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,二史,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,小侍从,,,,,,,,,,,,,,,宋代官制辞典第171页,,,,,
,螭头,,,,,,,,,,,,,,,宋代官制辞典第171页，宋代官制辞典第172页,,,,,
,侍立官,,,,,,,,,,,,,,,宋代官制辞典第172页,,,,,
,修注官,,,,,,,,,,,,,,,宋代官制辞典第172页,,,,,
,常侍,,,,,,,,,,,,,,,宋代官制辞典第172页,,,,,
,骑省,,,,,,,,,,,,,,,宋代官制辞典第172页,,,,,
