类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,五监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,三监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,判监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,大监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,正监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,副监,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,监少,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,监长贰,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,监丞,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,监簿,,,,,,,,,,,,,,,宋代官制辞典第379页,,,,,
,五监主簿,,,,,,,,,,,,,,,宋代官制辞典第379页，宋代官制辞典第380页,,,,,
