类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,卫尉寺,,,,,,,,,①宋前期，判卫尉寺事一人，府史二人。②元丰新制，卫尉寺卿、少卿、丞、主簿各一人。分案四，设吏十，总局十三：内弓箭库、南外库、军器五库（军器衣甲库、军器弓枪库、军器弩库、军器剑库、军器箭库）、仪鸾司、军器什物库、宣德门什物库、大礼板木库、左右金吾街仗司、六军仪仗司（《宋会要•职官》22之1）。,,,①宋前期无所掌，其职事分隶仪鸾司、内库、军器库（《宋会要•职官》22之1《卫尉寺》）。②元丰新制，掌供军用武器装备、仪卫器仗什物及供设帐幕等事及政令（《分纪》卷19《卫尉》）。,,卫尉。《玉海》卷124《宋朝列寺》：“卫尉总局十有三。”《通考•职官》9《卫尉卿》：“宋卫尉寺，判寺事一人。”,宋代官制辞典第331页,西汉有卫尉寺之称（《汉旧仪》），其时，“寺”为卫尉（官）廨，未列为官衔。北齐始有“卫尉寺”正式官司称（《通典》卷25《卫尉卿》）。北宋沿置。南宋建炎三年四月十三日罢归兵部，后不复置（《要录》卷22庚申）。,,,,
,卫尉寺卿,,,,,,,①宋初因唐制，唐从三品（《六典》卷16《卫尉寺》）。②元丰改制后从四品（《分纪》卷19《卫尉•卿》）。卫尉卿在九寺卿中，居于太常、宗正、光禄寺卿之后，居于太仆寺卿之前（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定员一人（《宋会要•职官》22之1）。,,,①宋前期无职事，为文臣寄禄官，元丰新制，易卫尉卿阶为中散大夫（《邵氏闻见录》卷1《寄禄新格》）。②元丰新制正名，为卫尉寺长官，领本寺职事。诸如内外作坊输送兵器，则先核对名数、审验优劣，以归藏于武库；不符合规格者，给子处罚；保藏于诸军器库的军械甲冑，按时曝晒或风凉，登记帐籍、妥善封存；如须进御及颁发给诸军，则按帐簿点检给之。并每委派官检视，年终上计帐于兵部。至于仪卫所须备办仪物及张设帷幄、帐幕、陈卤簿仪仗等等，都得领导，如遇大礼、朝宴，并得与少卿昼夜巡按，监察有无不如仪式者。若发现所供幕帟、地毯等破旧，即移送少府监、军器监修换（《宋会要•职官》22之1）。,,①卫尉卿。《长编》卷96癸卯：“以卫尉卿慎从吉为光禄卿致仕。”《愧郯录》卷6《寺监簿职守》：“卫尉寺卿、主簿二员。”②暖卿。因其掌管供设帐具、帷幕等避风设备而有此谚称。《宋人轶事汇编》卷20《故事》：“世传京师谓光禄为‘饱卿’、卫尉为‘暖卿’……。暖卿谓其管仪鸾（司）供帐之属。”,宋代官制辞典第331页，宋代官制辞典第332页,东汉已有卫尉卿之称（《后汉书•百官志》上）。卫尉寺卿之称始于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月后罢置（《长编》卷96癸卯、《要录》卷22庚申）。,,,,
,判卫尉寺事,,,,,,,,,,,,,,判寺事。《通考•职官》9《卫尉卿》：“宋卫尉寺判寺事一人。”,宋代官制辞典第332页,,,,,
,卫尉寺少卿,,,,,,,①宋前期因唐制，唐为从四品上（《六典》卷16）。②元丰改制后为正六品（《职源•官品》）。在光禄寺以下七寺丞中，杂压在光禄寺丞下、太仆寺丞之上（《元丰以后合班之制》）。,,元丰新制定员一人（《宋会要•职官》22之1）。,,,①宋前期无职掌，为文臣寄禄官。元丰改制，卫尉少卿阶易朝议大夫（《邵氏闻见后录》卷1《寄禄新格》）。②元丰新制为职事官，本寺副贰，参领本寺事（《通考•职官》9）。,,卫尉少卿。《长编》卷96癸卯：“司封郎中、兼侍御史知杂事杜尧臣改卫尉少卿、知陕州。”《宋会要•职官》22之1：“卫尉寺……少卿正六品。”,宋代官制辞典第332页,卫尉寺少卿之设始于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月罢。,,,,
,卫尉寺丞,,,,,,,①宋前期因唐制，唐为从六品上（《六典》卷16）。②元丰改制后为正八品（《职源•官品》）。在光禄寺丞以下七寺丞中，杂压在光禄寺丞下、太仆寺丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定员一人（《宋会要•职官》22之1）。,,,①宋前期无职事，为文臣寄禄官；元丰改制，卫尉丞阶易为宣义郎（《邵氏闻见后录》卷1《寄禄新格》）。②元丰新制为职事官，参领本寺事（《迪考•职官》9）。,,卫尉丞。《分纪》卷219《卫尉》：“国朝《元祐官品令》卫尉丞，正八品。”《长编》卷222壬午：“选人磨勘⋯⋯判司、主簿、尉七考，进士大理寺丞，余卫尉寺丞。”,宋代官制辞典第332页,秦汉有卫尉丞（《汉书•百官表》上）。卫尉寺丞始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月后罢置。,,,,
,卫尉寺主簿,,,,,,,①宋初因唐制，唐为从七品上（《旧唐书•职官志》3）。②元丰改制后从八品。,,元丰新制定以一人（《宋会要•职官》22之1）。,,,①宋前期，寺监主簿为文臣迁转官阶，无职事（《宋史•职官志》9《文臣京官至三师叙迁之制》）。②元丰官制行，“专以勾考簿书为职”，元祐元年八月后，许通管本寺公事（《长编》卷384辛卯）。,,卫尉主簿。《分纪》卷6《卫尉•簿》：“卫尉主簿从八品。”《愧郯录》卷6《寺监簿职事》：“今取问寺监有令主簿签书公事处：……卫尉寺卿、主簿二员。”,宋代官制辞典第332页,西汉卫尉下有主簿（《分纪》卷19《卫尉•主簿》）。卫尉寺主簿之设始于隋初（《隋书•百官志》下）。北宋沿置。南宋条制中虽存“九寺主簿”之名，卫尉寺主簿实于建炎三年四月后罢置（《要录》卷22庚申、《庆元条法》4《职制令•杂压》）。,,,,
,府史,,,,,,,,,,,,,,,宋代官制辞典第332页,,,,,
,提印剩员,,,,,,,,,,,,,,,宋代官制辞典第332页,,,,,
,内弓箭库,,,,,,,,,勾当官四人（诸司使副、内侍充）。监门官二人（三班使臣、内侍充）。兵校及匠一百三十一人（同前书卷）。,,,储藏御弓矢、戎具，及细铠具装、枪、旗、刀、剑、斧、钺器械（《宋会要•食货》52之30）。,,"内弓。《东京梦华录》卷1《内诸司》：“内弓、剑、枪、甲军器等库。”《宋会要•职官》22之1：""储甲械则归内弓箭库南、外库，军器五库。”",宋代官制辞典第332页,唐有内弓箭库使（《事物纪原》卷6《弓箭》）。宋初置内弓箭库。神宗熙宁元年间分为南、内、外库（《长编》卷285辛亥）。,,,,
,都大提点弓箭库,,,,,,,,,,,,,,,宋代官制辞典第332页，宋代官制辞典第333页,,,,,
