类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,司农寺,,,,,,,,,①宋前期判司农寺官一人，治平三年置主簿一人。设案一，即常平案。吏额有府史一人，驱使官四人，常平案前行一人、后行八人（《宋会要•职官》26之1、《长编》卷208壬辰）。②熙宁三年至元丰五年间，官额有增添，以元丰四年最高数计：判司农寺、同判司农寺各一员，下设三局十二案，司农寺丞四员、主簿六员，又有勾当公事官（熙宁六年置、九年罢）（《宋会要•职官》26之14、《长编》卷248乙酉）。③元丰五年行新制，官额有司农卿、少卿、丞、主簿，各一人。分案六。吏额有胥长、胥史、胥佐、贴司等名目。所属机构有粮仓二十四、草场十、排岸司四、园苑四，及下卸司、都曲院、水磨务、内柴炭库、炭场等（《宋会要•职官》26之2）。,,,①宋前期沿唐五代之制存其名，其职事多归三司，本寺止掌供籍田九科，大、中、小祀祭所需猪、牲、蔬果、明房油，以及掌常平仓平籴利农等事《宋会要•职官》26之1、2）。②熙宁三年至元丰五年（1072—1082）期间，事权大幅度增加，既是财务机构，又是推行新法的政务机构。制订和颁发了免役法、方田均税法和保甲法，督领各路提举常平司及其官属（路提举常平官、州管勾常平官、县常平给纳官），掌管常平钱、免役钱、坊场钱，青苗法、农田水利法的继续实施等等（《长编》卷324乙西、卷129戊申，《永乐大典》卷7507《中书备对》之“司农寺熙宁九年帐”，《宋会要•职官》26之4）。③元丰五年改制，寺监不复治京师之外事，司农寺依《六典》正名。旧职并归户部右曹，本寺掌仓场储藏出纳、园苑种植，诸路上供京都官吏禄粟、京师驻扎禁军口粮漕运京师后之支遣，造酒曲，供给新炭，导择米麦，皇帝亲耕籍田奉末耜等等（《分纪》卷20《司农》、《宋会要•职官》26之2、《合璧后集》卷35《司农寺》）。,,①司农。《东轩笔录》卷8：“师厚书成，上于司农。”《合璧后集》卷35《司农卿•寺簿》：“建炎三年罢司农。”同前书卷35《司农卿》：“建炎三年诏罢司农寺。”②农寺。《宝真斋书法赞》卷3《高宗皇帝御笔临古法帖四皓帖》之“跋”：“嘉定丙子三月，臣在农寺。“③大农。汉景帝改治粟内史为大农令，即后世之司农卿，故或以大农称司农寺。《塵史》卷下《杂志》：“予在大农，忽得目疾，已而挂冠。”夏敬观《塵史•跋》：“右《塵史》三卷，宋王得臣撰……官至司农少卿。”④田寺。《宋史•职官志》5《司农寺》：“诏诸路提举常平官课绩，田寺考校升黜。“《宋会要•职官》43之5：“熙宁四年八月二十三日，司农寺言：‘诸路提举常平官课绩，已许本寺考校升绌。’”⑤农扈。传说古代九扈任九农正（农官），故后世或以农扈为大农机构，宋人即以农扈为司农寺别称。《攻媿集》卷39《太常寺主簿张贵谟司农寺丞》：“勾稽颂台，进丞农扈。“《左传•昭公十七年》：“九扈，为九农正，扈民无淫者也。”杜预注：“扈有九种也。……以九扈为九农之号，各随其宜以教民事。“⑥扈寺。《愧郯录》卷6《寺监簿职守》：“若平日扈寺文移，簿田预书。”《合璧后集》卷35《司农卿》：“冠仪衣扈。”,宋代官制辞典第358页,司农寺之名始于北齐（《通典•职官》8《司农卿》）。北宋沿置。南宋建炎三年四月十三日罢，绍兴三年十月二十九日复置（《要录》卷22庚申、卷69庚戌）。,,,,
,判司农寺事,,,,,,,,,,,,,,①判寺事。《宋会要•职官》26之1：“司农寺……以常参官二人判寺事。”《长编》卷215乙未：“太子中允、监察御史里行林旦判司农寺。”②农正。拟古农官称，以比附宋前期司农寺主判官。《职源撮要•司农寺丞》：“国朝新法行，吕惠卿请始置司农寺丞一员，以水利、免役、保甲等法付司农，贰农正。”《通考•职官》10《司农卿》：“少昊氏以九扈为九农正。”,宋代官制辞典第358页,,,,,
,同判司农寺事,,,,,,,,,,,,,,①同判寺。《长编》卷211，熙宁三年五月十七日：“条例司言：‘常平新法宜付司农寺。乞选官主判兼领农田、差役、水利事。’遂命太子中允、集贤校理吕惠卿同判司农寺，秘书丞、集贤校理、同判寺胡宗愈改兼判。”②同判。《通考•职官》10《司农卿》：”（熙宁）三年，诏以新法付司农寺，……胡宗愈、曾布同判。”,宋代官制辞典第358页，宋代官制辞典第359页,,,,,
,司农寺卿,,,,,,,元丰新制后定为从四品（《宋会要•职官》26之2）。班位列为光禄寺卿以下之七寺卿，七寺卿中位居鸿胪寺卿之下、太府寺卿之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制一人《宋会要•职官》26之2）。,,,①宋前期无职事，为本官阶之一，元丰寄禄格易为中散大夫阶（《宋史•职官志》9）。②元丰改制后掌仓储委积之政令，总苑囿库务之事，而谨其出纳之数（《宋史•职官志》5《司农寺》）。,,①司农卿。《分纪》卷20《司农》：“国朝《官品令》：司农卿从四品。”《通考•职官》10《司农卿》：“（绍兴四年）司农寺卿、少各特置一员。”②长大农。大农令为汉官称。《攻媿集》卷36《司农卿沈揆权吏部侍郎》：“蔽自朕志，召长大农。“《汉书•百官表》：“治粟内史……景帝后元年，更名大农令。”③走卿。《麈史》下：“七寺闲剧不同，司农卿为走卿。”④农正。拟古农官称。《合璧后集》卷35《司农卿》：“农正。”⑤稼卿。《合璧后集》卷35《司农卿》：“稼卿。”⑥大司农。拟汉官称。《玫媿集》卷35《知平江府沈揆司农卿》：“朱邑由北海入为大司农，则其事也。”⑦扈卿。《后村大全集》卷60《赵希彻司农寺丞》：“扈卿方阙，丞行长事。”,宋代官制辞典第359页,司农卿之名始置于梁天监七年（508），由大司农寺改名（《隋书•百官志》上）。司农寺卿始置于北齐（《隋书•百官志》中）。宋沿置。南宋建炎三年四月十三日罢，绍兴四年五月二十六日复置（《要录》卷22庚申、《宋会要•职官》26之18）。,,,,
,司农寺少卿,,,,,,,元丰改制后定为正六品（《宋会要•职官》26之2、《分纪》卷20《司农•少卿》）。列位于光禄寺少卿以下之七寺少卿中，居于太府少卿之上、鸿胪寺少卿之下。,,一人（《宋会要•职官》26之2）。,,,①宋前期无职事，为本官阶（《宋史•职官志》9）。元丰寄禄格易为朝议大夫阶。②元丰改制后，为司农寺副贰，佐卿总领寺事。,,①农卿。《全宋词》（中华本）页2610，刘克庄《转调二郎神•余生日，林农卿赠此词，终篇押一韵，效口歌一首》。《民国福建省志•列传》卷15《宋》12：“林希逸⋯⋯景定间，累迁司农少卿。”②贰大农。《曾巩集》卷20《廉正臣董诜司农少卿制》：“往贰大农，是惟高选。”③大农少卿。《古今源流至论•续集》卷2《兵粮》：“今之任总司之职，每以大农少卿与夫金、仓部郎官为之。”《朝野杂记》甲集卷11《总领所》：“诸路总领，故事皆带在内金谷等官，若太府、司农卿少、丞，户部列曹郎中、员外郎之类。”④大农少列。《攻媿集》卷40《刘光祖司农少卿》：“兹庸命尔为少列于大农，实为多士先。”⑤少农、农少。《要录》卷103壬申：“樊宾行司农少卿、提领营田公事。……其以少农，遂董斯政。”《后村大全集》卷60《王爚农少兼左司》：“扈农，古官也。……擢之卿列仍兼宰旅。”⑥贰农正。《职源•司农少卿》：“元丰正名置少卿为之贰。建炎三年省。绍兴四年后，擢贰农正。”,宋代官制辞典第359页,北魏有大司农少卿之设。“少卿”之名始此（《魏书•官氏志》）。司农寺少卿始于北齐（《隋书•百官志》中）。宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。绍兴四年五月二十六日复置（《宋会要•职官》26之18）。,,,,
,司农寺丞,,,,,,,①宋初因唐制，唐为从六品上（《六典》卷19《司农寺》）。②元丰新制后定为正八品（《宋会要•职官》26之2）。列位于七寺丞，居于鸿胪寺丞之下、太府寺丞之上（《宋史•职官志》9《元丰以后合班之制》）。,,①熙丰变法间编制不常，熙宁三年八月三日一人，五年七月十八日二员，九年十二月四日增至四员（其中一员为都丞，总管三局，其余三丞分管三局），元丰四年六月十五日减为一员（《长编》卷214庚申、卷279丙戌，《宋会要•职官》26之8、14）。②元丰五年行新制，定为一员（《宋史•职官志》5《司农寺》）。③绍圣四年二月九日定为二员（《宋会要•职官》25之16）。④绍兴三年十二月九日至乾道二年国十一月二十七日间为二员（《宋会要•职官》26之17、20）。,,,①宋前期无职事，为文臣所带本官阶（《宋史•职官志》9）。②熙宁三年八月后，因行新法事付之司农寺，丞与主簿常轮差出按察诸路常平、保甲等事，在内则分管本寺三局事（《长编》卷248乙酉、卷279丙戌）。③元丰改制后，参领寺事（《宋史•职官志》5《司农寺》）。,,①司农丞。《分纪》卷20《司农》：“国朝《元祐官品令》：司农丞正八品。”《长编》卷214庚申：“增置司农寺丞一员。”②农丞。《齐东野语》卷5《赵伯美》：“司农丞革坐局行赇⋯⋯。吴农丞辨状云。”③农扈丞。《于湖居士文集》卷19《吕搢除司农寺丞制》：“擢丞农扈，以试尔能。”④贰农正。《职源•司农寺丞》：“国朝行新法，吕惠卿请始置司农寺丞一员，以水利、免役、保甲等法付司农，贰农正。”⑤局丞。司农寺于熙丰变法期间，为设三局，每局置一寺丞主管，故有局丞之称。《宋会要•职官》26之11《司农寺》：“丞选于主簿，比转运判官；都丞选于诸局丞，比提点刑狱。”同前书26之10：“司农寺置丞四员，内丞一员，通管三局，余三员并增主簿三员，分管三局。”,宋代官制辞典第359页，宋代官制辞典第360页,东汉有大司农丞（《后汉书•百官志》3）。司农寺丞官名始置于北齐（《隋书•百官志》中）。北宋沿置，初不除人。熙宁三年八月三日始除人（《长编》卷214庚申）。南宋建炎三年四月十三日罢，绍兴三年十月二十九日复置（《要录》卷22庚申、卷69庚戌）。,,,,
,司农寺都丞,,,,,,,司农寺都丞选自司农寺三丞、高于诸丞，其位遇比路提点刑狱公事（《宋会要•职官》26之11）。,,一员（同上书26之10）。,,,总管司农寺三局（水利、免役、保甲）丞。,,,宋代官制辞典第360页,熙宁九年十二月四日始置（《宋会要•职官》26之10），元丰四年六月十五日罢（同上书26之14）。,,,,
,权司农寺都丞,,,,,,,,,,,,,,,宋代官制辞典第360页,,,,,
,权发遣司农寺都丞,,,,,,,,,,,,,,都丞、权发遣司农都丞。《长编》卷303元丰三年四月丙申：“从都丞吴雍言。“《宋会要•职官》26之13：”（元丰三年）七月二十八日，权发遣司农都丞吴雍。”《长编》卷306，元丰三年七月己丑：“权发遣司农寺都丞吴雍。”,宋代官制辞典第360页,,,,,
,司农寺主簿,,,,,,,,,初置与元丰新制均为一员。熙丰变法期间增减不常。熙宁五年七月十八日二员，九年十二月四日为五员，后又增置一员共为六员，至元丰四年六月十五日减为三员（《宋会要•职官》26之2、8、10、14）。,,,熙丰变法间，与寺丞轮差按察诸路常平等事。通常，以勾稽本寺簿书、检法为职。南渡后，主簿参预签书公事（《愧郯录》卷6《寺监簿职守》）。,,①寺簿。《合璧后集》卷35《司农卿》：“寺簿国朝治平中已置主簿。”《分纪》卷20《司农•主簿》：“国朝《元祐官品令》司农寺从八品。”原注：“治平三年置主簿一员。”②扈簿。岳珂《桯史》卷8《紫宸廊食》：“余为扈簿日。”岳珂《愧郯录》卷12《寺监簿职守》：“珂为扈簿日，……若平日扈寺行移，簿因预书。”,宋代官制辞典第360页,司农寺主簿始置于北齐（《隋书•百官志》中）。北宋初因唐五代旧制存其名。治平三年六月始除人（《宋会要•职官》26之2）。绍圣四年二月九日罢（《宋会要•职官》26之26）。绍兴十年十月复置。隆兴元年八月二十三日减省，二年国十一月二十七日又复置（《宋会要•职官》26之19、20）。,,,,
