类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,大理寺,,,,,,,,,①宋前期判大理寺事官一员或二员，兼大理寺少卿事。详断官八人（以京官充）。法直官二人（以选人充），如选人改京官，则称检法官。吏人有府史、承阙三十五人（《宋会要•职官》24之1）。②元丰元年十二月置大理寺狱，本寺详断官划归刑部（《长编》卷295壬戌、《宋会要•职官》15之9）。③元丰五年行新官制，大理寺按职务分左断刑、右治狱。左断刑官额：大理寺卿、少卿各一人，大理寺正、司直各一人，大理寺评事八人（其中卿、司直兼管治狱事）；右治狱官额：大理寺少卿一人，大理寺正一人，大理寺丞二人，监大理寺门二人，检法使臣、都辖使臣各一人。左断刑分案三、设司四，吏额有胥长、胥史、胥佐、贴书、楷书共四十四人。右治狱分案四、设司二，又有左推、右推。吏额有前司胥史、需佐、般押推司、贴书、表奏司、左右推胥史共三十二人（《宋会要•职官》24之1、2）。,,,①宋前期，内外诸司刑案，如有冤诉或上奏，由大理寺掌推鞫覆审；然后送审刑院详议，讫，同签署上奏于朝。大理寺断狱有冤，送御史台断，仍未息诉，即命大臣置制院推覆（《宋会要•职官》24之1《大理寺》、《云麓漫钞》卷1）。②元丰元年十二月至元丰五年五月试行新官制期间，大理寺置狱，专掌治狱，举凡旧隶三司，寺监承受断遣的徒以上罪及须追究公事，并送大理寺禁系决断。原由大理寺受理的天下奏案覆审统归刑部、审刑院（《宋会要•职官》24之6、7）。③元丰五年五月行新制，本寺掌断刑兼治狱，职务分左右：凡全国奏劾六品以下命官、诸军将校及死罪因以下疑案须覆审者，归大理寺左断刑；凡在京百司须推治之刑案、特旨立案审查的案件及官物须追查者，归右治狱（《宋史•职官志》5《大理寺》、《分纪》卷19《大理》）。,,①大理。《东轩笔录》卷6：“上大骇，下惟恭、孙棐于大理。”《分纪》卷19《大理》：“国朝大理寺掌鞫狱、定刑断。”②理寺。《宋会要•职官》24之23：“上曰：‘理寺都无出身官，正宜参用士人。于是嵘除大理正，泾、邦弼除大理寺丞。”③法寺。《宋史•刑法志》3：“法寺定断为不当。”《长编》卷46三月戊寅：“于是，选官判大理寺。上曰：‘法寺宜择当官不回者’。⋯⋯甲申，以济权判大理寺。”④理曹。《咸淳临安志》卷6《大理寺》之《孝宗皇帝奖谕狱空敕书（淳熙十三年）》：“尔理曹之审，克致予天圄之空虚。”⑤棘寺。《容斋五笔》卷4《棘寺棘卿》：“今人称大理为棘寺。……此出《周礼•秋官•朝士》，掌建邦外朝之法。……郑氏注曰：‘植棘以为位者，取其赤心而外刺也。’”⑥天狱。大理寺置狱，故有此号称。《宋会要•职官》24之32：“大理号为天狱。”⑦棘司。《职源•大理寺》：“棘司……守法之司。”⑧法局。《胡文恭集•徐仲寮大理寺丞制》：“进丞法局。”《职源•大理寺丞》：“丞法局。”⑨谳寺。《胡文恭集•郭恭大理寺丞制》：“进丞谳寺。”,宋代官制辞典第427页，宋代官制辞典第428页,春秋晋国时有大理官（《韩诗外传》）。秦朝廷尉，于西汉景帝中元六年（前144）改名大理，九卿之一（《汉书•百官表》上）。大理寺之官司名，始于北齐（《通考•职官》10《大理卿》）。,,,,
,判大理寺事,,,,,,,,,,,,,,判大理寺。《宋史•窦仪传》：“迁工部尚书，罢学士，兼判大理寺。”《宋会要•职官》24之2：“以工部尚书窦仪兼判大理寺事。”,宋代官制辞典第428页,,,,,
,知大理寺卿事,,,,,,,,,,,,,,知卿事、知大理卿。《合璧后集》卷34《大理卿》：“复置大理狱。……置卿一、少卿二、丞四，始命崔台符知卿事厅。”《宋会要•职官》24之7：“（元丰元年十二月十八日）复置大理狱。⋯⋯大理寺置卿一人，少卿二人，丞四人。⋯⋯崔台符为右谏大夫、知大理卿事。”“（元丰二年正月十七日）知大理卿崔台符。”,宋代官制辞典第428页,,,,,
,大理寺卿,,,,,,,①元丰新制从四品（《宋会要•职官》24之1）。②元祐官品令从三品（《分纪》19《大理卿》）。③南宋时为从四品（《宋史•职官志》8《官品》）。其杂压位在太仆卿下、鸿胪卿之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定员一人。南宋建炎三年四月并省寺监，曾省卿，绍兴初复置（《宋会要•职官》24之4、《合璧后集》卷34《大理卿》）。,,,总掌本寺左断刑、右治狱。凡刑狱之审讯、决断，卿得总管（《宋史•职官志》5《大理寺》）。,,①大理卿。《曾巩集》卷25《大理卿制》：“折狱详刑之事，朕所重也。”《分纪》卷19《大理卿》：“元祐官品令大理寺卿从三品。”②大棘。《合璧后集》卷34《大理卿•事类》：“大棘大理曰大棘。”③廷尉、廷尉卿。拟古官称。《曾巩集》卷25《大理卿制》：“廷尉之任，佥曰汝谐。”《咸淳临安志》卷6《大理寺》：“（嘉定二年）梁溪费公廷尉卿。“《汉书•百官表》上：“廷尉，秦官，掌刑辟。……景帝更名大理。”《隋书•百官志》上：“廷尉卿，梁国初建曰大理，天监元年复改为廷尉。”④棘卿。《容斋五笔》卷4《棘寺棘卿》：“今人称大理为棘寺、卿为棘卿。”⑤法卿。《公是集•杨钧大理寺丞制》：“法卿贵丞。”《职源•大理卿》：“法卿。”,宋代官制辞典第428页，宋代官制辞典第429页,春秋晋文公（前697一前628）时已置大理官，掌“察理刑狱”（《韩诗外传》）。西汉景帝中元六年（前144）改廷尉为大理，系九卿之一（《汉书•百官表》上）。大理寺卿之官名，始自北齐（《隋书•百官志》中）。北宋前期不置。元丰二年虽置卿，但不除人，而以知大理寺卿代之。元丰五年行新官制，始以大理卿命官（《宋会要•职官》24之1、4、8）。,,,,
,大理寺少卿,,,,,,,①宋前期，以朝官一员兼大理寺少卿事。其官品因唐制，唐为从四品上（《职源》）。②元丰新制正六品（《宋会要•职官》24之1）。南宋同。其杂压，在七寺卿中，位于太仆少卿下、鸿胪少卿之上。,,①宋前期，限以朝官一员兼权大理少卿。②元丰二年至元丰五年四月，右治狱少卿一员（《宋会要•职官》24之1）。③元丰新制，左断刑少卿一人，右治狱少卿一人（《宋会要•职官》24之15）。,,,①宋前期，与判寺事官同掌断全国所上疑狱或冤案，送审刑院覆议（《宋会要•职官》24之1）。②元丰元年十二月大理寺置狱，少卿管右治狱（《宋会要•职官》24之6）。③元丰五年四月行新制，分治左断刑、右治狱事（《合璧后集》卷34《大理少卿》）。,,①大理少卿。《栾城集》卷29《林英大理少卿》：“尔以儒者，通于吏道。“《宋会要•职官》24之4：“大理寺……少卿二人。”②佐棘。《合璧后集》卷34《大理少卿•诗集》：“佐棘佐棘竟谁同，因思证圣中。“③延尉之贰。大理卿古官为廷尉卿，大理少卿为卿之佐贰，故有此称。《曾巩集》卷20《韩晋卿大理少卿制》：“廷尉之贰选，是用属汝。”④簉明刑。“簉”即副贰之意。《攻媿集》卷39《大理少卿许及之权礼部侍郎》：“俾簉明刑之任。”《宾退录》卷1：“簉、倅，皆副贰之称。”,宋代官制辞典第429页,北魏有廷尉少卿（《魏书•官氏志》）。大理寺少卿始置于北齐（《隋书•百官志》中）。宋沿置。,,,,
,大理寺治狱少卿,,,,,,,,,,,,,,治狱少卿。《宋会要•职官》24之9：“自今大理卿免假日如，止令治狱少卿、推丞更直。”同前书24之15：“诏大理断刑、治狱少卿、寺正各一员。”,宋代官制辞典第429页,,,,,
,大理寺断刑少卿,,,,,,,,,,,,,,断刑少卿。《宋会要•职官》24之40：“宰执进呈：‘大理寺见阙长贰。’留正奏：‘断刑少卿极难得人。⋯⋯诏大理寺左断刑见阙长贰，缘系掌断诸路狱案去处事务繁重，不可暂阙官。”同前书24之15：“诏大理断刑、治狱少卿、寺正各一员。”,宋代官制辞典第429页,,,,,
,大理寺正,,,,,,,①宋初依唐制，唐为从五品下。②元丰新制后从七品（《宋会要•职官》24之1、《分纪》卷19《正》）。其杂压，元丰以后位于“三丞”之下、著作郎及七寺丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,①元丰二年复置大理寺狱时，大理正一人（《宋会要•职官》24之1）。②元丰五年改制后，定员二人（《宋史•职官志》5《大理寺》）。,,,①宋初，以朝官兼大理正为详断官，掌议断刑。②元丰五年后，诸内外百司所上疑案，经司直、评事、丞议断之后，由大理正审定当否，然后过议司（卿、少卿）覆议（《合璧后集》卷34《大理正》、《宋史•职官志》5《大理寺》）。③南宋时，兼审听右治狱左右二推判案成辞（《咸淳临安志》6《大理寺》）。,,①大理正。《曾巩集》卷20《杜纯大理正制》。《宋会要•职官》24之21：“大理寺正杜纯。”②寺正、正。《合璧后集》卷34《大理正》：“神宗复置大理狱，后置寺正。”《宋会要•职官》24之6：“自评事改秩，即除寺丞，继而迁正。”《职源撮要•大理寺正》：“神宗复置大理狱后，置寺正。”③断刑正。大理寺正隶左断刑，职主审定司直、评事断案，故有此称。《宋会要•职官》24之22：“叶庭珪除大理正，庭珪前日为丞，乃治狱之丞。今日为正，实断刑之正。”,宋代官制辞典第429页，宋代官制辞典第430页,秦有廷尉正，西汉景帝时随廷尉之改大理，而称“大理正”。大理寺正始置于北齐（《通典•职官》7《大理正》、《分纪》卷19《大理卿正》）。宋初沿置。咸平二年省去兼正之名。元丰二年后复置（《宋会要•职官》24之1）。,,,,
,判大理正事,,,,,,,,,,,,,,,宋代官制辞典第430页,,,,,
,大理寺丞,,,,,,,①宋初因唐制，唐为从六品上。②元丰改制后正八品（《分纪》卷19《大理寺》、《宋会要•职官》24之1）。宋前期，以京官兼大理寺丞为详断官。元丰改制后，作为职事官七寺丞之一，其杂压位于太子诸率府之下、秘书郎之上（《宋史•职官志》8《元丰以后合班之制》）。,,①元丰元年初置大理寺狱时，丞二员（《宋会要•职官》24之6）。②元丰五年新制，共置十员（治狱丞四人，断刑寺丞六人）（《宋史•职官志》5《大理寺》）。③南宋建炎三年，断刑寺丞三员，治狱寺丞二员（《通考•职官》10《大理卿•丞》）。,,,①宋初，大理寺丞由京官兼充，称详断官，参议断刑。咸平二年罢兼丞，径称详断官。②宋前期，大理寺丞无职事，为文臣迁转官阶，元丰新制寄禄格，易为宣德郎（《通考•职官》10《大理卿》、《梁溪漫志》卷2《武官制》）。③元丰元年十二月十八日，大理寺丞始单除授，专推治本寺狱（《宋会要•职官》24之26）。④元丰五年新制，寺丞按职务分治狱寺丞、断刑寺丞。治狱寺丞，职主推勘狱事；断刑寺丞，复议由大理司直、大理评事所决刑案，然后交大理正审决（《宋史•职官志》5《大理寺》）。,,①大理丞。《分纪》卷19：“《元祐官品令》大理丞正八品。”《梁溪漫志》卷2《文武官制》：“大理寺丞为宣德郎。”②寺丞。《邵氏闻见录》卷11：“熙宁初，朝廷遣大理寺丞蔡天申为京西察访。……温公呼知班曰：‘引蔡寺丞归本班。’”③丞。《宋会要•职官》24之22：“叶庭珪除大理正。庭珪前日为丞，乃治狱之丞。”④廷尉丞。拟古官称。《栾城集》卷39《宗子仪大理寺丞》：“使冤者获信，死者无憾。往丞延尉，推行此心。“《职源撮要•大理寺丞》：“晋武帝咸宁中，因曹志尚书请廷尉置丞。”⑤棘丞。《容斋五笔》卷4《棘寺棘卿》：“今人称大理为棘寺，卿为棘卿，丞为棘丞。”⑥谳丞。《职源•大理寺丞》：“谳丞。”《胡文恭集•尹立大理寺丞制》：“治谳之丞。”⑦法丞。《职源•大理寺丞》：“法丞丞法局。”,宋代官制辞典第430页,晋武帝咸宁中（275—280）始置廷尉丞（《职源•大理寺丞》）。大理寺丞始置于北齐（《隋书•百官志》中）。宋沿置。,,,,
