类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,太仆寺,,,,,,,,,①判太仆寺事一人。吏人有府史。②元丰新制后，太仆寺卿一人，少卿一人，丞一人，主簿一人。哲宗朝主簿二员，元祐三年罢一员（《长编》卷384辛卯，《宋史•职官志》4《太仆寺》）。分案五、置吏十八，所辖局十四：车辂院，左、右骐骥院，左、右天驷监，鞍辔库，养象所，驼坊，车营，致远务，牧养上下监，左、右天厩坊，孳生监（《通考•职官》9、《宋史•职官志》4《太仆寺》）。,,,太仆之名，始于西周穆王时（《尚书•冏命序》）。太仆寺始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日罢，并归兵部驾部（《要录》卷22庚申）。①宋前期止掌皇帝五辂（玉辂、金辂、象辂、木辂、革辂）、属车，后妃、王公车辂，及大、中、小祀供应牛、羊，其余国家厩牧、车舆之政令，分隶左、有骐骥院、诸坊监、群牧司（《通考•职官》10《太仆卿》）。②元丰正名，罢群牧司，职事归太仆寺；及元祐后，统掌内外厩牧、车舆之政令。崇宁二年，太仆寺所掌之京师外马政、车舆事，拨归枢密院与尚书驾部（《宋史•职官志》4《太仆寺》、《宋会要•兵》24之28）。,,①太仆。《长编》卷388癸未：“朝廷以马事专隶太仆。”“今年（元祐元年）九月九日，朝旨节文，内外马事并隶太仆寺、直达尚书省，更不经由驾部。”②司驭。拟唐官寺称。《曾巩集》卷25《太仆卿制》：“司驭之选，汝唯克谐。”《六典》卷10《太仆寺》：“龙朔二年，改司驭寺。”,宋代官制辞典第340页,太仆之名，始于西周穆王时（《尚书•冏命序》）。太仆寺始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日罢，并归兵部驾部（《要录》卷22庚申）。,,,,
,判太仆寺事,,,,,,,,,,,,,,判寺官。《长编》卷75乙巳：“次渑池县，杖太仆寺府史霍鼎。……其判寺官及编排仪仗忠佐特赦不问。”,宋代官制辞典第340页,,,,,
,太仆寺卿,,,,,,,①宋初因唐制，唐时为从三品上（《新唐书•百官志》4）。②元丰改制后为从四品（《职源撮要•官品》）。其杂压，在光禄寺以下七寺卿中，位于卫射卿之下、大理寺卿之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制为一员（《通考•职官》10《太仆卿》）。,,,①宋前期，无职事，为文臣寄禄官名。元丰正名，光禄卿以下诸脚阶，易为中散大夫（《宋史•职官志》9《元丰寄禄格》）。②元丰新制，本寺长官，掌车辂、厩马之政令（《宋史•职官志》4《太仆寺》）。,,太仆卿。《却扫编》卷中：“宗室令铄为太仆卿，性勤吏事。”《分纪》卷35《太仆卿》：“国朝《元祐官品令》，太仆寺卿从四品。”,宋代官制辞典第340页，宋代官制辞典第341页,西周有太仆正（《尚书•冏命序》）。太仆卿之称，后汉已有，但“卿”字不必入衔；至梁天监七年（508），以太仆卿为官衔。太仆寺卿始置于北齐（《后汉书•百官志》、《隋书•百官志》上、中）。北宋沿置。,,,,
,太仆寺少卿,,,,,,,①宋初因唐制，唐为从四品上（《旧唐书•职官志》3）。②元丰改制后，少卿正六品（《职源•官品》）。杂压在卫尉少卿之下、大理少卿之上。,,元丰新制定以一人（《通考•职官》10《太仆卿》）。,,,①宋前期无职事，为文臣迁转官阶，元丰正名，易朝议大夫阶（《邵氏闻见录》卷1）。②元丰新制，为本寺副贰，佐正卿总马政事（《元丰官制》）。,,太仆少卿。《长编》卷31丙午：“太仆少卿张泊。”《分纪》卷19《太仆卿》：“国朝《元祐官品令》太仆寺卿从四品，少卿正六品。”,宋代官制辞典第341页,卫尉寺少卿始设于北齐（《隋书•百官志》中）。北宋沿置。,,,,
,太仆寺丞,,,,,,,①宋前期因唐制，唐为从六品上（《六典》卷17《太仆寺》）。②元丰新制后正八品（《职源•官品》）。其杂压，在光禄寺以下七寺丞中，位居卫尉寺丞之下、大理寺丞之上。,,元丰官制定以一人（《宋史•职官志》4《太仆寺》）。,,,①宋前期寺监丞皆不掌本司事，为文臣迁转官阶（《宋史•职官志》9《文臣京官至三师叙迁之制》）。②元丰新制正名，丞参领本寺事（《通考•职官》10）。,,①寺丞。《长编》卷417壬子：“太仆寺丞高士英为工部员外郎。……寺、监丞之出，例为监司，以士英久佐太仆，除一郎官固不为过。”②太仆丞。《分纪》卷19《太个丞》：“国朝《元祐官品令》，太仆寺丞正八品。”,宋代官制辞典第341页,秦汉有太仆丞（《汉书•张敞传》）。太仆寺丞始置子北齐（《隋书•百官志》中）。北宋沿置。,,,,
,太仆寺主簿,,,,,,,①宋初因唐制，唐为从七品上（《六典》卷17）。②元丰改制后为从八品（《职源撮要•官品》）。,,,,,①宋前期寺监主簿无职事，为空官，或作文臣迁转官阶（《宋史•职官志》9《文臣京官至三师叙迁之制》）。②元丰新制正名，为本寺职事官，掌勾考本寺簿书。元祐元年八月六日定太仆寺主簿许通管本寺事（《长编》卷384辛卯）。,,太仆主簿。《分纪》卷19《太仆•主簿》：“国朗《元祐官品令》太仆寺主簿从八品。”,宋代官制辞典第341页,太仆寺主簿始置于隋初（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月罢。,,,,
,府史,,,,,,,,,,,,,,,宋代官制辞典第341页,,,,,
,左、右飞龙院官司名。,,,,,,,,,设左飞龙使、右飞龙使，各二人。下辖养马务四（《长编》卷21庚辰）。,,,养国马以供军国之用（《长编》卷18乙卯）。,,飞龙院。《长编》卷8辛巳：“幸建隆观，遂幸飞龙院。“《宋史•兵志》12《马政》：“其官司之规，则太祖承前代之制，初置左、右飞龙二院。”,宋代官制辞典第341页,唐有飞龙院、小马坊之号。五代后唐长兴元年（930）置左、右飞龙院。宋初沿置。太平兴国五年正月七日，改飞龙院为天厩院（《长编》卷21庚辰、《分纪》卷19《左右骐骥院》）。,,,,
,左、右飞龙使,,,,,,,,,左飞龙使二人，右飞龙使二人（同前书卷）。,,,各领左、右飞龙院事（《宋史•兵志》12）。,,,宋代官制辞典第341页,唐万岁通天元年（696），殿中省置仗内六厩，其一为飞龙，并设内飞龙使（《新唐书•宜者•田令孜传》、《分纪》卷19《左、右骐骥院》）。北宋沿置。太平兴国五年正月七日罢（《长编》卷21壬午）。,,,,
,左、右天厩院,,,,,,,,,本院设左、右天厩使。辖有左、右天驷监（《长编》卷149）。,,,掌国马养牧以供军国之用。,,①天厩。《宋史•兵志》12：“雍熙四年（二年），改天厩为左、右骐骥院。”《玉海》卷149《雍熙骐骥院》：“左右飞龙院，兴国五年改名天厩院；雍熙二年十月丙辰，改为左、右骐骥院。”②天厩院。《玉海》卷149《太平兴国天厩院》：“（兴国五年正月壬午）改左右飞龙院为左右天厩院。”原注：“云六年驾幸监，改天厩院。”,宋代官制辞典第341页，宋代官制辞典第342页,北宋太平兴国五年（980）正月七日，左右飞龙院改名左、右天厩院。太宗雍熙二年（985）十月十六日，又改天厩院为左、右骐骥院（《玉海》卷149《雍熙骐骥院》、《长编》卷21壬午、《宋史•兵志》12）。,,,,
