类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,太府寺,,,,,,,,,①宋前期，判太府寺事、同判太府寺事各一人（或说罕置）。吏额：府史三人，驱使官一人，后行二人，监斗秤务官二人，法物都知二人（《宋会要•职官》27之1）。②元丰新制，太府寺卿、少卿各一人，太府寺丞、主簿各二人。分案九。所隶官司二十四。吏额六十五（《宋会要•职官》27之2、3，《宋史•职官志》5《太府寺》）。③南宋绍兴末、隆兴初，官额：太府寺卿、少卿各一人，太府寺丞三人，主簿一人。设案七。吏额为：胥长一人、胥史二人、胥佐十七人、贴司四人，书状司一人《宋会要•职官》27之1、31）。,,,①宋前期，太府寺职事如库藏贸易、四方贡赋、百官俸给，都归三司。本寺止掌供祠祭用香、币、帨巾、神位席及制造标准斗、秤、升、尺等计量用具（《合璧后集》卷35《太府寺》）。②元丰官制行，掌库藏、出纳、商税、度量、市易、平准、店宅之事（《分纪》卷20《太府》、《宋会要•职官》56之25）。,,①太府。《宋会要•职官》27之59：“太府、司农下诸军粮料院置历。”《玉海》卷124《太府》：“元丰改制，始掌财货出纳、贸易之事。”《分纪》卷20《太府》：“国朝太府寺，掌库藏、出纳、商税、市易、平准、店宅之事。”②司府。拟唐官司称。《栾城集》卷30《韩宗道太府少卿、宋光庭太常少卿》：“隋唐以来，政在中台，则寺监之事，盖无几矣。然至于奉常、司府，礼乐、财赋之所在。”《六典》卷20《太府寺卿》：“光宅元年，改为司府寺。”③外府。拟唐官司称。《攻媿集》卷35《太府寺丞沈作宾刑部郎官》：“养资外府，而后迁焉。”《旧唐书•职官志》3《太府寺》：“龙朔改为外府，光宅改司府，神龙复为太府寺也。”,宋代官制辞典第364页,《周礼•天官》有“大府”官名。《周礼》三百六十官，名与职相符而沿用至宋朝者，唯太府一官（《咸淳临安志》卷6《太府寺》）。太府寺之名始于北齐（《通典•职官》8《太府卿》）。北宋沿置。南宋建炎三年四月十三日罢，并于户部金部司，绍兴元年五月二十三日复置寺（《要录》卷22庚申、《宋会要•职官》27之27《太府寺》）。,,,,
,判太府寺事,,,,,,,,,,,,,,判太府寺。《长编》卷10，开宝二年十二月：“授太子中允、判太府寺。”《宋会要•职官》27之1：“太府寺，判寺事一人。”,宋代官制辞典第364页,,,,,
,太府寺卿,,,,,,,元丰改制后从四品（《分纪》卷20《太府卿》）。位列七寺卿之末（《宋史•职官志》8《元丰以后合班之制》）。,,一人或阙置。,,,元丰新制，太府寺卿为本寺长官，掌国家财货之政令，总领库藏出纳、贸易、平准、店宅等事（《合璧后集》卷35《太常卿》）。,,①太府卿。《分纪》卷20《太府•卿》：“国朝《元祐官品令》：太府卿从四品。”《宋会要•职官》27之2：“《神宗正史职官志》太府寺卿从四品。”②长外府。《攻媿集》卷36《太府卿辛弃疾集英殿修撰知福州》：“召对便殿、擢长外府。”,宋代官制辞典第364页,梁天监七年（508）始置太府卿（《隋书•百官志》上）。太府寺卿始设于北齐（《隋书•百官志》中）。宋沿置。南宋建炎三年四月十三日罢，绍兴四年五月二十六日复置（《宋会要•职官》27之27、28）。,,,,
,太府寺少卿,,,,,,,元丰改制后及南宋为正六品（《分纪》卷20《太府•少卿》、《庆元条法》卷4《官品令》）。位列七寺少卿中之末。七寺少卿班位在集英殿修撰之下、尚书都司郎中之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制编制一人。徽宗崇宁间有“太府一卿二少三丞一簿”之说（《宋会要•职官》56之25）。,,,元丰五年行新官制，为本寺副长官，佐正卿领本寺事（《宋史•职官志》《太府寺》）。,,①太府少卿。《两朝备要》卷1绍熙元年：“徙光祖为太府少卿，由此遂出。”《分纪》卷20：“国朝《元祐官品令》太府寺少卿正六品。”②外府亚卿。《攻媿集》卷39《太府少卿王廷太府卿、淮东总领》：“登外府亚卿之华，顷以王臣往给军食。”③贰外府。南宋常以太府少卿总领军储。《攻媿集》卷37《蔡勘司农少卿》：“比总军储，尝贰外府，升之农扈。“《要录》卷157甲申：“直宝文阁汪召嗣守太府少卿、总领四川财赋军马钱粮、专一报发御前军马文字。”④府少。《后村大全集》卷60《章琰府少兼检讨》：“受藏之府，不过四方惟正之供，予以廪兵禄而已。”,宋代官制辞典第364页，宋代官制辞典第365页,太府少卿始置于北魏（《魏书•官氏志》）。太府寺少卿始置子北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。绍兴四年五月二十六日与太府寺卿同时复置（《要录》卷44戊午）。,,,,
,太府寺丞,,,,,,,元丰改制后为正八品（《职源•官品》）。位列七寺丞之末。七寺丞班位在两赤县令之下、秘书郎之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定员二人，元符元年七月增为三员，徽宗崇宁间丞四员，宣和三年十一月复为三员。南宋建炎三年四月罢置。绍兴元年五月复置一员，三年十二月九日增为二员，绍兴十一年正月增为三员（《宋会要•职官》27之1、2、16、23、27、28，《宋会要•职官》56之25）。,,,①元丰新制为职事官，参领太府寺事，并专掌书押交引库钞引（《宋会要•职官》27之30、《宋史•职官志》5《太府寺》）。②崇宁至宣和三年增置寺丞一员，专行点检京师七药局事（《宋会要•职官》27之23）。,,①太府丞、府丞。《齐东野语》卷17《景定行公田》：“以太府丞陈为简阅官以副之。……遂檄府丞陈訔往湖、秀。”《两朝备要》卷4，庆元二年《留正落职罢祠》：“又擢太府寺丞陈贾为监察御史。”②大府丞。《周礼》称：“大府。”《齐东野语》卷17《景定彗星》：“大府丞杨巽。”《周礼•天官冢宰》下：“大府，掌九贡九赋九功之贰。”③寺丞。《宋会要•职官》27之30：“太府寺丞三员既衮同分押钞引，合一体推赏。”,宋代官制辞典第365页,梁置太府丞（《通典•职官》8《太府卿》）。太府寺丞始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎二年四月十三日罢（《要录》卷22庚申）。绍兴元年五月二十三日复置（《宋会要•职官》27之27）。,,,,
,太府寺主簿,,,,,,,元丰改制后从八品（《宋会要•职官》27之、2）。位列于九寺主簿之末。九寺主簿班位在御史台主簿之下、门祇候之上（《宋史•职官志》8《元丰以后合班之制》）。,,一员（《宋会要•职官》27之1、2）。,,,勾考本寺簿书（《愧郯录》卷6《寺监簿职守》）。,,①太府簿。《宋史•李孟传传》：“太府簿吴。”②勾稽外府。《攻媿集》卷39《干办审计司范苏太府寺主簿》：“勾稽外府，姑以序进。”③大府寺簿。《宋史•吕午传》：“免丧，迁大府寺簿。”《宋史•别子杰传》：“迁太府寺主簿。”,宋代官制辞典第365页,南朝梁置太府主簿（《六典》卷20《太府寺》）。太府寺主簿始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日罢。绍兴十年正月二十九日复置。隆兴元年七月二十六日省罢，二年闰十一月二十七日复置（《要录》卷134甲戌，《宋会要•职官》27之31、32）。,,,,
,太府寺市易案,,,,,,,,,,,,,,,宋代官制辞典第365页,,,,,
,太府寺平准案,,,,,,,,,,,,,,,宋代官制辞典第365页,,,,,
,太府寺第一案,,,,,,,,,,,,,,,宋代官制辞典第365页,,,,,
,太府寺第二案,,,,,,,,,,,,,,,宋代官制辞典第365页，宋代官制辞典第366页,,,,,
