类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,宗正寺,,,,,,,宗正寺、太常寺于九寺中位次最高。宗正、太常卿皆正四品，光禄寺等七寺卿为从四品；太常、宗正少卿从五品，光禄寺等七寺少卿为正六品；太常、宗正二寺丞皆从七品，光禄寺等七寺丞为正八品（《宋史•职官志》8《官品》）。初，宗正寺卿、少卿须除国姓（赵）人，元丰六年后不专差（《玉海》卷120《咸平宗正寺》、《宋会要•职官》20之5）。,,①宋前期，置判宗正寺事二（包括同判），若阙，则以知宗正丞事补；主簿一员。或置兼卿官。此外，室长、斋郎无定数，太庙宫闱令、后庙宫闱令、奉慈庙宫闱令各一人。修玉牒官（多为兼差），无定员。陵台令（永安知县兼），诸陵副使、都监等。吏额有楷书四人、府吏二人、驱使官九人、庙直官一人。修玉所吏人，有典三人、楷书四人（《宋会要•职官》20之1《两朝国史志》）。②元丰新制，宗正卿、少卿、丞、主簿各一人。太庙令由太常寺归隶宗正寺。辖有玉牒所。分案二：属籍案、知籍案。吏额有六人。胥长一人，胥史一人，胥佐二人，楷书、贴书各一人（《宋会要•职官》20之5引《神宗正史职官志》）。③南宋编制无常。建炎间，本寺官省置，以太常少卿兼宗正卿，吏人减半。绍兴三年置少卿一员。五年复置宗正寺，增置丞一员。十年增置主簿一员，隆兴元年省簿，二年复置簿。吏额有胥长一人，胥史一人，胥佐二人，贴书二人，楷书二人（《宋史•职官志》4《宗正寺》，《宋会要•职官》20之10、11、15，《咸淳临安志》卷6《玉牒所•崇正寺》）。,,,掌宗室名籍，修纂牒、谱、图、籍，宗室赐名定名，奉宗庙、诸陵寝、园庙荐享等事；徽宗崇宁后提举诸王宫大小学；仁宗景祐三年建大宗正司前，并管皇族事务（《宋会要•职官》20之1、5，《合璧后集》卷33《宗正卿》，《燕翼诒谋录》卷4）。自仁宗朝置大宗正司后，宗司直接管理皇族宗室事务。宗正寺职能与权力减弱，仅限于管理修纂皇帝《玉牒》和皇族《属籍》等工作。宋代宗正寺与大宗正司并存，是宋代宽容宗室的特殊宗室产物。,,"①宗寺。《宋会要•崇儒》1之17：""宗正寺言：‘宗学合行事件：一、每月私试差官，宗寺长贰轮充监试。’”②宗正。《咸淳临安志》卷6《玉牒所•宗正寺》：“宗正古官也。由汉唐至今用之，均列之九寺。”③司宗。拟唐官司称。《玫媿集》卷37《监登闻鼓院李友直宗正寺主簿、监都进奏院主簿罗克开国子监主簿》：“在司，则司宗为清；在监，则胄庠为重。”《唐会要》卷65《宗正寺》：“龙朔元年改为司宗寺。”④麟寺。《鼠璞》卷上《麟趾》：“今称宗正寺曰麟寺。”",宋代官制辞典第313页，宋代官制辞典第314页,宗正为古官，始于秦汉（《汉书•百官表》上）。宗正寺之设，始于北齐（《隋书•百官志》中）。两宋沿置。南宋建炎三年四月十三日并入太常寺，绍兴五年国二月二十七日复置寺（《要录》卷22庚申）。,,,,
,判宗正寺事,,,,,,,以国姓（赵）两制以上文官充（同前书卷）。,,置一人或二人。,,,领本司事，掌应奉诸陵、庙荐享，及皇族籍（《宋史•职官志》4《宗正寺》）。,,判寺。《宋史•职官志》4《宗正寺》：“判寺赵世长改为知寺事。”《玉海》卷130《咸平宗正寺》：“赵概判宗正寺。”,宋代官制辞典第314页,“判寺事”之名，唐已有之，但非官名，如“宗正丞一人，判寺事”（《新唐书•百官志》3）宗正寺长贰“判宗正寺”（《长编》卷197丁卯等）。北宋始置（《玉海》卷130《咸平宗正寺》）。元丰改制正名，不复设。,,,,
,同判宗正寺事,,,,,,,,,,,,,,,宋代官制辞典第314页,,,,,
,知宗正寺事,,,,,,,,,①北宋前期，为行礼官，一员（《长编》卷86戊寅）。②元丰新制定员一人（《宋史•职官志》4《宗正寺》）。,,,管勾本司公事（《宋会要•职官》20之4）。,,"①知寺事。《宋会要•职官》20之5：""（嘉祐）六年十月，诏知宗正寺即管勾本司公事，遇祠祭许见官属，时以英宗知寺事，故下此例。”②宗正。《宋史，英宗纪》：“起为秦州防御使、知宗正寺。……七年八月，许罢宗正。”",宋代官制辞典第314页,北宋前期曾设权知宗正寺、知宗正寺官。嘉祐六年（1061）十月十二日，始以宗室子防御使赵宗实（即英宗赵曙）之（《宋史•英宗纪》）。后无继者。,,,,
,权知宗正寺事,,,,,,,,,,,,,,①知寺事。《玉海》卷130《咸平宗正寺》：“祥符九年，赵安仁兼卿，世长知寺事。”《长编》卷86戊寅：“以度支员外郎、权知宗正寺赵世长知孟州。”②知寺。《分纪》卷18《宗正卿》：“世长知寺数年，忽令兼丞，亦似无谓。”“以度支员外郎、权知宗正寺事赵世长知河阳。”,宋代官制辞典第314页,,,,,
,宗正寺卿,,,,,,,正四品（《宋史•职官志》8《唐令》、《分纪》卷18《宗正•卿》）。九寺中，与太常寺卿品位最高。,,①宋前期真宗朝见置，多以它官兼（《长编》卷48己亥、《宋会要•职官》20之3）。②元丰新制，编制一员，但“虚长贰不除”，徽宗朝方除人（《宋会要•职官》20之9）。③南宋不除人（《合璧后集》卷33《宗正卿》）。,,,为宗正寺长官。①宋前期，多以它官兼，祭祀用作行事官。若本寺不设知、判官时，过问寺事（《长编》卷86戊寅）。②元丰改制后，主掌修纂牒、谱、图、籍，以叙宗室派别，分昭穆而定同姓之亲疏远近，并总治宗子大小学政令（《宋会要•职官》20之5、《宋会要•崇儒》1之1《宗学》）。,,①宗正卿。《老学庵笔记》卷6：“宗正卿、少卿，祖宗因唐故事，必以国姓为之，然不必宗室也。“《宋史•职官志》4《宗正寺》：“卿少卿丞主簿各一人。”②宗正。《合璧后集》卷36引《东坡诗注》：“宗正为冷卿。”③宗卿。《职源撮要》之《宗正卿》：“宗卿设位，邦族是司，掌九族六亲之属籍。”④冷卿。《宋人轶事》卷20《故事》：“宗正为冷卿。”⑤大宗正卿。大卿与少卿相对而言。《长编》卷86大中祥符九年二月戊寅：“本寺言：“陵庙行礼阙官，准令文宗正卿一员，少卿、丞各二员，主簿一员。’时止赵安仁兼卿。”《宋会要•职官》20之3：“（大中祥符八年）十一月，兵部侍郎兼宗正卿赵安仁。”,宋代官制辞典第314页，宋代官制辞典第315页,东汉有宗正卿之名（《后汉书•百官志》3）。北齐始称宗正寺卿（《隋书•百官志》中）。两宋沿置。宋前期为兼官，元丰行新制时，虚而不除人；南宋不置（《合璧后集》卷33《宗正卿》）。,,,,
,宗正寺少卿,,,,,,,从五品。在九寺少卿中，宗正、太常少卿位次最高，光禄寺等七寺少卿总称“七寺少卿”而与宗正、太常少卿分别开来（《宋史•职官志》8《唐令》、《分纪》卷18、《宋史•职官志》8《元丰以后合班之制》）。,,①北宋前期用作祭祀行事官二人（《长编》卷86戊寅）。②元丰新制定员一人（《宋会要•职官》20之1《宗正寺》）。③南宋初，由太常少卿兼，绍兴三年后复（《要录》卷22庚申）。,,,①宋前期，多以它官兼领，用作祭祀行事官。本寺不设知、判官时，过同寺事（《宋会要•职官》20之3《宗正寺》）。②元丰新制后，为本寺副长官，佐卿领寺事。,,①宗正少卿。《老学庵笔记》卷6：“宗正少卿……元丰中始兼用庶姓。”《宋会要•职官》20之11：“宗正寺少卿，依一般寺监破衣粮亲事官四人。”②宗政少卿。《齐东野语》卷11《邓友龙开边》：“于是召（章）文庄为宗政少卿，友龙不能平。”③少宗正。《宋史•刘颖传》：“除宗正少卿，迁起居郎⋯⋯。其少宗正，而丞相赵汝愚适归，相遇于废寺。”,宋代官制辞典第315页,北齐始置宗正寺少卿（《隋书•百官志》中）。北宋前期，为祭祀行事官，由它官兼领。元丰新制后正式除授。南宋沿置（《长编》卷86戊寅、《庆元条法》卷4《官品令》）。,,,,
,宗正寺丞,,,,,,,①宋初因唐制，唐为从六品上（《新唐书•百官志》3）。②元丰新制后为从七品（《宋会要•职官》20之5、《分纪》卷18《宗正•丞》）。太常丞、宗正丞、秘书丞号称三丞，“其选甚清”（《宋会要•职官》20之9），比光禄寺等七寺丞品位（皆正八品）高一等。,,①宋前期，作祭祀行事官时，真宗朝曾设二员（《长编》卷86戊寅）。②元丰新制定员一人（《宋会要•职官》20之3《宗正寺》）。,,,①宋前期无职事，为文臣寄禄官阶（元丰新制改奉议郎）（《通考•职官》9《宗正卿》）。②元丰新制后为职事官，参领本寺事。如长贰不除，则“专以丞听寺事”（《宋会要•职官》20之6）。,,①宗正丞。《宋史•职官志》9《群臣叙迁》：“宗正丞，无出身转国子博士。”《长编》卷404辛卯：“太常博士吕希纯宗正寺丞。”②丞。《宋会要•职官》20之9：“宗正所以崇奉玉牒。元丰董正治官，虚长贰不除，专以丞听寺事，盖与太常、秘书号为三丞。”③司宗丞。《攻媿集》卷39《枢密院编修官许介宗正丞》：“司宗有丞，在颂台、册府之间，非列寺比。”,宋代官制辞典第315页,宗正丞始于秦汉（《汉书•百官表》）。宗正寺丞始于北齐（《隋书•百官志》中）。两宋沿置。南宋建炎三年罢，绍兴五年复置（《要录》卷22庚申）。,,,,
,知宗正丞事,,,,,,,,,,,,,,知丞事。《宋会要•职官》20之1：“宗正寺判寺事二人，以宗姓两制以上充，阙则以宗姓朝官以上知丞事。”《长编》卷160癸卯：“知宗正丞赵恭和言：‘今庙壖短，而去民居近，非所以严宗庙也。’”,宋代官制辞典第315页,,,,,
,宗正寺主簿,,,,,,,①宋初因唐制，唐为从七品上（《新唐书•百官志》3）。②元丰正名后定为从八品（《宋会要•职官》20之1、《分纪》18《宗正•主簿》）。,,一员（《宋史•职官志》4《宗正寺》）。,,,①宋前期为文臣迁转官阶，偶作职事官。②元丰新制为职事官，掌勾稽本寺簿书，并通管本寺杂务（《长编》卷387辛未）。,,宗正寺簿。《宋会要•职官》20之14：“宗正寺簿除不预纂修玉牒外，其余职事相兼管干。”《合璧后集》卷33《宗正寺簿》：“（隆兴元年）宗正并省主簿一员。”,宋代官制辞典第315页，宋代官制辞典第316页,主簿之名始于战国秦昭王时代（《水经注•江水注》）。宗正主簿始置于西晋（《晋书•职官志》）。宗正寺主簿肇设于北齐（《隋书•百官志》中）。北宋天禧元年（1017）始以卫尉寺丞赵鼎兼宗正寺主簿。元丰正名，沿设。南宋建炎三年罢，绍兴十年复。隆兴元年七月省簿，二年闰十一月复置（《合璧后集》卷33《宗正寺簿》、《宋会要•职官》20之11）。,,,,
