类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,入内内侍省,,,,,,,入内内侍省（后省）比内侍省（前省）更亲近宫内，其位遇比内侍省高。后省官缺，由前省内侍官补。官品：元丰改制定官品后，《元祐令》、南宋略有更动。①元丰官品：从五品（都都知）、正六品（都知、副都知、押班）、从八品（内东、西头供奉官）、正九品（内侍殿头、内侍高品）、从九品（内侍高班、内侍黄门）（见《宋会要•职官志》36之13）。②元祐令：都知由正六品升为从五品（《分纪》卷26）。③南宋《淳熙令》、《庆元令》：入内内侍省都知仍为正六品（《宋史•职官志》8《官品令》）。④《庆元令》定内常侍为正八品（《庆元条法事类》卷4《官品令》）。,,①入内内侍省建立之前，内侍长官有内中高品都知、入内小底都知、押班（《分纪》卷26《入内内侍省都都知》）。宦官有太平兴国四年所定人内殿头高班、殿头高品、殿头小底三等；雍熙三年增加入内供奉官、入内高班内品（后改黄门高品）（同前书卷）。②入内内侍省建立以后，内侍长官有都都知、副都知、都知、押班（《分纪》卷26《入内内侍省都都知》）。宦官，大中祥符二年二月三日，改定六等：内东头供奉官、内西头供奉官（以上由入内供奉官改）、内侍殿头（殿头高班改）、内侍高品（殿头高品改）、内侍高班（入内黄门高品改）、内侍黄门（黄门改）。其下为小黄门，不入等（《宋会要•职官》36之5）。③元丰改制，立定内侍官额：入内内侍省都都知、都知、副都知、押班（以上领省事），内东头供奉官、内西头供奉官、内侍殿头、内侍高品、内侍黄门。初补为小黄门。皆不定员。又有祗候班，其名目为：祇候殿头、祇候高品、祗候高班内品、祇候小内品、贴祗候内品、入内内品、把门内品、后苑内品、后苑散内品。分房二，更额十四人（《宋会要•职官》36之13）。元丰八年，又增内常侍之名。④崇宁二年五月四日，改入内内侍省都知为知入内内侍省事，副都知为同知入内内侍省事，押班为签书入内内侍省事（《宋会要•职官》36之21）。⑤政和二年改名，自内东、西头供奉官至内侍黄门六等改称：供奉官、左倚禁、右侍禁、左班殿直、右班殿直、内侍黄门。祇候班祇候殿头改沩祗候侍禁、祇候高品改为祇候殿直、祇候高班内品改为祇候黄门内品（《宋史•职官志》6《入内内侍省》）。⑥靖康元年，仍依元丰旧法称名，罢政和内侍改名之制（《宋会要•职官》36之25）。⑦南宋绍兴三十年九月，内侍省并入，合两省为一。隆兴元年，内侍定员二百人。分房五，吏额三十五人（《朝野杂记》甲集《内侍两省》）。其所属官司有：御药院、内东门司、合同凭由司、管勾往来国信所、造作所、后苑、军头引见司、翰林院、及诸阁勾当官等（《宋史•职官志》6《入内内侍省》）。,,,在皇帝、后妃居所承担饮食、寝居等一切日常生活的待奉、执役职务，所谓“通侍禁中，役服亵近者”。此外，内殿引对群臣，执行百官名物的审计、颁赐，发金字递，收接边奏，勾当宫中内诸司，沟通宫中（内庭）与省中（朝廷）的联系，及任中使差遣于外督察众务（包括监军）等等（《宋史•职官志》2《入内内侍省》、《朝野杂记》甲集卷10《内侍两省》、《宋会要•职官》36之4）。,,①入内省。《分纪》卷26：“元丰八年定诸两省内臣诸级：入内省、内侍省。”《宋史•职官志》6《入内内侍省、内侍省》。②北司。《合璧后集》卷53引《职略》：“入内内侍省号北司。”③后省。《宋史•职官志》6《入内内侍省》：“后省官阙，则以前省官补。”《朝野杂记》甲集卷10《内侍两省》：“今入内内侍省，旧后省也。”④后殿。《宋会要•职官》36之8：”前、后殿都知亲戚不得差勾当御药院。”《长编》卷117癸丑：“诏尝为入内都知、押班而落职者，自今毋得复任。其见任者，毋得勾当皇城司，亲戚毋得勾当御药院。“⑤中省。《长编》卷175九目：“入内都知张惟吉等言：‘备员中省。’”⑥宫省。《合璧后集》卷53《入内内侍省副都知•事类》：“参治宫省《曲阜行宋用臣制》。”,宋代官制辞典第51页，宋代官制辞典第52页,宋以前无。景德三年（1006）二月十四日，合并内东门都知司、入内都知司、内侍省入内内侍班院为入内内侍省，是置司之始（《长编》卷62）。宋开国之初，为内中高品班院；淳化五年改名入内内班院，又改为入内黄门班院，又改内侍省入内内侍班院。至真宗景德三年二月方立省（《分纪》26《入内内侍省都都知》）。南宋沿置（《朝野杂记》甲集卷10《内侍两省》）。,,,,
,入内都知司,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,东门都知司,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,入内内班院,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,入内内班都知,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,入内内班押班,,,,,,,,,,,,,,入内押班。《宋史•卫绍钦传》：“（淳化中）授入内押班。五年，加崇仪副使。……真宗嗣位（997）拜宫苑使、领爱州刺史、充入内副都知。”,宋代官制辞典第52页,,,,,
,入内黄门班院,,,,,,,,,,,,,,黄门。《宋史•李神福传》：“属初易黄门之号，转入内黄门都知。”《分纪》卷26《入内内侍省都知》：“淳化五年，改入内内班院，又改入内黄门班院，又改内侍省入内内侍班院。”,宋代官制辞典第52页,,,,,
,入内黄门都知,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,内侍省入内内侍班院,,,,,,,,,,,,,,,宋代官制辞典第52页,,,,,
,内侍省入内内侍都知,,,,,,,,,,,,,,都知。《宋史•李神福传》：“真宗即位，迁皇城使、内侍省入内内侍都知。……未几，求罢都知。”,宋代官制辞典第52页,,,,,
