类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,宫官,,,,,,,,,,,,,,女官，即宫人女宫。《宋会要•后妃》4之2：“宫人女官品：六尚书正五品。”《宋诏令》卷22《典簿韩氏司言等制》：“具官某氏等，宫官六尚之属，虽以品秩为差，非恩俾迁焉，亦何由而进乎此？”,宋代官制辞典第15页,,,,,
,内省,,,,,,,,,,,,,,,宋代官制辞典第15页,,,,,
,知内省事,,,,,,,,,,,,,,,宋代官制辞典第15页,,,,,
,尚书内省,,,,,,,,,,,,,,①内尚书省。《玉堂杂记》：“自来宰执兼领书局多是内尚书省批出局名。“《宋会要•职官》2之26《通进司》：“凡内外奏覆必关二司。然后进外，则内官与枢密吏人主掌；内则尚书内省籍其数以下有司。”②大内内侍省。即尚书内省，真宗时见称（《宋诏令》卷24《大内内侍省尚宫赵氏赠崇德夫人制》）。,宋代官制辞典第15页,①内省改名，太宗朝改（《宋会要•后妃》4之1《内职》）。②徽宗朝政和三年五月改定尚书内省职事，确立尚书内省。其下分六司，拟外朝尚书省六部，专以收受尚书省六部所上奏事（《宋诏令》卷21《改定尚书内省职掌御笔政和三年五月二十八日》，及《宋史•徽宗纪》3）。,,,,
,知尚书内省公事,,,,,,,,,,,,,,①知尚书内省事。《宋会要•后妃》4之19：“知尚书内省事、和义郡夫人王从谨。”②知尚书内省。同前书4之13：“主管大内公事、知尚书内省、兼提举十阁分、嘉国懿康惠徽夫人朱氏。”,宋代官制辞典第15页,,,,,
,管勾尚书内省公事,,,,,,,,,,,,,,管干尚书内省公事。《宋会要•后妃》3之27：“（元祐）八年，诏听宣胡氏、董氏等并特授掌簿、夫人、管干尚书内省公事。”,宋代官制辞典第15页,,,,,
,司宫令,,,,,,,正四品，位在六尚之上（《宋会要•后妃》4之4）。,,,,,总领后宫女官事。,,,宋代官制辞典第15页,大中祥符六年（1013）二月一日始置，原用于加恩真宗朝宫正邵氏，后立为定制（见《长编》卷80）。,,,,
,尚宫,,,,,,,正五品。位于司宫令之下、六尚之首（《宋会要•后妃》4之2）。,,二人。,,,初，与太监并知内省事（后改为尚书内省）。真宗朝，位于司宫令之下，掌导引皇后，总管五尚（尚仪、尚服、尚食、尚寝、尚功）所需物出纳之事；所辖官有司记、司言、司簿、司闱（《宋会要•后妃》4之1、2）。,,尚书。《宋会要•后妃》4之1：“尚宫、大监并号尚书。”,宋代官制辞典第15页,隋文帝时已置，掌导引皇后等事（《北史•后妃传》上）。宋朝太宗朝始见置。,,,,
,司言,,,,,,,正七品。在尚宫所属四司中，位次司记（《宋会要•后妃》4之2）。,,二人。下辖僚佐有典言、掌言各二人，及女史六人。,,,掌传宣奏、启事。宋朝太宗时始见置。,,,宋代官制辞典第15页，宋代官制辞典第16页,隋炀帝时增置女官，始置此名（《北史•后妃传》上）。,,,,
,典言,,,,,,,具体官品失载，盖介于司言（正七品）与掌言（正八品）之间无疑（《宋会要•后妃》4之2，并参《六典》卷12《司言、典言、掌言》）。,,二人。,,,为司言官之佐贰。,,,宋代官制辞典第16页,隋炀帝时始置（《北史•后妃传》上）。宋朝于仁宗朝天圣《内命妇品职令》中始见（《宋会要•后妃》4之2）。,,,,
,掌言,,,,,,,正八品。位在典言之下（《宋会要•后妃》4之2）。,,二人。,,,与典言同为司言官之佐贰。,,,宋代官制辞典第16页,隋炀帝时始置（《北史•后妃传》上）。宋朝于仁宗天圣《内命妇品职令》中始见置。,,,,
,司记,,,,,,,正七品。尚宫所属四司中，位居首司（《宋会要•后妃》4之2）。,,二人。下辖僚佐典记、掌记各二人及女史六人。,,,初置时，兼知尚书内省事。真宗朝以后，掌后宫诸司文书进出登记目录、审讫付行、监督用印等事。,,,宋代官制辞典第16页,始置于宋太宗朝（《宋会要•后妃》4之1《内职》）。,,,,
,典记,,,,,,,介于司记（正七品）与掌记（正八品）之间（《宋会要•后妃》4之2，参《六典》卷12《内官》）。,,二人。,,,为司记官之佐贰。,,,宋代官制辞典第16页,隋炀帝时始置（《北史•后妃传》上）。宋朝于仁宗朝天圣《内命妇品职令》中始见（《宋会要•后妃》4之2）。,,,,
,掌记,,,,,,,正八品，位于典记之下（《宋会要•后妃》4之2）。,,二人。,,,与典记同为司记官之佐贰。,,,宋代官制辞典第16页,隋炀帝时始置（《北史•后妃传》上）。宋朝于仁宗天圣《内命妇品职令》中始见置。,,,,
