类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,御史台,,,,,,,御史大夫从二品（改制前为正三品），御史中丞从三品，侍御史从六品，殿中侍御史正七品，监察御史从七品，检法官、主簿从八品。御史台为风宪之地、准绳之司，与中书、枢密院鼎立，不相统属。“中书、枢密亦不敢与御史府抗威争礼”（《徂徕先生文集》卷13《上孔中丞书》）。,,①宋前期，御史大夫不除人，御史中丞为实际台长，或以他官兼判御史台事。侍御史知杂事为副贰。下设三院：台院，侍御史掌领；殿院，殿中侍御史掌领；察院，监察御史掌领。资浅者入殿院、察院，称殿中侍御史里行、监察御史里行。凡祭祀、朝会，御史兼左巡使、右巡使、监祭使、廊下使、监香使，通称“五使”。真宗朝天禧元年始置言事御史（《玉海》卷121《祥符御史台》）。又有台狭四推（台一推、台二推、殿一推、殿二推）。推直官二人，主簿一人。太宗、真宗朝曾置推勘官（《分纪》卷14）。吏额有主事一人，令史十六人、主推四人、书吏四人、朝堂引赞官一人、副引赞官一人、知班三人、引事司一人、驱使官六人、四围驱使官五人，共四十二人（《宋会要•职官》17之1《两朝国史志》）。分案十四：内弹六案、外弹三案、杂事五案（《宋会要•职官》55之5）。②元丰新制，罢言事御事、御史里行、推直官等。御史大夫虚而不除。台长御史中丞一人，副台长侍御史一人，殿中侍御史二人，监察御史六人，检法官与主簿各一人。分案十，设吏四十四（《宋会要•职官》17之3）。③南宋御史台官额一遵元丰新制定员（《周文忠公全集》卷152《台谏员数回奏》）。吏额有变化，即前司主管班次三人，引赞官兼令史一人，副引赞官兼令史一人，知班兼书令史五人，驱使官兼书令史五人，守阙驱使官五人；四推主推各一人，书吏共三人；六察户察书吏四人、贴司三人，刑察书吏二人、贴司二人，吏、礼察书吏各二人，贴司各一人，兵、工察书吏、贴司各一人。绍兴二十六年，六察贴司由九人减为六人；孝宗朝，六察书吏由十二人减为六人（《宋会要•职官》17之2）。,,,皇帝耳目之官，掌纠察文武百官歪风邪气、贪官污吏，肃正朝廷纲纪法规。有大事得在朝廷、皇帝面前辩论抗争，小事则上奏弹劾；且许以风闻言事，不必有足够证据。京师命官犯罪审讯，须报御史台备案，并参与诏狱审理，疑难案件判决，婚、田、钱谷及各种诉讼处理等等（《宋会要•职官》17之3）。,,①台。宋代称“台”的机构唯有御史台，“台”则为御史台略称。《宋史•职官志》1《序》：“台、省、寺、监，官无定员。”《曾巩集》卷24《御史知杂制》：“台无大夫，中丞则御史之首。”②御史府。汉朝监察机构称御史府，宋人或用以别称御史台。《闻见近录》：“东坡既就逮，下御史府。“《东坡乌台诗案》之《御史中丞李定札子》：“臣窃见知湖州苏轼……讪上骂下，法所不宥。”“奉圣旨：送御史台根勘闻奏。”③乌府、乌台。御史台典故称。西汉御史府中柏树，常有数千只乌鸦栖宿，于是称御史府为乌府、乌台。《宋史•何铸传》：“进御史中丞，……所谓登乌府也。”（宋）朋九万《乌台诗案》。《汉书•朱博传》：“是时御史府吏舍百余区，井水皆竭；又其府中列柏树，常有野乌数千栖宿其上，晨去暮来，号曰‘朝夕鸟’。”④宪府。《林和靖诗集》卷4《寄上金陵马右丞三首》：“专席顷尝居宪府。”《周文忠公年谱》：“（绍兴三十二年）除监察御史。制词：‘擢居宪府，助朕耳目。’”⑤内台。与监司（地方监察长官）之称外台相对而言。《游宦纪闻》卷9：“后有谗之者，内台欲加论列。”《宋会要•职官》45之43：“人主深居九重，人才贤否不能遍察。故内而弹击则责之御史，外而按刺则责之监司。……臣僚言：天子耳目寄与台谏，而台之为制，则有内台、有外台，外台则监司是也。”⑥宪台。拟古官称，汉时御史府也称宪台。《曾巩集》卷22《满中行知无为军制》：“俾去宪台。“《通典•职官》6《御史台》：“所居之署，汉谓之御史府……，亦谓之宪台。”⑦南台。南北朝时御史台或称南台，宋人或沿用，以称御史台。《靖康要录》卷2：“至崇宁间，南台御史始有不言事者。”《通典•职官》6《御史台》：“梁及后魏，北齐或谓之南台。”⑧柏台、柏府。典故称，西汉成帝时，御史府舍柏树成林，于是后世引申之，以御史台称柏台、柏府。《挥麈后录》卷11：”（秦）桧云：‘延晖与某，靖康末，俱位柏台。’”《曾巩集》卷6《简景山侍御》：“柏府地严方许国。”《汉书•朱博传》：“是时御史府吏舍百余区井水皆竭；又其府中列柏树。”⑨台司。《宾退录》卷3：“一朝士，五月起居衣绯纱公服，为台司所纠。”《云麓漫钞》卷1：“续次陈奏，蒙下御史台，台司却牒过省部厅。”⑩台省。《玉壶清话》卷4：“惟台省知杂呵拥难近。”《长编》卷89甲戌：“给左、右巡使常从三人，台直官二人，主簿一人，从台省之请也。”按：台省知杂，即指御史台侍御史知杂事。左、右巡使、台直（御史台推直）皆御史台官。⑪南司。南北朝时御史台或称南司。宋文人或沿用之。《桯史》卷13《任元受启》：“端公（侍御史）居南司五院之中，与独坐（御史中丞）迭为宪长。”《分纪》卷14《御史台》：“笼架北省、控制南司北魏崔暹为（御史）中尉、（礼部）尚书，后牒索御史……。御史宋游道判云：‘崔仆射昔在宪司笼架北省，今居礼阁控制南司。’”⑫耳目之司。即皇帝耳目之司。《要录》卷124丁丑：“御史府，朝廷纲纪之地，而陛下耳目之司也。”⑬霜台。形容御史冷若冰箱、无情面可言。《桯史》卷13《任元受启》：“污我霜台。“《渑水燕谈录》卷4《高逸》：“霜台御史新为郡。”《初学记》卷12《御史大夫》：“崔篆《御史箴》曰：‘简上霜凝，笔端风起。’”④南司五院。御史台有三院，外加御史大夫、御史中丞二官，文人为讲究词藻，或以五院称御史台。《桯史》卷13《任元受启》：“（国朝）御史大夫不除，端公（侍御史）居南司五院之中，与独座（御史中丞）迭为宪长。”,宋代官制辞典第416页，宋代官制辞典第417页,西汉有御史府之名，东汉始称御史台，或称兰台寺（《通典•职官》6《御史台》）。宋沿置（《宋会要•职官》17之1），天禧元年置言事御史，台谏合一，御史台权渐重；仁宗又明令宰辅不得荐举台官，中丞、御史缺员须由天子亲擢，宪台遂成为牵制相权与纠察百官的强有力机构（《大事记讲义》卷9<仁宗皇帝•台谏》）。,,,,
,判御史台事,,,,,,,,,,,,,,,宋代官制辞典第417页,,,,,
,管勾御史台事,,,,,,,,,,,,,,①管勾御史台。《长编》卷211丁酉：“权管勾御史台陈荐。“同前书卷51癸卯：“以右谏议大夫宋太初权管勾御史台事。”②管台事。同前书卷169成成：“权御史中丞（田）况未至，又命（郭）劝为管勾御史台事。”原注：“管台事在二十四日丁未，今并书。”,宋代官制辞典第417页,,,,,
,御史大夫,,,,,,,宋前期沿唐、五代旧制，为正三品（《旧五代史•职官志》）。元丰新制升为从二品（《宋会要•职官》17之3）。元祐《官品令》升为正二品（《分纪》卷14《御史大夫》）。南宋时仍为从二品（《宋史•职官志》8《官品》）。其位秩，名义上是一台之主，“中丞、侍御史为之贰”（《宋会要•职官》17之3）。,,,,,①宋前期为检校官所带宪衔，如银青光禄大夫、检校左右仆射兼御史大夫、上柱国（《分纪》卷49《检校兼官》）。②元丰改制后，虚存其名，不除人（《石林燕语》卷3）。,,大夫。《徂徕先生文集》卷12《上孔中丞书》：“且天子之设御史府，尊其位，崇其任，不与他府并。旧有大夫，则中丞并大夫而领其属；今大夫阙，则中丞其专也。”,宋代官制辞典第417页,秦朝已置（《汉书•百官公卿表》上）。,,,,
,御史中丞,,,,,,,宋初沿唐五代之制，为正四品（《旧五代史•职官志》）。元丰新制定为从三品（《宋会要•职官》17之3）。元祐《官品令》升为正三品（《分纪》卷14《御史中丞》）。南宋时复为从三品（《宋史•职官志》8《官品令》）。序位在御史大夫之下，但御史大夫实不除人，因此御史中丞为御史台实际长官，须由皇帝亲擢。,,一人（《宋会要•职官》17之3）。自天圣七年闰二月二十四日始，御史中丞必带理检使，至元丰五年改制罢带使名（《长编》卷107癸丑、《宋会要•职官》3之70）。,,,为御史台长官（《通考•职官》7《御史台》）。,,①中丞。《四朝闻见录》乙集《翁中丞》：“中丞名彦国。”《东轩笔录》卷6：“御史中丞吕公著因便坐奏事⋯⋯，罢公著中丞。”②台丞。《朝野杂记》乙集卷13《非台丞、谏长而兼侍讲》。《合璧后集》卷25《御史中丞》：“台丞侍讲庆历二年，御史中丞贾昌朝侍讲延英阁。故事，台丞侍讲无在经筵者。”③中司。《石林燕语》卷5：“中司则独设椅子，坐于隔门之内。《后汉书•百官志》3《御史中丞》引蔡质《汉仪》：“丞，故二千石为之，或选侍御史高第，执宪中司、朝会独坐。”④中执法、执法。《东轩笔录》卷7：“平明中执法，怀疏又坚述。”《挥麈前录》卷4：“执法常公（同）闻其事。”《汉书•高帝纪》一下：“御史中执法下郡守。”晋灼注：“中执法，中丞也。”《宋史•常同传》：“除御史中丞。”⑤中宪。苏辙《龙川略志》卷6《西夏请和议定地界》：“元祐初，予自为谏官，及任中宪，随事献言。”《宋史•苏辙传》：“元祐元年，为右司谏。……使还，为御史中丞。”⑥台长。《齐东野语》卷7：“胡大昌、丁大全之并迁台长。”《宋会要•职官》17之1：“以中丞为台长。”⑦台主。《合璧后集》卷25《御史中丞•历代沿革》：“晋宋以下不置大夫，以中丞为台主。”⑧台纲之长。《攻媿集》卷37《何淡焕章阁学士知泉州》：“独任台纲之长，把麾而去江海。”《宋史•何淡传》：“进御史中丞，除焕章阁学士、知泉州。”⑨司。《长编》卷169癸亥：“（御史中丞）王举正疏曰：‘臣方叨司宪，适见除命，事干国体，不敢缄默。’”⑩台端。《石林燕语》卷9：“神宗欲用晦叔为中丞……乃召苏子容就曾鲁公第草制，中云：‘……台端之拜，无以易卿。’”⑪宪长。《东轩笔录》卷3：“宝元中，御史府久阙中丞。一日，李淑召对，仁宗偶问以宪长久虚之故。……许公奏曰：‘中丞者，风宪之长，自宰相而下，皆得弹击。’”⑫独坐。御史中丞于朝班中独坐一位，始于东汉，至赵宋尚存其遗制。《桯史》卷13《任元受启》：“（端公）与独坐迭为宪长。”《后汉书•耿秉传》：“光武时，诏御史中丞、司隶校尉、尚书令会同并专席而坐，故京师号曰‘三独坐’。”《石林燕语》卷7：“紫宸、垂拱（殿）常朝，幕次列于外庞。殿门内西庑，惟中丞以交椅一只，坐于殿门后稍西北间，盖独坐之意。”,宋代官制辞典第417页，宋代官制辞典第418页,秦御史大夫置两丞，一称御史丞、一称御史中丞，是则中丞之置始于秦（《初学记》卷12《御史中丞》）。宋沿置。,,,,
,权御史中丞事,,,,,,,,,,,,,,①权御史中丞。《宋史•王化基传》：“以右谏议大夫、权御史中丞。”《宋会要职官》17之23：“右谏议大夫王化基权御史中丞事。”②权中丞。《长编》卷20庚寅：“户部郎中候陟为谏议大夫、权御史中丞。权中丞始此。”《宋会要•职官》17之23：“户部郎中候陟为左谏议大夫、权御史中丞事。”,宋代官制辞典第418页,,,,,
,侍御史知杂事,,,,,,,侍御史知杂事位次于御史中丞，导从严肃，都人畏避。常以郎中、员外郎资格人充任。侍御史知杂事，在唐朝则待御史，官品从六品下，宋依唐制，不及五品，服绿；为提高其位著，特赐五品服（服绯）（《宋史•谢泌传》、《宋会要•职官》17之36）。,,一人（《宋朝事实类苑》卷25《御史台》）。,,,宋前期御史台副长官，专掌御史台事务；遇御史中丞网，则代以判台，签署本台公事（《宋会要•职官》17之36《御史知杂》）。,,①侍御史知杂。全称应为侍御史兼知杂事。《长编》卷227己卯：“侍御史知杂邓绾。”《宋史•邓绾传》：“迁侍御史知杂事、判司农寺。”《宋会要•职官》17之3：“旧以中丞兼理检使、侍御史兼知杂事。”②御史知杂事、御史知杂、知杂御史。《长编》卷204丙午：“礼部郎中、兼御史知杂事龚鼎臣。”李焘原注：“鼎臣以嘉祐元年五月知谏院，八年正月为知杂御史。”《宋史•龚鼎臣传》：“俄拜户部员外郎兼侍御史知杂事，赐三品官。转吏、礼二部郎中。”《挥塵后录》卷6：“蔡持正（确）为御史知杂。“《宋史•蔡确传》：“加直贤院、迁御史知杂事。”③知杂事、知杂、杂。《长编》卷205辛卯：“知杂事吕诲。”《宋史•吕诲传》：“迁兵部员外郎、兼侍御史知杂事。”《避暑录话》卷3：“（监察御史）有阙，则中丞与翰林学士、知杂选举二人。”《宋史•胡宗愈传》：“御史当用学士及丞、杂论荐。”④台杂。《玉壶清话》卷4：“太宗又问曰：‘何官职驺导雄伟、都人敛避？’左右答曰：‘惟台省知杂呵拥难近。’遂授（谢泌）以知杂。”《宋史•谢泌传》：“太宗问：‘何官驺导严肃、都人畏避？’有以台杂对者，即授泌虞部员外郎、兼侍御史知杂事。”⑤杂端。唐朝已有此称谓。《芦浦笔记》卷5《赵清献公充御试官日记》：“宣赴崇政殿后水阁，同直孺内翰、贯之杂端充编排官。”《通典•职官》7《侍御史》：“其知杂事者，谓之杂端，最为雄剧。”⑥南床。《麈史》卷中：“时邓绾文约任南床。”《宋史•邓维传》：“字文约。……迁侍御史知杂事。”《通典•职官》7《侍御史》：“侍御史之职有四，谓推、弹、公廨、杂事。其知杂事者，最为雄剧，食坐之南设横榻，谓之南床。”⑦副中丞、知杂侍御史、知御史杂事。《宋会要•职官》55之1：“知杂侍御史一员，以尚书省郎中、员外充副中丞、判台事。”《新刊名臣碑传琬琰集》卷8《赵清献公抃之碑》：“召知御史杂事为度支副使。”《宋史•赵抃传》：“召为侍御史知杂事，改度支副使。”《玉海》卷162《元祐御史台》：“（隋唐）侍御史一人知杂事，橫榻而坐，谓之南床。……本朝因之，……以郎中、员外郎兼侍御史知杂事，以贰中丞。”,宋代官制辞典第418页，宋代官制辞典第419页,唐朝时，以侍御史资格最深者一名，兼知杂事，如元和二年待御史知杂事卢坦（《唐会要》卷60《东都留台》）。北宋沿置，至元丰七年二月十七日，侍御史罢兼知杂事（《长编》卷343丙戌）。,,,,
,丞杂,,,,,,,,,,,,,,,宋代官制辞典第419页,,,,,
,御史台三院,,,,,,,,,,,,,,三院。《玉海》卷162《祥符御史台》：“以太常博士以上为三院。”《宋会要•职官》17之1：”（御史台）其属有三院，一曰台院，侍御史隶焉；二曰殿院，殿中侍御史隶焉；三曰察院，监察御史隶焉。”,宋代官制辞典第419页,,,,,
,判御史台三院事,,,,,,,,,,,,,,,宋代官制辞典第419页,,,,,
