类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,九寺五监,,,,,,,,,,,,,,,宋代官制辞典第295页,,,,,
,九寺三监,,,,,,,,,,,,,,,宋代官制辞典第295页,,,,,
,寺监长官,,,,,,,,,,,,,,①卿监。《长编》卷443乙酉：“六曹侍郎阙人，朝廷始擢用诸卿监为权侍郎。”②大卿监。与诸寺监副贰少卿、少监相对，而有此称。《宋会要•职官》18之49：“故事：大卿监无带馆职者。”《宾退录》卷3：“世俗称列寺卿曰大卿，诸监曰大监，所以别于少卿、监。”,宋代官制辞典第295页,,,,,
,寺监副贰,,,,,,,,,,,,,,①少卿监。《长编》卷310庚申：“自官制行，旧少卿监，为朝议大夫。”《宋会要•职官》56之2：“太常至司农少卿为朝议大夫。”②小卿监。《宋史•选举志》5《补荫之制》：“诸司大卿监子，寺监主簿……。小卿监兼职者子，试衔。”,宋代官制辞典第295页,,,,,
,诸寺监丞,,,,,,,,,,,,,,寺监丞。《长编》卷412癸卯：“初任通判，曾历外任亲民二年人充寺监丞。”同前书290辛巳：“诏自今诸寺监丞差通判以上资序人，如系知县人，即充主簿权发遣丞事。”,宋代官制辞典第295页，宋代官制辞典第296页,,,,,
,诸寺监主簿,,,,,,,,,,,,,,寺监簿。《宋史•袁枢传》：“上曰：‘可与寺监簿。’于是以大宗正簿召登对。”《愧郯录》卷6《寺监簿职守》：“自元丰五年官制行，九寺五监各置主簿。……元丰六年七月庚申，诏寺监主簿止是专掌簿书，其公事自当丞以上（原为“以下”，据《长编》改）通议施行。今取问寺监，有令主簿签书公事处：大理寺丞、长贰、正、主簿八员，卫尉寺卿、主簿二员，将作监、少监、丞、主簿五员，都水监使者、丞、主簿四员，少府监、少监、丞、主簿二员，司农寺少卿、丞、主簿四员，太常寺丞、主簿二员，军器监少监、丞、主簿四员，内长贰、主簿可并降一官。”,宋代官制辞典第296页,,,,,
,九卿,,,,,,,,,,,,,,①九列。秦汉有九卿，为中央主干行政机构，及至唐宋，三省六部代替九卿之地位，寺、监地位下降，名义上仍似古之九卿。九列，即古之九卿位。《曾巩集》卷25《殿中监》：“位视九列，礼秩甚优。”同前书卷21《钟浚将作少监制》：“位视九卿，礼秩甚宠。”《汉书•韦玄成传》：“恤我九列。”颜师古注：“九列，卿之位。”②九棘。《曾巩集》卷23《节相制》：“仗斧钺者，位不联于九棘。”《初学记》卷12《太常卿•叙事》：“参三槐，位九棘。《帝王世纪》曰：九卿者，所以参三公也。”③大卿。正卿通称，与少卿相对而言。《邵氏闻见录》卷18：“田棐大卿。”《东轩笔录》卷10：“光禄卿巩申，……以大笼贮雀，诣客次，搢笏开笼。……或对曰：‘大卿与丞相放生。’”,宋代官制辞典第296页,,,,,
,九寺少卿,,,,,,,,,,,,,,①九寺亚列。《宋史•臧丙传》：“朝廷方以九寺亚列为重，改司农少卿。”②少列。九寺少卿均可别称少列。《渑水燕谈录》卷10《谈谑》：“冯吉⋯⋯仕皇朝，终少列。”《宋史•文苑传》1《冯吉传》：“迁太常少卿。”③亚卿。《攻媿集》卷39《淮西运副赵师𢍰太府少卿、淮西总领》：“兹以亚卿往司调度。”,宋代官制辞典第296页,,,,,
,卿少,,,,,,,,,,,,,,月卿，典故称，三代以月喻卿士。后世或以九卿、少卿雅称月卿。《攻媿集》卷38《台谏卿监郎官以上封祖父并父》：“卿少云列在月卿。”《尚书•洪范》：“卿士唯月，师尹唯日。”,宋代官制辞典第296页,,,,,
,九寺丞,,,,,,,,,,,,,,寺丞。《老苏先生全集》之《附录•老苏先生会葬致语口号》：“编礼寺丞，一时之杰。”《宋史•苏洵传》：“特赠光禄寺丞。”《林和靖诗集》卷3《送范寺丞仲淹》。《宋史•范仲淹传》：“监泰州西溪盐税，迁大理寺丞。”,宋代官制辞典第296页,,,,,
,九寺主簿,,,,,,,,,,,,,,九寺簿。《宋史•职官志》1《登闻检院》：“绍熙二年，诏六院官复入杂压，在九寺簿之下。”同前书卷8《元丰以后合班之制》：“九寺、大晟府主簿。”,宋代官制辞典第296页，宋代官制辞典第297页,,,,,
,七寺,,,,,,,,,,,,,,,宋代官制辞典第297页,,,,,
,七寺卿,,,,,,,,,,,,,,七寺正卿。唐龙朔二年，凡卿都加“正”字，称正卿。《长编》卷424丁酉：“朝散大夫、太常少卿王子韶为卫尉卿。右正言刘安世言：‘……前日（子韶）少常之命既非所宜，今七寺正卿又在太常少卿之上，岂可因人弹劾更得超迁？’”《宋史•职官志》8《官品》：“太常卿、宗正卿……为正四品。七寺卿⋯⋯为正五品。”《通典•职官》7《总论诸卿》：“龙朔二年，改九寺之名，凡卿皆加‘正’，若太常卿为奉常正卿，他皆如此。”,宋代官制辞典第297页,,,,,
,七寺少卿,,,,,,,,,,,,,,,宋代官制辞典第297页,,,,,
,七寺丞,,,,,,,,,,,,,,,宋代官制辞典第297页,,,,,
,三丞,,,,,,,,,,,,,,,宋代官制辞典第297页,,,,,
