类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,枢密院,,,,,,,,,枢密院长贰有枢密使则置枢密副使，有知院则置同知院，资浅则称签书（署）枢密院事。神宗以前“使”与“知院”不并置，熙宁元年始并置。元丰官制罢枢密使、副，至绍兴七年又复置《通考•职官》12《枢密院》）。下设枢密院承旨司，官额有枢密都承旨、副都承旨，枢密院副承旨。院之下又分兵、吏、户、礼、刑五房，元丰新官制为十二房，后又增为二十五房。南宋乾道又并为兵、吏、礼、刑、工五房（《宋史•职官志》2《枢密院》、《宋会要•职官》6之11）。吏额：元丰官制定为38人。直属官司尚有编修司、检详所、兵马司、皮剥所、御前弓马子弟所、宣旨库、架阁库、机要库等等。,,,唐枢密院为出纳帝命之司，由宦官充任。五代枢密院备顾问、参谋议，由士人充使。宋朝枢密院与中书号称二府，掌兵符、武官选拔除授、兵防边备及军师屯戍之政令（《宋会要•职官》14之1、《梁溪全集》卷43《辞免知枢密院事札子》）。,,①枢密、密院、枢院、枢。《要录》卷34，建炎四年六月甲戌：“以宰相范宗尹兼知枢密院事，罢御营使。……本朝沿五代之制，政事分为两府，兵权付与枢密。比年又置御营使，是政出于三也。（议者）望罢御营司，以兵权归之密院，而宰相兼知。凡军额有阙，并申枢密院增补，……于是罢御营使及官属，而以其事归枢院。”《春明退朝录》卷上：“恭惠（任布）登枢。”《宋史•任布传》：“召为枢密副使。”②枢机之府。《金佗续编》卷12《黑逐路宣司省札》：“已降指挥韩世忠、张俊、岳飞除枢密使、副。”同上书卷4《（岳飞）乞罢副使仍别选异能同张俊措置战守不允诏》：“朕以二、三大帅各当一隅，不足以展其才，故命登于枢机之府。”③内枢。枢密院属内诸司，故有此称。《宋史•玉显传》：“复拜枢密使。……真宗幸大名，唯内枢唯显与副使宋湜从。”④右府。《宋宰辅》卷5：“夏竦枢相制曰：朕夙夜设右府，以制武师。”《东京梦华录》卷1引《汴都赋》：“左选为文，右选为武。”⑤本兵。《攻媿集》卷36《同知枢密院赵汝愚初除封赠曾祖东头供奉官》：“本兵之任，我得宗英。”《炳烛编》卷4《本兵》：“宋代以西府为本兵也。”⑥西府。《宋史•尤袤传》：“张说自阁门入西府。“《宋史•宰辅表》4：“（乾道七年）三月己丑，张说自明州观察使、知阁门事兼枢密副都承旨、除签书枢密院事。”⑦中枢。《温国文正司马公文集》卷56《除文彦博》：“枢密使、检校太师、兼侍中、潞国公文彦博再司魁柄，仍冠中枢。”《宋宰辅》卷20：“钱象祖右丞相兼枢密使。制曰：兹特迁于次辅，仍晋掌于中枢。”⑧枢府。《大事记》卷2：“国朝兵权，隶于三衙，本之枢府。”《北盟会编》卷37引《李纲辞知枢密院》：“兵符出于密院，而不得统其军；兵籍隶于三衛，而不得专其制。”⑨密府。《朝野杂记》甲集卷12《恩旧节度使》：“哲庙以前，节度使未有以恩辈除者。若王显……，以尝任密府乃得之。”《宋史•宰辅表》1：“（淳化二年）王显自检校太傅、枢密使责授随州刺史、崇信军节度、观察、处置等使。”⑩兵府。《宋史•欧阳修传》：“（嘉祐）五年，拜枢密副使。……在兵府。”⑪宥府。《玉海》卷139《建炎御营五军》：“（御营使）本以行幸总齐军中之政，其后遂专兵柄，宥府几无预。”《挥麈后录》卷1《宰相、枢密分合因革》：“建炎初，置御营使，遂专兵柄，枢密院几无所干预。”⑫枢庭。《诚斋集》卷62《寿皇论天变地震书》：“陛下将使宰相择之乎？抑将使枢庭择之乎？《宋宰辅》卷11：“安焘罢知枢密院事。制曰：入冠枢庭之重。”⑬枢筦。《挥塵录•余话》卷1：”（神宗）批出云：‘玉关人老，朕甚念之！枢筦有阙，留以待汝。’以赐敏肃（赵挺）。未儿，遂拜枢密副使。”⑭宥密。《麈史》卷中《体分》：“入长宥密。”《宋宰辅》卷20：“史弥远知枢密院事。制曰：宜升班于宥密。”⑮宥廷。《攻媿集》卷38《钱象祖枢密院检详》：“天下之兵，本于宥廷，设属掄才，实视宰掾。”⑯枢阃。《清明集》卷2宋慈《巡检因究实取乞》：“况枢阃责专消祸本，干系甚大。⋯⋯经关枢密院照会……。”⑰洪枢。《周文忠公年谱》：“淳熙九年庚午，除知枢密院事。制词：进长洪枢。”⑱枢省。《内简尺牍》卷3《与张（守）尚书》：“向传进端殿，践枢省。”《宋史•张守传》：“拜端明殿学士、同签书枢密院事。”⑲帷幄。原义指帅幕，宋代或引申为枢密院之代称。《剑南诗稿》卷25《夜读范至能〈揽辔录〉》：“帷幄无人用岳飞。”《宋宰辅》卷11：“康国知枢密院事制日：‘俾专帷幄之任’。”⑳鸿枢。《云麓漫钞》卷4：“张元仲公叔夜⋯⋯除签书枢密院。•李俦（诗）：‘命世文章伯，鸿枢柱石臣。’”㉑紫枢。《攻媿集》卷38《知枢密院事赵汝愚初除封赠祖太子少傅》：“紫枢元臣，方隆于同姓。”㉒西枢。《长编》卷121丁已：“国家以西枢内辅，赞翊本兵，为任重矣！”㉓密地。《东轩笔录》卷6：“赵普……先皇开创之初，寻居密地。”《宋史•赵普传》：“建隆三年，拜枢密使、检校太保。”,宋代官制辞典第111页，宋代官制辞典第112页,①唐代永泰二年（766）始置内枢密使，初无厅局，唐末始有枢密院之称（《册府元龟》665《内臣部•总序》、《旧唐书•哀帝纪》）。②后梁开平元年（907）五月，改枢密院为崇政院；后唐同光元年（923）十月，依旧称枢密院（《旧五代史•职官志》）。③宋朝沿置（《通考•职官》12《枢密院》）。,,,,
,枢密行府,,,,,,,,,,,,,,行府。《朝野杂记》乙集卷12《岳少保诬证断案》：“张俊奏：张宪供通为收岳飞文字后谋反，行府已有供到文状。”《金佗续编》卷21《鄂王传》：“枢密行府受王俊告言。”,宋代官制辞典第112页，宋代官制辞典第113页,,,,,
,枢密使,,,,,,,宋前期官品视本官阶。南宋初复置后从一品（《宋史•职官志》8《官品》）。,,,,,为枢密院长官，佐皇帝，执兵政，凡有边防军旅之常务，与中书（元丰改制后三省）分班禀奏（《宋史•职官志》2《枢密使》）。,,①枢使。《齐东野语》卷18《赵信国辞相》：“赵葵南仲枢使，……（闰二月）赵公拜右相。”《宋史•宰辅表》5：“（淳祐九年闰二月赵葵）……右丞相兼枢密使。”②枢密。《铁围山丛谈》卷3：“英宗即位，……时郑公（富弼）方枢密。”《宋史•宰辅表》2：“（嘉祐八年四月英宗即位）（富弼）既除丧，授枢密使。”③密使。《玉壶清话》（中华书局本）卷1：“曹武惠彬……复密使。”校注：“一云‘时公已复枢密使’。”④元枢。《省斋别稿》卷4《贺王枢密（淮）启》：“元枢正位，有常立武。”《朝野杂记》卷11《宣相、诏使称谓不典》：“元枢呼枢使，自张俊始。旧制，密院官止以枢密称。”⑤枢轴。《宋宰辅》卷2：“王显罢枢密使。制曰：……枢轴，苟依违而无状，必黜陟之。’”⑥枢长。《梦溪笔谈》卷1：“枢密使札子，枢长押字在下，副贰以次向上。”,宋代官制辞典第113页,①唐宪宗元和中（806—820）始置枢密使（《册府元龟》665《内臣部•总序》）。②北宋初沿置枢密使，至神宗元丰四年（1081）正月罢置（《长编》卷320）。其间与知枢密院事交替而置，或并置。③南宋高宗绍兴七年（1137）正月复置枢密使，迄南宋亡（《宋史•宰辅表》4、5）。,,,,
,枢密太尉,,,,,,,,,,,,,,,宋代官制辞典第113页,,,,,
,枢使,,,,,,,,,,,,,,,宋代官制辞典第113页,,,,,
,枢密副使,,,,,,,枢密副使官品未见于记载。但从知院事、同知院事之“秩与副使同”推断，南宋枢密副使当为正二品（《分纪》卷12《知院事、同知院事》）。,,,,,枢密使副佐，协理密院事。,,①枢副。《玉海》卷160《祥符承明殿》：“文明，程羽为之，位枢副之下。”《宋史•程羽传》：“即殿名以羽为文明殿学士，位在枢密副使下。”②副枢。《金佗粹编》卷15《乞解枢柄第二札子》：“（岳飞）乞解枢密副使职事。”《要录》卷141，壬子：“望免（岳）飞副枢职。”③副密。《石林燕语》卷6：“司马温公辞副密。”《宋史•司马光传》：“帝乃拜（司马）光枢密副使，光辞之。”④枢近。《邵氏闻见后录》卷20：“司马文正公力辞枢近。”参“副密”条。⑤枢贰。《长编》卷205，癸亥：“陈旭为枢密副使。……先是吕诲言：‘伏望陛下⋯⋯早择才望之人，进擢枢贰。'”⑥贰枢廷。《金佗续编》卷4《再辞枢密副使同前不允诏》：“自朕意擢贰枢廷……所辞宜不允。”⑦贰枢。《春明退朝录》卷中：“王给事博文与其子景彝皆贰枢，然并逾月而终。”《宋史•王博文附畴》：“畴字景彝。……拜枢密副使。……在位五十五日卒。”,宋代官制辞典第113页,①后梁开平元年，改枢密院为崇政院，有副使一人。后唐仍改称枢密院，至后晋天福间始见有枢密副使之设（《旧五代史•职官志》）。②北宋建隆元年（960）即置枢密副使。与同知枢密院事交错为枢密院副贰。元丰四年正月罢枢密副使（《朝野杂记》甲集卷10《枢密副使》）。③南宋绍兴七年复置。但终南宋之世，不过除三人而已。自岳飞为副使后，枢密使之副贰，止称同知（张世杰例外）（同上书卷）。,,,,
,判枢密院事,,,,,,,,,,,,,,①判院事。《合璧后集》卷14《道換门》：“（庆历二年）乃命平章事吕夷简兼判院事。”②判枢密院。《石林燕语》卷8：“（庆历二年）二公遂皆加判枢密院，已而以判为太重，改兼枢密使。”《长编》卷137，九月乙巳：“初命宰臣吕夷简判枢密院事。……朝论甚暄。”,宋代官制辞典第113页,,,,,
,知枢密院事,,,,,,,《元祐官品令》正二品（《分纪》卷12《知院事》）。南宋同（《庆元条法》卷4），位次枢密使。,,元丰新制，知院事以一员为额（《长编》卷325，丁丑）。,,,为枢密院长官，佐皇帝掌兵政（《宋史•职官志》2《知枢密院事》）。,,①知枢密院。《愧郯录》卷4：“特进、知枢密院事邓洵武为少保依前知枢密院。”②知密院。《玉海》卷132《咸平安抚大使》：“（靖康元年）知密院李纲河北、河东。”《靖康要录》卷7：“知枢密院事李纲为河北、河东路宣抚使。”③知院事、知院。《容斋三笔》卷9《枢密两长官》：“故事，枢密使与知院事不并置。“同上书卷5《枢密名称更易》：“国朝枢密之名，其长为使，则其贰为副使；其长为知院。则其贰为同知院。”④枢密院事。李纲《梁溪全集》卷46《三乞罢枢密院事札子》。《宋史•宰辅表》3：“（靖康元年）李纲自知枢密院事以观文殿学士出知扬州。”⑤枢密。《容斋三笔》卷4《枢密称呼》：“次呼‘枢密’张魏公也，时为知院事”。⑥元枢。《朝野杂记》乙集卷14《绍兴至开禧督府废置本末》：“命叶审言（义问）以元枢督视江淮军马。”《宋史•职官志》7《都督府》：“叶义问以知枢密院事督视江淮荆襄军马。“⑦长本兵。《攻媿集》卷37《知枢密院事胡晋臣致仕》：“长本兵方期竭节以相资，乃以沈疴而有请。”,宋代官制辞典第113页，宋代官制辞典第114页,①后晋天福元年（936），始置知枢密院事（《旧五代史•晋书•桑维翰传》）。②北宋淳化二年（991）九月初设，以后，与枢密使交错或并为枢密院长官。元丰四年十一月，罢枢密使，即独以知院事为长官。南宋绍兴七年后，又与枢密使交错或并置（《长编》卷32、320《群书考索•后集》卷5）。,,,,
,同知枢密院事,,,,,,,正二品（《分纪》卷12引《元祐官品令》）。,,,,,佐枢长协理枢密院事。,,①同知院事。《长编》卷32，甲辰：“温仲舒、寇准同知院事。”《宋史•宰辅表》1：“温仲舒、寇准进同知枢密院事，仍并兼副使。”②同知、同知枢。《容斋三笔》卷5《枢密别称更易》：“柴禹锡知院，向敏中同知。”《石林燕语》卷8：“向敏中自外郎同知枢。”《宋史•宰辅表》1：“柴禹锡⋯⋯知枢密院事。……向敏中……同知枢密院事。”③同知枢密院、同知枢密。《石林燕语》卷8：“范忠宣（纯仁），元祐初……拜同知枢密院。”“郑达夫时为同知枢密。”《宋史•宰辅表》1：“（元祐元年闰二月）范纯仁⋯⋯同知枢密院事。”④枢密。《容斋三笔》卷4《枢密称呼》：“又有（枢密）副使、知院事、同知院事、签书、同签书之别，虽名秩有高下，然均称为‘枢密’。”⑤贰枢。《春明退朝录》卷中：“王给事博文与其子景彝皆贰枢，然并逾月而终。”《宋史•王博文传》：“同知枢密院事，逾月而卒。”◎贰枢筦。《攻媿集》卷37《同知枢密院事余端礼初除封赠曾祖母》：“朕延登储僚，进贰枢筦。”⑦枢副。同知枢密院事位视副使。《春明退朝录》上：“枢副：陈尧叟、张文孝、吴文肃⋯⋯。”《宋史•张观传》：“拜同知枢密院事，赠吏部尚书，谥文孝。”,宋代官制辞典第114页,淳化二年（991）九月八日始置（《长编》卷32）。与枢密副使交错枢密院副长官。元丰四年十一月专以同知枢密院事为副贰（《长编》卷320甲辰）。,,,,
,签署枢密院事,,,,,,,（南宋）从二品。位次于同知枢密院事。北宋多以枢密直学士为之，南宋多带端明殿学士职名（《朝野杂记》甲集卷10《签书枢密院事》）。,,,,,枢密院副贰，协理枢密院事（《宋史•职官志》2《签书院事》）。,,①签署院事。《长编》卷20，癸巳：“以枢密直学士石熙载签署院事。⋯⋯签署枢密院事，自熙载始。”②签署。《长编》卷95，正月乙丑：“以华州观察使曹玮为……签署枢密院事。签署兼领藩镇，自玮始也。”③签书枢密院事。太宗、真宗、仁宗三朝统称“签署”，英宗朝以后或追称用“签书”。《分纪》卷12《签书院事》：“（真宗）天禧四年，以华州观察使曹玮为⋯⋯签书枢密院事。”按：《分纪》于元祐间完成，故追称“签署枢密院事”为“签书枢密院事”。,宋代官制辞典第114页,①太平兴国四年（979）正月十三日始置（《长编》卷20）。②英宗赵曙于1064年即位后，签署枢密院事改为签书枢密院事。③元丰新制罢，元祐三年复置（《皇朝编年纲目备要》卷17）。,,,,
