类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,两司三衙,,,,,,,,,,,,,,,宋代官制辞典第438页,,,,,
,三衙,,,,,,,,,,,,,,①三司。《建隆编•二年》：“三司禁旅就粮州郡，亦不得常坐食于京师。”《止斋先生文集》卷19《赴桂阳军拟奏事札子》第三：“所谓禁兵者，皆三司之卒，分屯而更戍。“《宋会要•职官》32之13：“伴射官，自今于殿前、马、步三司通轮保明选差。”《合璧后集》卷54《三衙门》：“总三衙：殿司、歩司、马司。”②三牙。《归田录》卷1：“然三衙管军臣僚于道路相逢，望见舍人，呵引者即敛马驻立。”《宋史•娄机传》：“三牙管军各举将帅、边郡一、二人。”③三军。《挥塵后录》卷9：“上座金漆椅子，宰执从官并三衙卫士百官，皆侍立左右。……独有一着绯官员进前曰：‘陛下当从三军之言。’”《合璧后集》卷54《总三衙》：“盖殿前、马军、步军副都指挥使、三军都虞候⋯⋯管军。”,宋代官制辞典第438页,,,,,
,殿前司,,,,,,,,,①诸班（骑兵）：有殿前指挥左、右二班，内殿直左、右二班，散员左、右二班，散指挥左、右四班，散都头左、右二班，散祇候左、右二班，金枪班左、右二班，东、西班（包括弩手、龙旗直、招箭班）共十二班，散直左、右四班，钧容直二班等等。诸班军官：各置都指挥使、指挥使、都知、副都知、押班（《通考•职官》12《殿前司》、《宋史•兵志》1《建隆以来之制•骑军》）。②御龙诸直（步兵）：有御龙直左、右二直，御龙骨䤪子直左、右二直，御龙弓箭直五直，御龙弩直五直。御龙诸直军官：四直都虞候，（诸直各置）都虞候、指挥使、副指挥使、都头、副都头、十将、将虞候（《宋史•职官志》6《殿前司》、《宋史•兵志》I《建隆以来之制•步军》）。③骑军：有捧日左、右厢各四军，军的番号为捧日左射、捧日𨱊直、捧日弩手，及捧日第五军、第七军。军之下为指挥，捧日诸军总共有三十五指挥（京师三十三，雍丘、郑州各一，熙宁并沩二十三）。此外，又有归明渤海二指挥（驻京师），拱圣二十一指挥（驻京师），吐浑小底五指挥（治平改为二指挥，驻京师），骁骑二十三指挥（驻京师），骁胜左、右各五指挥（驻京师），骁猛四指挥（驻外），神骑十八指挥（驻外）等等。指挥之下为都。骑军军官有：捧日、天武左右四厢都指挥使，捧日左、右厢都指挥使，军都指挥使、都虞候，（每指挥有）指挥使、副指挥使，（每都有）军使、副兵马使、十将、将虞候、承局、押官（《宋会要•职官》32之4、《宋史兵志》1《建隆以来之制•骑军》）。④步军：有天武左、右厢，每厢各三军，军的番号有宽衣天武、𨱊直天武、左射天武，及天武第五军、第七军。诸军之下总三十四指挥（驻京三十三，熙宁二年并为二十三指挥）。此外，又有神勇上、下军共二十一指挥（驻京），宣武上、下军共二十指挥（驻京），龙骑三军二十指挥（驻京四，余驻外），广勇四十三指挥（每十指挥为一军），广捷五十六指挥（驻外），雄威十指挥（驻外），等等。步军军官有：捧日、天武左、右四厢都指挥使，天武左、右厢都指挥使，（每军有）都指挥使、都虞候，（每指挥有）指挥使、副指挥使，每都有都头、副都头、十将、将虞候、承局、押官（《宋史•兵志》1、《宋会要•职官》32之4）。⑤在诸班、直、骑军、步军之上，宋初置殿前司都点检、副都点检、都指挥使、副都指挥使、都虞候、副都虞候。因宋太祖曾任后周殿前都点检，都点检、副都点检后不复置（《通考•职官》12）。⑥南宋时殿司禁军总额为七万多人，置前军、右军、中军、左军、后军、护圣军、踏白军、选锋军、游奕军、策选锋军、神勇军、破敌军、明州水军等。绍兴五年十二月后，神武中军隶殿前司，于是殿前司诸军之下官长，以统制、统领、正将、副将、准备将、训练官、部队将为称（《宋会要•职官》32之11、16，《要录》卷158乙酉、卷189甲戌）。⑦吏额：北宋元丰新制，殿前司吏二十八，分案六。吏名有孔目官、勾押官、押司官、开拆官、前行、后行、通引官等。南宋主管殿前司吏名有都吏、副都吏、典史、副典史、书吏、典书、副典书、抄写等。,,,掌殿前诸班、御龙诸直、骑军诸指挥、步军诸指挥官兵名籍，及统制、训练、轮番宿卫与戍守、迁补、赏罚之政令（《宋会要•职官》32之4）。,,①殿司。《宝庆四明志》卷7《叙兵》：“明州城下，复屯殿司水军二千人。”《要录》卷158乙酉：“明之水军，皆隶本司，总七万余人，由是殿前司兵籍为天下冠。”②殿前。《长编》卷60己未：“诏殿前、侍卫军校十五年以上不迁者，具名以对。《朝野杂记》甲集卷18《殿前司左翼军》：“（绍兴十八年八月）遂改奇兵为殿前左翼军。”（参《要录》卷158）③殿岩。《宋诏令》卷101《步军副指挥使苗授建节、殿前副都指挥制》：“祗护殿岩。”《合璧后集》卷45《殿前司》：“郭棣，字子华，淳熙五年擢殿前副指挥使，居殿岩十余年。”,宋代官制辞典第438页，宋代官制辞典第439页,始置于后周。后周广顺二年设殿前都指挥使（《玉海》卷139《三衙》、《宋史•李重进传》）。两宋沿置。,,,,
,殿前司都点检,,,,,,,在殿前副都点检、殿前都指挥使（从二品）之上（《合璧后集》卷54《殿前司》）。,,北宋初仅除过一人，一年后即罢（《长编》卷1建隆元年正月）。,,,宋初殿前司最高军职，统领殿前司禁军。,,①都点检。《分纪》卷35《殿前司》：“国朝初有都点检、副都点检之名。”《长编》卷2癸亥：“殿前都点检、镇宁军节度使慕容延钊罢为山南西道节度使。”按：“山南西道”应为“山南东道”。②点检。五代后周已有此简称。《宋史•后妃传》上：“及太祖自陈桥还师，人走报太后曰：‘点检已作天子。’”《长编》卷1辛丑朔：“太祖自殿前都虞候再迁都点检，掌军政凡六年。”“殿前都点检公署在左掖门内。”,宋代官制辞典第439页,后周显德三年十二月十四日始置。北宋建隆二年闰三月初一日罢慕容延钊殿前都点检为山南西〔东〕道节度使，此后殿前司都点检不复置（《旧五代史•周书•世宗纪》3、《长编》卷2甲子）。,,,,
,殿前司副都点检,,,,,,,位次于殿前都点检、高于殿前都指挥使（《分纪》卷35）。,,,,,殿前司副统领官。,,副都点检、殿前副都点检。《通考•职官》12《殿前司》：“宋初有都点检、副都点检之名。”《长编》卷2庚午：“殿前副都点检、忠武节度使高怀德为归德节度使。”同前书卷1壬寅：“殿前司副都点检、镇宁军节度使、太原慕容延钊将前军先发。”,宋代官制辞典第439页,后周世宗显德末年始置（《旧五代史•周书•恭帝纪》）。北宋建隆二年七月九日罢高怀德殿前副都点检职，此后不复置（《长编》卷2）。,,,,
,殿前司都指挥使,,,,,,,从二品（《职源•官品》）。位在节度使之上（《合璧后集》卷54《殿前司》）。,,一人（《宋会要•职官》32之3）。南宋时，都指挥使或虚而不除，则以资浅者为主管殿前司公事以代之。,,,殿前司不复设都点检、副都点检之后，为本司最高统领官。,,①殿前都指挥使。《宋史•戴兴传》：“徙高阳关，迁殿前都指挥使。”《分纪》卷35《殿前司》：“殿前司都指挥使、副都指挥使、都虞候。”②殿前。《续湘山野录》：“景德初，匈奴寇澶，驾至澶，唯高殿前琼力挽銮驾以进。”《长编》卷58景德元年十一月乙亥：“殿前都指挥使高琼⋯⋯麾卫士进辇，上遂幸北城。”③殿帅。《宋诏令》卷99《殿帅王守斌罢军职移镇加恩制》：“殿前都指挥使、感德军节度⋯⋯王守斌，……充永清军节度、贝州管内观察处置等使。”④都帅。《宋会要•职官》32之9：“殿前、马、步军都帅。”⑤管军。三衙长官通称。《宋史•杨沂中传》：“加检校少保、开府仪同三司兼领殿前都指挥使。……拜少傅。以保傅为管军，自存中始。”,宋代官制辞典第439页，宋代官制辞典第440页,后周广顺二年始置（《宋史•李重进传》、《旧五代史•周书•太祖纪》4）。两宋沿置（《宋史•职官志》6《殿前司》）。,,,,
,殿前司都指挥使司,,,,,,,,,,,,,,殿帅府。《水浒》第二回：“高俅做到殿帅府太尉职事。“《挥塵后录》卷7：“（小史）领殿前司职事，自俅始也。”《宋会要•职官》32之8：“（政和）七年七月二十三日，太尉、殿前都指挥使高俅奏。”按：太尉为武官最高武阶名，非军职。,宋代官制辞典第440页,,,,,
,主管殿前司公事,,,,,,,,,,,,,,主管殿前司。《宋史•职官志》6《殿前司》：“渡江后，都指挥使间虚不除，则以主管殿前司一员任其事。”《两朝备要》卷10：“夏震再迁福州观察使、主管殿前司公事。”,宋代官制辞典第440页,,,,,
,权主管殿前司公事,,,,,,,,,,,,,,权殿前司公事。《宋会要•职官》32之10、11：“神武中军统制兼权殿前司公事、兼提举宿卫亲兵杨沂中。……枢密院言：‘已罢神武军号，中军权隶殿前司；诏杨沂中差权主管殿前司公事。’”,宋代官制辞典第440页,,,,,
,主管殿前司,,,,,,,正四品（《职源撮要•官品》），位于观察留后（后改承宣使）之上。在三衙管军中，位于侍卫亲军马军都指挥使、侍卫亲军步军都指挥使之上（《庆元条法》卷4《职制令》）。,,一人（《宋会要•职官》32之3）。,,,殿前司仅次于都指挥使的统兵官，佐正使领本司公事。,,①殿前副都指挥使。《宋史•刘谦传》：“制授殿前副都指挥使、振武军节度。”《分纪》卷35《殿前司》：“殿前司都指挥使、副都指挥使、都虞候。”②殿帅。《长编》卷198，嘉祐八年夏四月壬申朔，李焘原注：“时殿帅乃李璋。”同上书卷四月癸酉：“殿前副都指挥使李璋。”③管军。《宋会要•职官》32之7：“管军臣僚称呼等阶，今定：殿前都指挥使在节度使之上、殿前副都指挥使在正任观察留后之上。”,宋代官制辞典第440页,后周显德五年三月二十三日始置（《旧五代史•周书•世宗纪》5）。两宋沿置（《宋史•职官志》6《殿前司》）。,,,,
,殿前司都虞候,,,,,,,从五品（《职源撮要•官品》）。序位在正任防御使之上。在三衙管军中，位于侍卫亲军马军都虞候、侍卫亲军步军都虞候之上（《庆元条法》卷4《职制令》）。南宋时，三衙都指挥使不常置。禁军军职最高者为八等，殿前都虞候仅次于殿前、马军、步军副都指挥使，位居第四等，其下为侍卫马军、步军都虞候，捧日、天武四厢都指挥使，龙卫、神卫四厢都指挥使（《容斋三笔》卷3《三衙军制》）。,,,,,殿前司统领官之一，仅次于殿前都、副都指挥使。,,①殿前都虞候。《长编》卷159癸卯：“马军副都指挥使、遂州观察使许怀德⋯⋯，去岁自防御使改观察使，自殿前都虞候迁马军副都指挥使。”《分纪》卷35《殿前司》：“殿前司都指挥使、副都指挥使、都虞候。”②管军。《合璧后集》卷54《殿前司•总三衙》：“三军都虞候⋯⋯为管军。”③虞度候。《曾巩集》卷25《都虞候制》：“士之以材武宿卫左右者，其选甚精，而虞度候视于军中者，其任甚宠。”,宋代官制辞典第440页,“虞候”之名始于隋，为东宫卫官，称“左、右虞候”，掌警戒放哨以备非常（《隋书•百官志》下）。殿前司都虞候始置于后周世宗显德六年七月至十月间（《旧五代史周书•世宗纪》1、《玉海》卷139《三衙》、《宋史•太祖纪》1）。两宋沿置（《宋史•职官志》6《殿前司》）。,,,,
,殿前司都虞候司,,,,,,,,,,,,,,,宋代官制辞典第440页，宋代官制辞典第441页,,,,,
,殿前司兵案,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司差使磨勘案,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司仓案,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司骑胄案,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司推案,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司法司,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前司开拆司,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,殿前诸班,,,,,,,,,①殿前诸班所辖班次，前后有因革增损，主要有：殿前指挥使左、右二班，内殿直左、右四班，散员左、右四班，东、西班（旧名东、西班承旨）共十二班（有招箭、弩手、龙旗直等名号），散直左、右四班，散指挥左、右四班，散都头左、右二班，散祗候左、右二班，金枪班左、右二班，钧容直二班等（《宋史•兵志》1《建隆以来之制•骑军》）。②指挥官有：班都虞候、班指挥使，其下有都知、副都知、押班等（同上书卷）。③诸班与诸直卫士共三千六百余人（《玉海》卷139《绍兴宿卫亲兵》）。,,,为宫中禁旅，天子出则扈从乘舆，入则侍卫殿陛（《宋会要•职官》32之11、4）。,,诸班。《历代奏议》卷305王襄奏：“诸班之妻，尽取女子之长者，欲其子孙魁杰，世为禁卫而不绝也。“《宋会要•职官》32之1：“殿前司掌殿前诸班、诸直及步、骑诸指挥之名籍。”《宋史•兵志》1：”（熙宁七年正月）诏颁诸班、直名额：殿前指挥使、内殿直、散员、散都头、散祇候、金枪、东西班、招箭、散直、钧容直⋯⋯。”,宋代官制辞典第441页,后周显德元年十月，周世宗惩革侍卫亲军，始置殿前诸班（有散员、散指挥、内殿前直等号）（《五代会要》卷12《京城诸军》）。,,,,
,殿前指挥使左班,,,,,,,,,,,,,,殿前左班。《繁胜录》：“殿前左班殿前右班。”《咸淳临安志》卷14《禁卫兵》：“班直：殿前指挥使左班，殿前指挥使右班。”,宋代官制辞典第441页,,,,,
,殿前指挥使右班,,,,,,,,,,,,,,殿前右班。参“殿前指挥使左班”条所引《繁胜录》。,宋代官制辞典第441页,,,,,
,殿前指挥使都虞候,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,内殿直左第一、第二班内殿直右第一、第二班,,,,,,,,,,,,,,殿直。《咸淳临安志》卷14《禁卫兵•班直》：“殿直、弓箭直、弩直。”《繁胜录》：“二十四班：……内殿直班⋯⋯弓箭〔直〕班、弩直班。”,宋代官制辞典第441页,,,,,
,散员左第一、第二班散员右第一、第二班,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,散指挥左第一、第二班散指挥右第一、第二班,,,,,,,,,,,,,,,宋代官制辞典第441页,,,,,
,散都头左班、右班,,,,,,,,,,,,,,,宋代官制辞典第441页，宋代官制辞典第442页,,,,,
,外殿直,,,,,,,,,,,,,,,宋代官制辞典第442页,,,,,
,散祇候左、右班,,,,,,,,,,,,,,,宋代官制辞典第442页,,,,,
,金枪左、右班,,,,,,,,,,,,,,,宋代官制辞典第442页,,,,,
,散直左第一、第二班散直右第一、第二班,,,,,,,,,,,,,,,宋代官制辞典第442页,,,,,
,殿前东西班,,,,,,,,,,,,,,东班承旨、西班承旨。为东西班旧称。《宋史•孔守正传》：“汉初，为东、西班承旨。”《宋史•兵志》1：“东西班旧号东西班承旨。”,宋代官制辞典第442页,,,,,
,东第三班,,,,,,,,,,,,,,长入祗候。《咸淳临安志》卷14《禁卫兵•班直》：“长入祇候、御龙直在保民坊。”《梦粱录》卷1《车驾诣景灵宫孟飨》：“数内（指南大内、北大内）有东三班，谓之‘长入祇候。’”,宋代官制辞典第442页,,,,,
