类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,秘书省,,,,,,,,,①宋前期判秘书省事一人，由判秘阁官兼。吏额有令史一人、楷书六人（《宋会要•职官》18之1）。②元丰新制，官额有秘书省监、少监各一人，秘书省丞一人；属官有著作郎一人，秘书郎、著作佐郎各二人，校书郎四人，秘书省正字二人。分案四：国史、太史、经籍、知杂案。政和六年增置道教案。吏额八人（《宋会要•职官》18之2、3、18，《麟台故事》卷2《职掌》）。辖太史局。③宣和三年十一月立定秘书省官员为十八员，监、少监、丞各一员，著作郎一员，著作佐郎四员，校书郎六员，正字四员（《十朝纲要》卷18、《麟台故事》卷4）。④南宋绍兴复置，定编官额为：秘书省监、少监、丞各一人，著作郎、佐郎各一人，校书郎、正字各二人，共九人。绍兴五年八月三日，仿唐十八学士之制，著作郎、佐郎、秘书郎各二人，校书郎、正字十二人，共十八人；加上监、少监、丞各一人，总二十一人（《要录》卷92）。分案四：经籍、祝板、知杂太史案。吏额有：点检文字一人，都孔目官一人孔目官一人，四库书直官一人，书直官一人，表奏官一人，书库官一人，书库守当官二人，正名楷书五人，守阙一人，正系名六人，守阙系名六人，监门官一人（以武臣充），专知官一人，通引官二人、库子四人，守门亲事官七人。辖局有：太史局，文德殿钟鼓院，测验浑仪刻漏所（《宋会要•职官》18之2、26，《南宋馆阁录》卷10）。⑤隆兴二年闰十一月三日，秘书省著作郎至正字不立额（《宋会要•职官》18之31）。⑥绍熙以后，秘书省官阙，召试二员，此后，监、少监、丞外，多止除二员《宋史•职官志》4《秘阁》）。,,,①宋前期只掌一般祭祀用的祝文撰写（《宋会要•职官》18之1）。②元丰新制，三馆秘阁事并入秘书省，省职振举，统掌图籍、国史、天文历数祭祀祝辞等（《玉海》卷121《元丰秘书省》）。,,①书省。《曾巩集》卷25《秘书监制》：“故书省之设，吾不计近功。”《合璧后集》卷36《秘书省•著作佐郎》：“书省有佐。”②秘书。《玉海》卷52《政和秘书总目》。《宋会要•职官》18之19：“（政和七年）孙觌奏：‘太宗建崇文院为藏书之所。景祐中，仁宗召儒臣即秘书省所藏编次条目，所得书以类分门，赐名《崇文总目》。神宗始以崇文院为秘书省，……乞别置美名，以更崇文之号。’从之。……曰《秘书总目》。”③秘省。《玉海》卷51《庆历国朝会要•元丰增修五朝》：“徽宗诏秘省修，即诏秘书省置局。”④三馆。元丰改制，崇文院三馆已并入秘书省，三馆之名已不复存，但或以三馆旧称秘书省。《宋史•洪遵传》：“擢为秘书省正字。中兴以来，词科中选即入馆，自遵始。……绍兴二十五年，汤思退荐之，复入为正字。……（高宗）且曰：‘卿再登三馆。’”⑤三馆秘阁。宋前期三馆秘阁总称崇文院，元丰改制，以崇文院为秘书省。故秘书省仍号称“三馆秘阁”。《铁围山丛谈》卷1：“秘书省号‘三馆秘阁’，实育才也，独不以吏事责。”《石林燕语》卷3：“（端拱）中，三馆与秘阁始合为一，故谓之‘馆阁’，然皆但有书库而已。元丰官制行，遂改为秘书省。”⑥木天。《职源撮要》：“木天秘书（省）最宏壮，阁下穹窿高敞，谓之木天。”⑦中秘。（宋）邵博《邵氏闻见后录》卷5；“予官中秘时。”《宋史翼》卷10《邵博传》：“（绍兴）九年三月，除秘书（省）校书郎、兼实录院检讨官。”⑧兰台。拟唐官称。唐高宗龙朔二年（662）改秘书省为兰台。《合璧后集》卷37《著作佐郎》：“兰台佐撰。”《六典》卷10《秘书省》：“龙朔二年，改兰台。”⑨东观。东观为后汉藏书之所，因而有此别名。《王文公文集》卷11《国子监直讲孙思恭可著作佐郎》：“当得迁位，列职东观。”《六典》卷11《秘书省》：“后汉则藏之东观。”⑩册府。因秘书省典掌禁中藏书得名。《南宋馆阁录》卷4《故实》：“车驾幸秘书省。手诏：‘授提举秘书省官。’诏曰：‘仰惟祖宗，肇开册府。’”⑪石渠。由汉石渠阁为藏秘籍之府而得名。《格斋四六》卷2《代通杨筠州诚斋》：“石渠之选，人犹为之屈。”《宋史•杨万里传》：“字诚斋。……光宗即位，召为秘书监。”⑫芸台、芸阁。因秘书省四库多放芸香以防虫蠹，因而得名。《曾巩集》卷6《简景山侍御》：“柏府地严方许国，芸台官冷但容身。”《馆阁续录》卷6《故实》：“车驾幸秘书省，因成近体诗一首，赐丞相史浩以下：‘宴开芸阁儒风盛，坐对蓬山逸兴长。’”《合璧后集》卷36《秘书监•事类》：“芸台芸香辟纸鱼蠹，故称芸台。”⑬芸省。由芸台引申而来。《全宋词》（中华书局本）页2610，刘克庄《转调二郎神•又三和》：“何必燃藜芸省。”林希逸《后村先生刘公行状》：“公方奏疏引年，六月除秘书监。”⑭秘丘。《胡文恭集》卷12《向安可著作佐郎制》：“俾领著于秘丘。”⑮秘府、秘局。《宋史•范如圭传》：“秦桧力建和议，金使来，无所于馆，将虚秘书省以处之。如圭亟见宰相赵鼎曰：‘秘府，谟训所藏，可使仇敌居乎？’”《合璧后集》卷36《秘书监•秘书丞》：“进丞秘局。”⑯道山、蓬山、蓬莱。传说蓬莱山为道家藏书之所，因此，道山、蓬莱山（蓬菜）、蓬山等等名称，就成了后世秘书省的雅称。陈师道《送赵承议诗》：“道山今日有宗英。”《剑南诗稿》卷21《喜杨廷秀秘监再入馆》：“公去蓬山轻，公归蓬山重。”《老学庵笔记》卷4：“秘书省新成，徽庙临幸，孙叔诣参政作贺表云：‘蓬莱道山，一新群玉之构。’”《后汉书•窦章传》：“是时学者称东观为老氏藏室、道家蓬菜山。”⑰策府。传说群玉山为古帝王藏书策之府，后世遂以策府别称秘书省。《尺牍编注》卷2《与莫内翰》：“某犹记公在策府。”注：“群玉山，往古帝王以为藏书策之府，所谓藏之名山也。故秘书省亦谓之策府。”《穆天子传》：“天子西登昆仑，见王母曰：‘癸巳，至于群玉之山，先王所谓策府也。’”⑱麟台。拟唐官称。（宋）程俱《麟台故事》卷1《沿革》：“秘书省，官自监、少至正字，皆为职事官。”《旧唐书•职官志》2《秘书省》：“光宅改为麟台。”⑲奎画、奎文、奎府。《全宋词》（中华书局）页2618，刘克庄《满江红•次韵使君癸亥灯》：“奎文宠，崇儒教。”《敬斋古今黈》卷一；“世以秘监为奎府，御史为奎画，谓奎宿文章。考之《晋书•天文志》则云奎十六星在西方，天之武库也。……而东壁二星在北方，实主文章，盖为天下图书之秘府。世之言文章者，不取东壁而独取奎者，岂奎宿森罗错综有象于文而东壁无之耶？”《咸淳临安志》卷7《秘书省》：“道山堂，景定四年，理宗皇帝复赐以‘奎画’，少监林希逸谨书。”⑳馆阁。元丰五年五月三馆秘阁书籍、职事并归秘书省，三馆之名已不复存，秘阁在省中，但仍习称秘书省为馆阁。（宋）陈骏《南宋馆阁录》卷2《省舍》：“秘书省初复。……其南省屋三间，秘阁、三馆书藏焉。”,宋代官制辞典第260页，宋代官制辞典第261页,西晋元康二年（292）已有秘书省之名（《晋书•职官志》）。宋沿置，初，职事归三馆秘阁；元丰五年五月行新官制，秘书省始振其职。南宋建炎三年四月十三日罢。绍兴元年二月十九日复置（《玉海》卷121《秘书省》、《要录》卷22庚申》）。,,,,
,秘书省监,,,,,,,①宋初依唐制，唐时为从三品（《旧唐书•职官志》2《秘书省》）。序阶在中书舍人之下、光禄卿之上（《宋史•职官志》9《文臣叙迁之制》）。②元丰改制后正四品（《分纪》卷16《秘书省•监》），为秘书省长。,,一人。但南宋时监与少监只置一人（《宋会要•职官》18之1、2，《要录》卷42）。,,,①宋前期，为文臣迁转官阶（元丰后改为中大夫），无职事，如特令供职，即以他官兼秘书监（《麟台故事》卷2《职掌》）。②元丰改制后，掌领古今经籍图书、国史与实录、天文历数，及常祭祝文撰写等（《宋会要•职官》18之2、1）。,,①秘书监、秘监。《宋史•高斯得传》：“度宗即位，召为秘书监。”《齐东野语》卷17《景定彗星》：“秘监高斯得。”《宋会要•职官》18之2：“秘书省监正四品。”②大蓬。《书录解题》卷18：“《诚斋集》一百三十三卷。宝谟阁学士、文节公庐陵杨万里廷秀撰。当淳熙末，为大蓬。”《宋史•杨万里传》：“光宗即位，召为秘书监。”③长道山、长蓬山。《攻媿集》卷40《监察御史并卿监郎官该覃恩转官定词》：“秘书监之擢长道山。”《书录解题》卷6：《中兴馆阁录》，秘书监天台陈骏进撰。淳熙中，骏长蓬山。”《南宋馆阁录》卷7《官联》：“（秘书省）监淳熙以后三人：莫济、李焘、陈骙。”④太监。“大”与“太”通。《南宋馆阁录》卷2《省舍》：“堂东二间九架，监居之。……太监位之东一间力光馆库。”,宋代官制辞典第261页，宋代官制辞典第262页,东汉延熹二年（159）始置（《太平御览•职官部》31《秘书监》）。宋沿置，或以判秘阁官兼。南宋建炎三年四月十三日罢置，绍兴元年二月十六日即复（《要录》卷22庚申、同前书卷42丙戌）。,,,,
,判秘书省事,,,,,,,,,,,,,,,宋代官制辞典第262页,,,,,
,提举秘书省,,,,,,,,,,,,,,,宋代官制辞典第262页,,,,,
,提纲史事,,,,,,,,,,,,,,,宋代官制辞典第262页,,,,,
,秘书省少监,,,,,,,①宋初沿唐制，唐时为从四品上（《旧唐书•职官志》2《秘书省》）。②元丰改制后从五品不变（《分纪》卷16《秘书少监》、《庆元条法》卷4《官品令》）。在诸少卿、监中，仅次于太常少卿、宗正少卿，位居大理寺少卿等七寺少卿及少府、将作、军器少监之上。,,元丰新制一人。南宋时，少监编制为一人，但监、少监多不并置（《宋会要•职官》18之2、1）。,,,①宋前期为文臣寄禄官阶。元丰新制其阶易为朝议大夫（《通考•职官》10《秘书监》、《宋史•职官志》9《叙迁之制》）。②元丰新制，为省佐贰，佐监领本省事（《宋会要•职官》18之2）。,,①秘书少监。《长编》卷453戊申：“秘书少监王钦臣为秘书监。”《宋会要•职官》18之2：“秘书省监正四品、少监从五品。”②小监、少监。诸监少监均可省称之。《要录》卷152戊午：“秘书少监游操等上表乞车驾幸秘书省。……时新省成，少监游操援宣、政故事。《宋史•职官志》4《秘书省》：“是冬，新省成，少监游操援政、宣故事。”③少蓬。《书录解题》卷5：“绍兴间，少蓬程俱申请就知桂州许中家抄之。”《容斋随笔•四笔》卷13《官称别名》：“秘书少监为少蓬。”④贰秘书。《玉堂杂记》卷下：“（乾道七年）予时以少蓬兼内直。……予曰：‘故事既难废，况子身贰秘书而罢此礼乎？’”《宋会要•职官》18之2《秘书省》：“监掌书籍、国史、天文历数之事，少监为之贰。”,宋代官制辞典第262页,隋大业三年（607）始置（《隋书•百官志》下）。宋沿置。南宋建炎三年四月十三日罢，绍兴元年二月十六日复（《要录》卷22、42）。,,,,
,秘书监少,,,,,,,,,,,,,,秘书省长贰。《长编》卷453戊申：“令秘书省长贰详度以闻。”,宋代官制辞典第262页,,,,,
,秘书丞,,,,,,,①宋初沿唐制，唐时为从五品上（《六典》卷10）。②元丰改制后，从七品。太常、宗正、秘书丞称“三丞”，位于大理寺丞等七寺丞及少府、将作、军器、都水监丞之上（《宋史•职官志》8《官品令》）。,,一人（《宋会要•职官》18之2、1）。,,,①宋前期为文臣迁转官阶，无职事。元丰正名，其阶易为奉议郎（《宋史•职官志》9《元丰寄禄格》）。②元丰新制后为职事官，参领本省事（《宋会要•职官》18之2）。,,秘丞。《王令集》卷20《故秘书丞徐君墓志铭》。同前书卷16《见朱秘丞书》。《南宋馆阁录》卷2《省舍》：“秘书省……次二间，秘书丞居之。……次三间秘书郎分居之。中虚一间，傍分两位，铺设什物如秘丞位。”《馆阁续录》卷1《沿革》：“照《淳熙杂压令》，秘书丞、秘书郎即不带‘秘书省’字。”,宋代官制辞典第262页,后汉献帝建安二十年（215），曹操进爵为魏王后，置秘书令及秘书左、右丞，是之始（《六典》卷10《秘书省丞》）。宋沿置。南宋建炎三年四月十三日罢，绍兴元年二月十六日复置（《要录》卷22、42）。,,,,
,秘书少丞,,,,,,,,,,,,,,,宋代官制辞典第262页，宋代官制辞典第263页,,,,,
,著作郎,,,,,,,①宋初因唐制，唐官品为从五品上（《六典》卷10《秘书省》）。②元丰新制从七品（《宋会要•职官》18之2）。③《元祐令》正七品（《分纪》卷16《著作郎》）。④南宋为从七品（《宋史•职官志》8《官品》）。位于秘书丞之下，秘书郎、著作佐郎之上。,,①新制一人。②绍兴五年增为二人。③隆兴后不定员（《宋会要•职官》18之2、31）,,,①宋初为文臣迁转寄禄官，无职事（《合璧后集》卷37《著作郎》）。②元丰新制，开修时政记、起居注，修纂日历，祭祀祝辞的撰写等，由著作郎与著作佐郎主掌（《宋会要•职官》18之2）。,,①著作郎。全称为秘书省著作郎。《宋史•王应麟传》：“迁著作郎、守军器少监。”《宋史•杨察传》：“迁秘书省著作郎。”②著作。《咸淳临安志》卷7《秘书省》：“东、西四阁，著作、著佐位焉。”《南宋馆阁录》卷2《省舍》：“次三间著作郎分居之，……西三间著作佐郎分居之。”③大著。《合璧后集》卷37《著作郎》：“元丰正名，始实有职掌。⋯⋯初除林希为大著。”《宋书•百官志》下：“著作郎谓之大著作。”④撰著、著撰。《合璧后集》卷37《著作佐郎》：“秘丘撰著迁秘丘撰著之佐。”《宋会要•运历》1之18：“秘书省正字刘焘权兼著撰。”,宋代官制辞典第263页,后汉东观有著作，但未为正官，兼职而已；西晋元康二年（292），中书省著作郎改隶秘书省（《晋书•职官志》），是为秘书省著作郎设置之始。宋沿置。南宋建炎三年四月十三日罢，绍兴元年二月十六日复置（《要录》卷22、42）。,,,,
