类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,群牧司,,,,,,,,,庆历七年二月七日定编，群牧使、副使各一员，都监、判官各二员。群牧司长官，有群牧制置使、制置群牧使、同群牧制置使、群牧使、同群牧使等名目。其下曾设提点院务坊监公事所（于大中祥符三年六月罢）、群牧行司（熙宁十年置、元丰三年四月二十一日罢）。其余属员公人有差（《分纪》卷19，《宋会要•职官》23之5、6，《宋史•兵志》12）。,,,"总领内外饲养、放牧、管理、支配国马之政。凡受宣诏，则下达于骐骥两院及内外诸坊监。其间，自熙宁元年九月十六日至八年四月二十九日，在外诸马监归河南、河北二监牧使司（《宋会要•兵》24之1,21之8，《宋史•职官志》4《群牧司》）。",,群牧。《宋会要•职官》23之6：“王晓上《群牧故事》六卷。”《编年纲目》：“咸平三年九月，置群牧司。”,宋代官制辞典第142页，宋代官制辞典第143页,“勾当群牧”之称，始于唐贞观十五年，但未能为司（《分纪》卷19《群牧使》）。北宋咸平三年（1000）九月十六日始置（《长编》卷47庚寅）。元丰五年（1082）五月一日罢，其职事归太仆寺（《宋会要•职官》23之12《群牧司》）。,,,,
,群牧制置使,,,,,,,以枢密使或知枢密院事、同知枢密院事等枢密院大臣兼领，位高于群牧使（《宋会要•职官》23之8、7、5）。,,或置一员。,,,为群牧司最高长官，总领国马事（《宋会要•职官》23之5）。但兼领官，非专职。,,①制置使。《宋会要•职官》23之7：“（庆历七年二月七日）制置使王贻永。”《长编》卷160，庆历七年二月壬子：“群牧制置使王贻永。”②群牧置使。《宋会要•职官》23之12：“（元丰）五年五月一日，官制行，废群牧置使，以职事归太仆寺。”③群牧制置。《长编》卷263丙申：“枢密院吴充兼群牧制置，提举修军马敕。”《长编》卷245甲辰：“枢密使陈升之兼群牧制置使。”,宋代官制辞典第143页,北宋真宗景德四年（1007）八月十二日始置（《长编》卷66乙巳），明道二年五月十二日罢，景祐二年十月十三日复置（《长编》卷112乙亥）。宝元二年五月二十三日又罢，后复置（《长编》卷123癸丑）。元丰五年行新制罢。,,,,
,制置群牧使,,,,,,,,,,,,景德二年七月前，为群牧司最高长官，总领内外厩牧之政，周知国马之事（《宋会要•职官》23之5）。,,①制置使。《长编》卷47，咸平三年九月庚寅：“始置群牧司，命枢密直学士陈尧叟为制置使。”《宋会要•职官》23之5：“咸平三年九月，以枢密直学士、主客郎中陈尧叟为制置群牧使。”②使。略称。《宋史•陈尧叟传》：“（景德中）俄兼群牧制置使。始置使（按：此“使”为“制置群牧使”略称），即以尧叟为之，及掌枢密，即罢其任；至是，以国马戎事之本，宜得大臣总领，故又委尧叟焉。”③群牧使。景德二年七月三日前，为制置群牧使省称。《宋史•兵志》12《官司之规》：（咸平）三年，置群牧使。”《宋会要•职官》23之5：“咸平三年九月，以枢密直学士、主客郎中陈尧叟为制置群牧使。”,宋代官制辞典第143页,北宋真宗咸平三年（1000）九月六日始置（《长编》卷47庚寅），景德二年（1005）七月三日，去“制置”之号，改称群牧使（《长编》卷60己酉）。,,,,
,权群牧制置使,,,,,,,,,,,,,,,宋代官制辞典第143页,,,,,
,同群牧制置使,,,,,,,以宣徽使、节度使为之（《分纪》卷19，《长编》卷167辛亥、卷169庚申）。位次于群牧制置使。,,不常置。如群牧制置使设二员，资浅者带“同”字。,,,与群牧制置使同。但为兼职，非专领群牧司。,,①同制置使。《宋会要•职官》23之7：“群牧制置使印，在同制置使孙抃处。”《分纪》卷19《同群牧制置使》：“国朝不常置。”②群牧使、群牧制置使。《宋史•唐介传》：“张尧佐骤除宣徽、节度、景灵、群牧四使。”《宋史•张尧佐传》：“寻拜淮康军节度使、群牧制置使、宣徽南院使、景灵宫使。”③同群牧处置使。《长编》卷171，皇祐三年八月辛卯：“淮康节度使、同群牧处置使张尧佐为宣徽南院使、判河阳。”同前书卷169，皇祐二年闰十一月己未：“三司使、户部侍郎张尧佐为宣徽南院使、淮康节度使、景灵宫使。⋯⋯庚申，又加张尧佐同群牧制置使。”,宋代官制辞典第143页,北宋皇祐元年（1049）九月二十一日见置（《长编》卷167辛亥）。英宗朝沿置。神宗熙宁元年后不置（《宋会要•职官》23之7、8）。,,,,
,群牧使,,,,,,,以翰林学士、两省侍从官以上充。熙宁九年九月十六日，定以枢密都承旨兼群牧使（《长编》卷277己巳）。（《宋史•彭乘传》、《宋史•职官志》4《群牧司》）。位次于群牧制置使、同群牧制置使。,,一人（《分纪》卷19《同群牧使》、《宋会要•职官》23之8）。,,,为群牧司长官，专领本司公事。大事与群牧制置使同签署，小事遺副使处理，余事专决（《宋史•职官志》4《群牧司》）。,,判群牧。群牧司有判官，但为属官，不能主判本司事。群牧司主判官为群牧使，故或别称群牧使为“判群牧”。《东轩笔录》卷7：”（熙宁八年）时元参政绛为翰林学士、判群牧。”《宋宰辅》卷8，熙宁八年十二月壬寅：“元绛参知政事。自翰林学士兼侍读学士、判太常寺兼群牧使、工部侍郎除。”,宋代官制辞典第143页，宋代官制辞典第144页,北宋景德二年（1005）七月四日始置（《长编》卷60己酉、庚戌）。元丰五年五月一日行新制罢。,,,,
,同群牧使,,,,,,,,,,,,,,群牧使。同群牧使或与群牧使通称群牧使。《长编》卷204二月辛丑条：“诏公弼三任群牧使，特与教骏兵士七人。”《宋史•吕公弼传》：“入权开封府，改同群牧使。”,宋代官制辞典第144页,,,,,
,勾当制置群牧司事,,,,,,,以内侍省内侍班院左班副都知充（《长编》卷60己酉）。位次于制置群牧使。,,,,,主按察本司公事。,,①勾当制置群牧司、勾当群牧司。《宋史•兵志》12《官司之规》：“（咸平）三年，置群牧使，以内臣勾当制置群牧司。”《长编》卷60己酉：“改勾当制置群牧司事为群牧副使。”《宋史•宦者•阎承翰传》：“（景德）二年，加廉州刺史、勾当群牧司。”②群牧副使。改称。《宋史•宦者•阎承翰传》：“（景德二年）勾当群牧司，多条上马政，遂兼群牧副使。”《长编》卷60景德二年七月己酉：“改勾当制置群牧司事为群牧副使。”,宋代官制辞典第144页,真宗咸平三年九月，与制置群牧使同时置（《宋史•兵志》12《官司之规》）。景德二年七月三日，去“制置”之号，改为群牧副使（《长编》卷60己酉）。,,,,
,群牧副使,,,,,,,以内侍省副都知、武臣阁门使副以上充。熙宁九年七月十六日，定以枢密副承旨兼群牧副使（《宋史•职官志》4《群牧司》、《长编》卷277己巳）。,,庆历七年二月七日、熙宁元年二月均立定副使一员为额（《宋会要•职官》23之8、《长编》卷160壬子）。,,,为群牧司副长官，专决本司小事（《宋史•职官志》）。,,副使。《长编》卷277己巳：“诏自今枢密都承旨兼群牧使，副都承旨兼副使，更不兼别差遣。”《宋会要•职官》23之10：“副都承旨兼群牧副使，更不兼别差遣。”,宋代官制辞典第144页,北宋景德二年（1005）七月三日始置，至元丰五年五月一日随司罢而罢（《长编》卷60己酉）。,,,,
,群牧都监,,,,,,,以诸司使以上充。治平元年定序位在转运使之下，兼管内群牧事知州、员外郎之上，与提点刑狱序官（《长编》卷200三月丁酉、《宋史•职官志》4《群牧司》）。,,一至二人（《宋史•职官志》4《群牧司》、《分纪》卷19《群牧都监》）。,,,与判官轮流下诸州巡按马坊都监，点检新孳生国马并监察烙印记号于群马左胯上（《宋史•职官志》4《群牧司》）。,,都监。《长编》卷66乙巳：“置群牧制置使，命尧叟兼之，于是内侍副都知阁承翰为都监。”《长编》卷303戊子：“增置群牧都监一员。”,宋代官制辞典第144页,北宋景德四年（1007）八月十二日见置（《长编》卷66乙巳）。元丰五年五月一日随司罢而罢（《宋会要•职官》23之5）。,,,,
,群牧判官,,,,,,,以京官或朝官充。皇祐三年八月定曾历一任知州朝官、一任通判馆职充。英宗治平元年，立定与路提点刑狱公事序官（《长编》卷171戊子，卷200己酉）。,,一人或二人（《长编》卷66乙巳，《宋史•职官志》4《群牧司》）。,,,与都监每年轮番下诸州坊监，点检鞍马之数，及监察孳生马烙印记号（《宋史•职官志》4《群牧司》）。,,①判官。《长编》卷66，景德四年八月乙巳：“置群牧制置使。⋯⋯寻又增置判官一员。”《宋会要•职官》23之5：“群牧判官……（景德）四年九月增置一员。”②正群牧判官。群牧判官依资历分三等：群牧判官、权群牧判官、权发遣群牧判官公事。为区别于带“权”、“权发遣”判官，或称群牧判官为“正群牧判官”。《宋会要•职官》23之10：“正群牧判官改左曹，而宗师乃权也。”,宋代官制辞典第144页，宋代官制辞典第145页,北宋景德二年七月前置（《长编》卷60丙辰）。元丰五年五月一日随司罢而罢。,,,,
,权群牧判官,,,,,,,,,,,,,,,宋代官制辞典第145页,,,,,
,权发遣群牧判官公事,,,,,,,,,,,,,,权发遣群牧判官。《宋会要•职官》23之11：“（元丰二年三月十二日）权发遣群牧判官、太子中允王钦臣。”《长编》卷283辛亥：“诏权发遣群牧判官公事、太常丞王钦臣往秦州凤翔府。”,宋代官制辞典第145页,,,,,
,同群牧事知州、军,,,,,,,,,,,,,,,宋代官制辞典第145页,,,,,
