类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,翰林院,,,,,,,,,勾当官一人，或置提举官一人，均由内侍充。北宋时所属有翰林御书院、翰林医官院（局）、翰林天文院（局）、翰林图画院四局。南宋时设局二：翰林医官局、翰林天文局。分案四。吏额：元丰新制五人。南宋时增置七人。吏名有前行、后行、贴书等（《宋会要•职官》36之95《翰林院》）。,,,掌供奉书画、捏塑、琴棋、医术、天文等技艺以事皇帝。,,翰林。《长编》卷66戊子：“诏翰林遣书工分诣诸路，图上山川形势、地理远近，付枢密院。”同前书卷220甲戌：“画天下州府军监县镇地图。先是中书差图画院翰林待诏绘画。《宋会要•职官》36之95：“翰林院……总天文、书艺、图画、医官四局。”,宋代官制辞典第76页,唐开元初始置翰林院，为文人待诏之所（《玉海》卷167《唐学士院翰林院》）。宋沿置，但掌供奉技艺事，已与学士院专掌内制分道扬镳（《宋会要•职官》36之95）。南宋沿置（《咸淳临安志》卷10）。,,,,
,勾当翰林院,,,,,,,,,,,,,,,宋代官制辞典第76页,,,,,
,提举翰林院,,,,,,,,,,,,,,,宋代官制辞典第76页,,,,,
,提点翰林院,,,,,,,,,,,,,,,宋代官制辞典第76页,,,,,
,翰林天文院,,,,,,,,,天文官四员。司辰（武职给使）与学生二十四人（绍兴元年七月复置时，学生为十人）。玉漏额外司辰与学生共十二人。吏人手分一人，以及把门亲事官二人，工匠二人。洒扫灵台、投送文字剩员八人（南宋时有精简）（《宋会要•职官》36之108）。内设有漏刻、观天台、铜浑仪（《梦溪笔谈》卷8）。,,,观察天象、卜筮，每日将观测和占卜的吉、凶结果记录并奏进，与司天监（后改太史局）天文院所观测、占卜的结果相验证。每季画定星图以奉进（《梦溪笔谈》卷8）。,,①天文院。《梦溪笔谈》卷8《象数》2：“熙宁中，予更造浑仪，并创为玉壶、浮漏、铜表，皆置天文院。”《宋史•律历志》13：”（熙宁）七年六月，司天监呈新制浑仪、浮漏于迎阳门。……诏置于翰林天文院。”②翰林天文局。北宋徽宗朝以后才有翰林天文局之称，凡在此之前所称翰林天文局，概属天文院追称。（南宋）周密《齐东野语》卷15：“皇祐仪在翰林天文局。”《玉海》卷4《皇祐新浑仪》：“皇祐三年十二月庚辰，翰林天文院新作深仪成。”,宋代官制辞典第76页,创置于真宗咸平元年至四年（998一1001）之间（《宋会要•职官》36之107、《宋会要•运历》1之6）。徽宗朝及其以后改称翰林天文局（《宋会要•职官》31之5《司天监》）。南宋初沿置。建炎三年（1129）四月十三日罢，并入太史局（同前书31之6）。绍兴元年（1131）七月八日复置（《要录》卷46）。,,,,
,翰林天文局,,,,,,,,,,,,,,天文局。《宋会要•职官》36之108：“天文局翰林天文官。”同前书36之107：“翰林天文局天文官食直钱可不给，每月止给添支钱一十贯文。”,宋代官制辞典第76页，宋代官制辞典第77页,,,,,
,主管翰林天文局,,,,,,,,,,,,,,,宋代官制辞典第77页,,,,,
,翰林院（局）天文官,,,,,,,,,,,,,,①天官。《宋会要•职官》31之6《司天监》：“翰林天文局旧额天官四员。”《宋会要•职官》36之107《翰林天文院》：“翰林天文局天文官食直钱可不给，每月止添给添支钱一十贯文。”②翰林天文。《宋会要•运历》1之10：“（乾道五年）太史局保章正、同知算造兼翰林天文刘孝荣。”,宋代官制辞典第77页,,,,,
,翰林天文院（局）学生,,,,,,,,,,,,,,天文学生。《宋会要•职官》36之95《翰林院》：“（天文局）有天文官、局生、学生。”同前书36之108：“诏翰林天文局学生诸色人等传报漏泄天象。”“诏天文院学生以十人为额。旧法，各以三十人为额。”,宋代官制辞典第77页,,,,,
,翰林天文局生,,,,,,,,,,,,,,天文局生。《宋会要•职官》36之35：“有天文官局生、学生。”同前书18之96：“曾经试中额内学生祇应及五年，与补局生。”《宋会要•职官》36之35《翰林院》：“有天文官、局生、学生。”翰林天文局司辰天文局武职节级、卒伍等供给使人员，于宣和二年九月改定称“司辰”（《宋会要•职官》36之107）。司辰。《宋会要•职官》36之108：“诏诸司辰、太史生、学生、玉漏学生擅离局所，杖八十。”,宋代官制辞典第77页,,,,,
,翰林天文院节级,,,,,,,,,,,,,,节级。《宋会要•职官》31之4：”（翰林天文院）今后节级虽年限满⋯⋯许就试。”,宋代官制辞典第77页,,,,,
,测验浑仪刻漏所,,,,,,,,,,,,,,①浑仪所。《宋会要•职官》18之83：“两天文院及浑仪所。”同前书18之82：“司天监天文院、翰林天文院测验浑仪所。”“天文院⋯⋯测验浑仪刻漏所。”②测验浑仪。《宋会要•职官》18之83：“测验浑仪。”《宋会要•职官》18之83：“测验浑仪，近置刻漏。”,宋代官制辞典第77页,,,,,
,测验官,,,,,,,,,,,,,,,宋代官制辞典第77页,,,,,
,翰林天文局司辰额内瞻望局学生,,,,,,,,,,,,,,,宋代官制辞典第77页,,,,,
,翰林图画院,,,,,,,,,勾当官二人。待诏初无定员，后定为三人。艺学六人。祗候四人。学生四十人。及工匠十四人（后减为六人）。,,,掌绘画、捏塑（雕像）以供奉御前及宫中应用（《宋会要•职官》36之95）。,,图画院。《宋会要•职官》36之107：“唯有图画院不蒙差拨。”同前书36之106：“翰林图画院，雍熙元年置。在内中苑东门里。”,宋代官制辞典第77页,雍熙元年（984）始置。绍圣二年，改称翰林图画局（《宋会要•职官》36之106、《事物纪原》卷7《图画局》）。靖康间罢局后，南宋未见复置。,,,,
,翰林图画局,,,,,,,,,,,,,,图画局。《宋会要•职官》36之95：“图画局掌以绘事应奉，若塑造则课工为之。”,宋代官制辞典第77页,,,,,
,勾当翰林图画院,,,,,,,,,,,,,,,宋代官制辞典第77页，宋代官制辞典第78页,,,,,
,翰林图画院待诏,,,,,,,,,,,,,,图画院待诏。《长编》卷220甲戌：“画天下州府军监县镇地图。先是中书差图画院翰林待诏绘画。”《长编》卷98丁丑：“旧制：翰林医官、图画、琴棋待诏转官止光禄寺丞。”,宋代官制辞典第78页,,,,,
,翰林图画院艺学,,,,,,,,,,,,,,,宋代官制辞典第78页,,,,,
,翰林图画院祇候,,,,,,,,,,,,,,,宋代官制辞典第78页,,,,,
,翰林御书院,,,,,,,,,①北宋时，勾当官三人。又有御书待诏，翰林书艺，翰林待诏。御书院祗候十七人，装界匠九人，印碑匠六人，雕字匠五人。②南宋绍兴十六年复置时，干办官一员，押宿官二员，技术官书待诏三人，书艺学七人，书学祗候十四人。书学生，不限员（无俸给）。各种祗应人：弹琴一名，着棋一名，擘阮一名；镌字三人，点笔班一名，描边花一名，装界三人，造墨一名，雕字二人，画细文一名，打碑二人，硾纸兼印书二人，系笔三人，系飞白笔一名，造琴、阮一名，裁缝一名，漆作一名，小木一名，镞作一名，剪字一名，银作一名。胥吏有：专知官一名，前行兼副专知一名，后行二人，贴司二人，库子四人，背印、守门、投送文字亲事官共四人。以及杂役兵士十人（内节级二人）。,,,掌皇帝亲笔文字，供奉书写之属、图籍之册及琴棋之艺（《宋会要•职官》36之95）。,,御书院。《长编》卷24庚辰：“有孙景璠者，本杭州水军，篆千字文为五十余体以献。上善之。诏取去黥文，隶御书院。”《宋会要•职官》36之95：“翰林御书院在崇政殿东门横门外。”,宋代官制辞典第78页,北宋太平兴国七年，始设翰林侍书，宿直禁中御书院（《长编》卷23丁卯条，《长编》卷24庚辰条）。元丰新制改称书艺局，南宋初复称御书院。南宋建炎三年罢。绍兴十六年十一月十七日复置。绍兴三十年正月十七日又罢（《宋会要•职官》36之96、97）。,,,,
,翰林书艺局,,,,,,,,,,,,,,书艺局。《宋会要•职官》36之95：“书艺局掌书诏命。”,宋代官制辞典第78页,,,,,
,勾当翰林御书院,,,,,,,,,,,,,,监院中使。《长编》卷68己未：“翰林书艺杨昭度、御书待诏盛量等言：‘为当直入院稍迟，监院中使赵履信便去巾帻，欲行答责。’”,宋代官制辞典第78页,,,,,
,干办翰林御书院,,,,,,,,,,,,,,,宋代官制辞典第78页,,,,,
,翰林侍书,,,,,,,视所带官。如王著以著作郎充翰林侍书，官品则以著作郎为准。,,,,,以善书法备顾问及应奉（同上书卷）。,,侍书。《长编》卷24，太平兴国八年十一月庚辰：“命文仲以著作佐郎充翰林侍读，寓直御书院，与侍书王著更宿。”同前书卷23，太平兴国八年六月：“（王著）甲戌迁著作郎、充翰林侍书。……著之善规益，于侍书、待诏中绝无其比。”,宋代官制辞典第78页,太平兴国七年（982）六月始置（《长编》卷23）。,,,,
,翰林御书院书写待诏,,,,,,,待诏无品。北宋满十年出职改官。南宋时，直长充书待诏满五年出职补成忠郎（正九品）（《宋会要•职官》36之96）。,,北宋不常置。南宋为三人。,,,掌书诏命、国书、赐目及各种节庆、祠祭表词，题书春贴子、端午贴子等事务（《宋会要•职官》36之96）。,,①御书院待诏、御书待诏、书待诏。《宋会要•职官》36之96：“押宿官二员，于书待诏出职人内奏差。“《长编》卷68已未：“翰林书艺杨昭度、御书待诏盛量。”《长编》卷84丁酉：“御书院待诏盛亮。”②书写待诏。北宋时称御书待诏，南宋时称书写待诏。《宋会要•职官》36之96：“书写待诏，掌行书写。”,宋代官制辞典第78页，宋代官制辞典第79页,御书院建立之前，宋初学士院设隶书待诏（《宋会要•职官》6之46《学士院》）。御书院于太平兴国中建立后，始设书写待诏，并随御书院之罢而罢。,,,,
,翰林御书院翰林待诏,,,,,,,,,,,,与“御书待诏”同。,,御书院翰林待诏、翰林待诏。《长编》卷90，真宗天禧元年十月丁丑：“诏御书院翰林待诏、书艺、祗候等，入仕十年以上无私犯者，与出职。”《宋会要•职官》36之95：“翰林书艺在院祗候迁翰林待诏者，则隶学士院。后亦有依前祇候者。”,宋代官制辞典第79页,,,,,
,翰林御书院翰林书艺学,,,,,,,,,,,,,,①翰林书艺。《长编》卷90丁丑：“诏御书院翰林待诏、书艺、祇候等入仕十年以上无私犯者与出职。”②御书院艺学。《宋会要•职官》36之97：“前御书院艺学雷济。”同前书36之96：“御书院：⋯⋯书艺学七人。”,宋代官制辞典第79页,,,,,
,翰林御书院书学祗候,,,,,,,,,,,,,,御书院祇候、祇候。《长编》卷90丁丑：“御书院翰林待诏、书艺、祇候等。”《宋会要•职官》36之95：“翰林御书院：……祇候十七人。”同前书36之96：“御书院：……书学祗候一十四人。”,宋代官制辞典第79页,,,,,
,着绿待诏,,,,,,,,,,,,,,,宋代官制辞典第79页,,,,,
,赐绯待诏,,,,,,,,,,,,,,,宋代官制辞典第79页,,,,,
