类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,国史院,,,,,,,北宋时，宰执官兼领史院官（监修国史、同修国史之类），以史院为重。南宋时，循例以史院官命相（提举国史院），但不以史院为重（《朝野杂记》乙集卷13《权监修国史》）。,,修一朝或数朝正史，即张官置吏，设一套修史班子。但修史官多为兼官，无专官。计有：提举修国史或监修国史（宰相兼领）、修国史、同修国史、修撰（编修）、检讨官等。南宋时，常置权官，如权监修国史、权提举国史院、权同修国史等。此外，办事员有都大提举诸司、国史院承受、国史院主管诸司，都由内侍官充（《宋会要•职官》18之53、54《国史院》）。吏额十一人，有点检文字、主管文字、楷书、书库官等（《宋会要•职官》18之58）。南宋时吏额，有点检文字三人，书库官六人，楷书五人（《南宋馆阁录》卷10）。,,,元祐五年初建时，掌修国史、实录、日历。绍圣二年二月，修日历职事分出，归秘书省日历案。元符三年十二月修会要职事，又归秘书省置局。徽宗朝修实录，则别置实录院（《宋会要•运历》1之17）。南宋时，国史院专掌修正史，则以日历、时政记、起居注、行状等为根底，按纪、志、传、表等体例撰写的当代通史（《宋会要•职官》18之107《国史日历所》、《玉海》卷46《正史》、《挥麈后录》卷1）。,,史院。《长编》卷502，元符元年九月庚戌：“清选要地，莫如经筵、史院。”《玉海》卷168《元祐国史院》。,宋代官制辞典第页，宋代官制辞典第280页,唐代修史，或于集贤院、史馆，或于在外州、军修史者之家（《玉海》卷46《唐在外修史》）。北宋雍熙四年（987）九月，修《太祖纪》，开始于史馆置修史院（《玉海》卷168《雍熙修史院》）；天圣九年（1031）五月二十九日，改称编修院，置局于崇文院之外（同前书卷）；元丰四年十一月罢编修院，归史馆（《长编》卷320）。元丰五年改新制，罢崇文院连及史馆，修史事隶秘书省国史案。元祐五年（1090）十一月十三日，秘书省国史案所掌职事，归新建的国史院，是为国史院设置之始，隶门下省（《玉海》卷168《元祐国史院》）。南宋初期，先后置修国史日历所、史馆，绍兴十年罢史馆。此后，遇修实录，置实录院；遇修正史，则开国史院。绍兴二十八年七月十九日，复置修国史院（《玉海》卷168《绍兴国史、实录院》）。至嘉泰二年后，国史院与实录院并置（《宋史•职官志》4《国史、实录院》）。,,,,
,修史院,,,,,,,,,,,,,,,宋代官制辞典第280页,,,,,
,编修院,,,,,,,,,,,,,,①史院。《合璧后集》卷42《史馆、史官》：“《东京记》编修院俗呼为史院。”《宋会要•职官》18之52《编修院》：“宋置崇文院，自后修国史、会要，名曰编修院。”②修国史院。如遇修国史，或称之。《玉海》卷46《景德太祖太宗两朝史》：“（景德）九年二月十二日丁亥，史成。”原注：“命宴于修国史院。”《长编》卷287，元丰元年国正月辛巳；“刘奉世直史馆为修国史院编修官。”,宋代官制辞典第280页,,,,,
,史馆,,,,,,,,,,,,,,,宋代官制辞典第280页，宋代官制辞典第281页,,,,,
,国史案,,,,,,,,,,,,,,,宋代官制辞典第281页,,,,,
,提举修国史,,,,,,,,,,,,,,提举。《梁溪漫志》卷1《监修、提举国史》：“次相提举。”《宋会要•职官》18之54：“诏国史院宰臣提举。”同前书18之57：“（乾道）四年四月二十四日，尚书右仆射、提举三朝国史、提举实录院蒋芾。”,宋代官制辞典第281页,,,,,
,提领修国史,,,,,,,,,,,,,,,宋代官制辞典第281页,,,,,
,提举国史院,,,,,,,,,,,,,,"提举。《宋会要•职官》18之59：""（淳熙元年）右丞相曾怀提举国史院。”《麟台故事》（残本）卷1：“国史院，以首相提举。”",宋代官制辞典第281页,,,,,
,权提举国史院,,,,,,,,,,,,,,权提举。《宋会要•职官》18之55：“乾道三年三月二十一日，诏参知政事虞允文兼权修三朝国史。中兴以来，参政兼提举始此。”,宋代官制辞典第281页,,,,,
,监修国史,,,,,,,,,,,,,,监修。《玉海》卷168《绍兴国史、实录院》：“（绍兴）二十八年七月十九日丙子诏置国史院，在秘书省门内之东，修神、哲、徽正史。……八月十四日庚子命宰臣监修。”《宋会要•职官》18之54：“（绍兴二十八年）差宰臣汤思退监修国史。”,宋代官制辞典第281页,,,,,
