类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,光禄寺,,,,,,,,,"①宋前期判光禄寺一人。吏额有：府史四人，驱使官二人，供官十五人。②元丰改制后，官额有：光禄卿一人，少卿一人，丞一人，主簿一人，太官令一人。分案五。吏额十。所辖十局：法酒库、内酒坊、御厨、翰林司、牛羊司、牛羊供应所、乳酪院、太官物料库、外物料库、油醋库（《宋会要•职官》21之2,3、7）。",,,①宋前期，光禄寺古制所属太官、珍羞、良酝、掌醢四局职事分隶御厨、法酒库，本寺仅掌祠祭供奉酒醴、米实、脯醢、醯菹、薪炭及点馔、进胙等事（《宋会要•职官》21之1）。②元丰五年正名，光禄寺职掌有所扩大，则除祠祭之外，朝会、宴享酒醴膳羞的储备、排办一应事务，及与之有关的禁令、格式，均统掌或监视之（《宋史•职官志》4《光禄寺》、《宋会要•职官》21之2）。,,光禄。《玉海》卷124《宋朝列寺》：“光禄，旧以朝官判。”《通考•职官》9《光禄卿》：“宋光禄寺，判寺事一人，以朝官以上充。”,宋代官制辞典第325页,秦有郎中令，西汉武帝太初元年（前104）改名为光禄勋，掌宫殿掖门户。东汉光禄勋增掌郊祀三献之职。北齐始有光禄寺之称（《通典•职官》7《光禄卿》）。北宋沿置。南宋建炎三年四月十三日，并归礼部；绍兴二十三年二月十七日复置（《要录》卷22庚申）。隆兴元年七月二十六日并入太常寺（《宋会要•职官》21之7）。,,,,
,判光禄寺事,,,,,,,,,,,,,,判寺。《宋会要•职官》21之1《光禄寺》：“朝官一员判寺。”《通考•职官》9《光禄卿》：“宋光禄寺判寺事一人，以朝官以上充。”,宋代官制辞典第325页，宋代官制辞典第326页,,,,,
,光禄寺卿,,,,,,,①宋初因唐制，唐光禄卿为从三品（《六典》卷15《光禄寺》）。②元丰改制后为从四品（《分纪》卷18《光禄卿》）。九寺卿中位次于太常、宗正卿，但列于七寺卿之首（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定员一人。哲宗元祐三年卿、少不并置。南宋不置（《宋会要•职官》21之5）。,,,①宋前期无职事，为文臣迁转官阶。元丰五年正名，光禄卿阶改为中散大夫（《通考•职官》9《光禄卿》）。②元丰行新官制，为本寺长官，领本寺职事，并充朝享太庙等祠祭行事官（《元丰官制》、《宋会要•礼》17之2《朝享太庙》）。,,①光禄卿。《长编》卷245丙申：“知邢州、光禄卿史炤知恩州。”《分纪》卷18：“国朝《元祐官品令》：光禄寺卿，从四品。”②光禄。《宋朝类苑》卷6《君臣知遇•王光禄》：“光禄卿王济刑部详覆官，屡上封事。”③饱卿。《塵史》下：“七寺闲剧不同，太府为‘忙卿’，司农为‘走卿’，光禄光‘饱卿’。”,宋代官制辞典第326页,南朝梁天监七年（508），改光禄勋为光禄卿（《隋书•百官志》上）。光禄寺卿，始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年罢寺后不复置卿（《宋会要•职官》21之7）。,,,,
,光禄寺少卿,,,,,,,①宋初因唐制，唐官品为从四品上（《六典》卷15《光禄寺》）。②元丰五年改制后为正六品（《宋会要•职官》21之2）。杂压位次于太常、宗正少卿，而居七寺少卿之首。,,元丰新制定员一人。元祐三年卿、少卿共置一人，不并置（《宋会要•职官》21之5）。,,,①宋前期无职事，为文臣迁转官阶，元丰五年正名，光禄少卿阶改朝议大夫（《通考•职官》9《光禄卿》）。②元丰新制，为职事官，本寺副贰，佐正卿领寺事（《宋史•职官志》4《光禄寺》）。,,①光禄少卿。《长编》卷31四月：“户部郎中柴成务为光禄少卿。”同前书卷195戊寅：“光禄寺少卿张叔詹致仕。”②光禄。《曾巩集》卷45《寿安县太君张氏墓志铭》：“宗恪，光禄少卿。余之亡妻，……光禄之长女也。”,宋代官制辞典第326页,北魏有光禄勋少卿（《魏书•官氏志》）。或省称光禄少卿（《太平御览》卷229《光禄少卿》）。北齐始有光禄寺少卿之官名（《隋书•百官志》中）。北宋沿置，南宋建炎三年罢寺后未复置少卿（《要录》卷22庚申）。,,,,
,光禄寺丞,,,,,,,①宋初因唐制，唐光禄丞为从六品上（《六典》卷15《光禄寺》）。②元丰改制后为正八品（《宋会要•职官》21之2）。在九寺丞中，位次于太常、宗正丞，居于其余七寺丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定以一员。南宋绍兴二十三年二月复置一员（《宋会要•职官》21之2、《要录》卷164两子）。,,,①宋前期无职事，为文臣迁转官阶；元丰五年正名，光禄寺丞阶易为宣义郎（《通考•职官》9《光禄卿》）。②元丰新制为职事官，参领本寺祠祭礼料等事（《宋会要•职官》4《光禄寺》）。,,①光禄丞。《宋会要•礼》17之2《朝享大庙》：“光禄丞出班巡按牲一匝，西向，躬曰：‘腯。’”《要录》卷164丙子：“复置光禄寺丞一员，专掌祠祭礼料。”②寺丞。《东轩笔录》卷3：“马公知江宁府，时陈恭公执中以光禄寺丞经过，马接之极厚，且谓曰：‘寺丞他日必至真宰。’”,宋代官制辞典第326页,西汉武帝太初元年（前104）改郎中令丞为光禄勋丞，至北齐始有光禄寺丞之官称（《汉书•百官表》上、《隋书•百官志》上）。北宋沿置。南宋建炎三年罢，绍兴二十三年二月十七日复置光禄寺丞一员。隆兴元年七月二十六日罢（《要录》卷22庚申、卷164丙子，《宋会要•职官》21之7）。,,,,
,光禄寺主簿,,,,,,,①宋初因唐制，唐为从七品上（《旧唐书•职官志》3）。②元丰改制后为从八品（《职源•官品》）。九寺主簿皆为从八品，其杂压，光禄寺主簿位次太常、宗正簿，居于卫尉寺主簿之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制定以一员（《宋会要•职官》21之2）。,,,①宋前期无职事，为文臣迁转官阶（《宋史•选举志》4）。②元丰正名，为职事官，职掌钩考本寺簿书，元祐元年后许通掌本寺公事（《宋会要•职官》21之2、《长编》卷384辛卯）。,,光禄主簿。《愧郯录》卷6《寺监簿职守》：“绍圣初，韩粹彦为光禄主簿，自言今辄预寺事，非先帝意也，请如元丰诏书。《宋会要•职官》21之2：“光禄寺卿从四品⋯⋯，主簿从八品。”,宋代官制辞典第326页，宋代官制辞典第327页,西晋光禄勋下设主簿（《晋书•职官志》）。光禄寺主簿始置于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月罢寺后不复置（《要录》卷22庚申）。,,,,
,太官令,,,,,,,①宋初因唐制，唐太官署令为从七品下（《六典》卷15《光禄卿》）。②元丰改制后正九品（《分纪》卷18、《庆元条法》卷4《官品令》）。,,①宋初置太官。②元丰新制定为一人。③崇宁二年五月十四日并入殿中省尚食局太官局，光禄寺不置太官令。④靖康元年正月四日罢殿中省六尚局后，仍归隶光禄寺。⑤南宋孝宗隆兴元年七月二十六日后，归隶太常寺（《宋会要•职官》211、2、6、7）。,,,掌供御膳禁令、察视等事。崇宁二年并入殿中省尚食局、太官局后，止掌祠祭荐羞事（《宋会要•职官》21之2、6、7）。,,①太官令。全称应为光禄寺太官令。《长编》卷394戊辰：“复置太官令一员。”《分纪》卷18《光禄•丞》：“国朝《元祐官品令》：光禄寺太官令正九品。”②太官。《长编》卷75甲辰：”（车驾）发西京，至慈润，顿，太官始进素膳。”《宋会要•职官》19之4：“太官令增一人，通旧监御厨官力四人。……大官外择精熟人人尚食局，通为膳工，共置二百人。”,宋代官制辞典第327页,秦、汉少府属官有太官令，掌进饭、肉事（《汉书•百官表》上、《太平御览》卷229）。西晋改属光禄勋（《通考•职官》9《光禄卿》）。光禄寺太官署令始置于北齐（《隋书•百官志》中）。北宋太官署事隶御厨。元丰改制后光禄寺始置太官令。元祐元年五月十五日罢，次年正月十五日复置。崇宁二年五月十四日，并入殿中省尚食局、太官局（《宋会要•职官》21之1、2、5、7，同前书19之4、8《殿中省》）。南宋沿设，归隶太常寺。,,,,
,府史,,,,,,,,,,,,,,,宋代官制辞典第327页,,,,,
,驱使官,,,,,,,,,,,,,,,宋代官制辞典第327页,,,,,
,供官,,,,,,,,,,,,,,,宋代官制辞典第327页,,,,,
