类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,军器监,,,,,,,,,①熙宁六年六月置监，设判监事、同判监事二人，其后并置丞、主簿、勾当公事官各一员（《玉海》卷124《熙宁军器监》，《长编》卷269庚寅、卷281丙申）。②元丰新制，设监、少监各一人，丞二人，主簿一人。分案五、置吏十三。总局五：东、西作坊，作坊物料库，皮角场，及广备指挥（《宋史•职官志》5《军器监》、参《宋会要•食货》56之16）。③南宋建炎三年并归工部。绍兴三年十月复置监丞一员，十一年四月复置监、少监各一员。隆兴元年七月又省长贰，止存丞一员。乾道五年四月复置少监、六年十一月复置监（《咸淳临安志》卷8《军器监》）。,,,①宋前期，军器制造、储积之职，领于三司青案。本监存其名而不备员（《咸淳临安志》卷8《军器监》引《监王逨记题名》）。②熙宁六年六月二十七日，以三司胄案为军器监，按《唐令》振举监职，总内外军器之政（《长编》卷245戊戌）。元丰新制后不变，止是官员正名而已，即改判监、同判监为军器监监、少监等（《宋史•职官志》5《军器监》、《分纪》卷23《军器监》）。,,①军器、监。《咸淳临安志》卷8《军器监》31《监王逨记题名》：“唐设官，军器与将作并列。国朝具官无员、而其职掌隶于三司。熙宁更制，然后军器有监。”《长编》卷245熙宁六年六月戊戌：“置军器监，总内外军器之政，其所统摄并依将作。”②戎监。《愧郯录》卷13《冷端甲》：“杨大监简在戎监。“《宋诗纪事》卷53《杨简》：“宁宗朝，累官军器少监，出知温州。”③武监。《后村大全集》卷60《赵希贤军器监丞》：“尔列属武监，由簿而丞。”,宋代官制辞典第402页,北周武帝四年置（《通典职官》9《军器监》）。北宋初具官无员，武器制造归南、北二作坊（后改东、西二作坊），弓弩院、诸州作院。熙宁六年六月二十七日始实置监（《宋史•神宗纪》2、《通考•兵考》13《兵器》）。南宋建炎三年四月十三日罢。绍兴三年十月二十九日复置（《十朝纲要》卷22）。,,,,
,判军器监事,,,,,,,,,,,,,,①判监。《长编》卷245己亥：“置军器监总内外军器之政……仍以吕惠卿、曾孝宪为判监。”《宋会要•食货》56之16《户部》：“熙宁六年六月二十七日，以三司胄案军器监。八月十九日，判军器监吕惠卿言。”②监长。《咸淳临安志》卷8《军器监》引《监王逨记题名》：“熙宁更制，然后军器有监，监有长、有贰、有丞簿。”《长编》卷245己亥：“（熙宁）六年始按《唐令》置军器监，统内外军器之政，置判及同判官各一员，其属有丞、有主簿、有勾当公事。”,宋代官制辞典第402页,,,,,
,同判军器监事,,,,,,,,,,,,,,同判。《长编》卷245己亥：”（熙宁）六年始按《唐令》置军器监，总内外军器之政，置判监及同判官各一员。”同前书卷258庚午：“太子中允、集贤校理俞充权同判军器监。”,宋代官制辞典第402页,,,,,
,军器监监,,,,,,,正六品（《分纪》卷23《军器监》、《职源•官品》）。其班位在少府、将作监监之下，都水监使者、入内、内侍两省都都知之上（《宋史•职官志》8《元丰以后合班之制》）。,,南宋废置不常（《宋史•职官志》5《军器监》）。,,,,,①军器监、长戎监。《后村大全集》卷60《上官涣酉将作监、李鋂军器监》：“其以涣酉为大匠、鋂长戎监。”《宋史•职官志》5《军器监》：“元丰正名，始置监、少监各一人。”《新唐书•百官志》3：“军器监监一人，正四品上。”②监长。《宋史•职官志》5《军器监》：“钱良臣以少监总领淮东财赋；八年，沈揆复以监长行。诸监长贰自是始许总饷外带。”《咸淳临安志》卷8《军器监》引《监王逨记题名》：“逨也不肖，由尚书郎得长。淳熙三年六月二十五日。”③军器大监。《金佗续编》卷15《禁止坟山凿石省札》：“朝散郎、守军器监、总领浙西江东财赋、淮东军马钱粮、专一报发御前军马文字兼提领措置屯田岳珂……。右札付淮东总领、军器岳大监。”,宋代官制辞典第402页，宋代官制辞典第403页,北周有军器大监（庾信《周上柱国齐王宪神道碑》）。唐开元三年以军器使为军器监监（《通典•职官》9《军器监》）。北宋无员。元丰五年始置。南宋建炎三年四月十三日罢。绍兴十一年四月二十二日复置。隆兴元年七月二十六日省，乾道六年十一月复置（《宋史•职官志》5《至器监》）。,,,,
,军器监少监,,,,,,,从六品（《分纪》卷23《军器监》、《职源•官品》）。其班位在少府、将作少监之下，诸卫将军、太子侍读、侍讲之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人。南宋废置不常。,,,佐正监领本监公事（《宋史•职官志》5《军器监》）。,,①军器少监。《长编》卷399壬寅：“军器少监以上各二人。”《宋史•职官志》5《军器监》：“元丰正名，始置监、少监各一人。”②贰军器。《麈史》卷上《礼仪》：“予时贰军器。”《合璧后集》卷38《三监门•军器监》：“军器少监贰职。”③贰戎监。即贰军器监。《攻媿集》卷35《太常丞章颖军器少监》：“俾贰戎监，是日序迁。”,宋代官制辞典第403页,北周有军器副监（《周书•杨敷传》）。唐武德初有武器少监（《新唐书•百官志》3）。北宋元丰新制始设军器监少监（《宋史•职官志》5《军器监》）。南宋建炎三年四月十三日罢。绍兴十一年四月二十二日复置。隆兴元年七月二十六日省。乾道五年四月复置（《玉海》卷124《熙宁军器监》）。,,,,
,军器监丞,,,,,,,从八品（《分纪》卷23、《职源•官品》）。班位在国子、少府、将作监丞之下，都水监丞、太医局正之上（《宋史•职官志》8《元丰以后合班之制》）。,,,,,参领本监公事（《宋史•职官志》5《军器监》）。,,①丞。略称。《长编》卷280乙未：“奉礼郎吕和卿为军器监丞。仍诏丞、主簿自今于所置员数互换选人。”②丞贰。《合璧后集》卷38《军器监丞》：“丞贰置监董之，而丞为之贰。”③丞军器。《宝真斋书法赞》卷9《吕文靖亭侯帖》：“赞语：嘉定乙亥，珂丞军器。”,宋代官制辞典第403页,唐武德初置武器监丞。开元三年，改称军器监丞（《新唐书•百官志》3《军器监》）。北宋神宗熙宁六年六月二十七日置军器监，其属有丞（《长编》卷245戊戌注文）。南宋建炎三年四月十三日罢。绍兴三年十月二十九日复置（《要录》卷22庚申、《十朝纲要》卷22）。,,,,
,军器监主簿,,,,,,,从八品（《职源•官品》、《分纪》卷23）。班位在国子、少府、将作监主簿之下，都水监主簿之上。,,一人（《宋史•职官志》5《军器监》）。,,,掌勾考簿书（《愧郯录》卷6《寺监簿职守》）。,,军器主簿、军器监簿。《分纪》卷23《军器监》：“军器主簿从八品。”《合璧后集》卷38《三监门•军器监》：“军器监簿国朝神宗时置主簿一人。”《长编》卷281熙宁十年四月丙申：“诏军器监置主簿及勾当公事官各一员。”,宋代官制辞典第403页,军器监主簿始置于唐（《新唐书•百官志》3）。北宋熙宁六年六月设军器监，其属有主簿（《长编》卷245戊戌注文）。南宋建炎三年四月十三日罢，绍兴三年十月二十九日复置（《要录》卷22庚申、卷69庚戌）。,,,,
,勾当军器监公事,,,,,,,,,,,,,,①勾当公事。《长编》卷245己亥：“（熙宁）六年始按《唐令》置军器监。⋯⋯其属有丞、有主簿、有勾当公事。”同前书卷281丙申：“诏军器监置主簿及勾当公事官各一员。”②管当公事。南宋史家避“勾”改为“管”字。《宋史•兵志》11：“（熙宁）六年，始置军器监。……属有丞，有主簿，有管当公事。”,宋代官制辞典第403页,,,,,
,作坊,,,,,,,,,,,,,,,宋代官制辞典第403页,,,,,
,作坊使,,,,,,,,,,,,,,,宋代官制辞典第403页，宋代官制辞典第404页,,,,,
