类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,太常寺,,,,,,,太常寺冠于九寺之首，以其职清重而位尊，与宗正寺高于其余七寺一等。门荫官不得任太常官（《长编》卷406丙午）。,,官额：太常寺卿、少卿、丞各一人，太常寺博士四人，主簿、协律郎、奉礼部、太祝各一人，以及籍田令、宫闱令、太庙令、郊社令等临时差遣。分案九：礼仪案、祠祭案、坛庙案、大乐案、法物案、廪牺案、太医案、掌法案、知杂案。吏额：有赞引使四人、正礼直官二人、副礼直官二人，正名赞者八人、守阙赞者七人、私名赞者七人、胥长一人、胥吏一人、胥佐四人、贴司一人、书表司一人等名目，又有诸司局供官二十七人、乐正三人、鼓吹令，及专知官、库子等等。所辖官司有太医局、教场、提点管勾郊庙祭器所、太庙奉安所、诸陵祠坟所、太庙什物库等（《宋史•职官志》4《太常寺》、《宋会要•职官》22之34《太社局》）。,,,①宋前期大部职事为礼院、礼仪院所占，本寺仅掌社稯及武成王庙、诸坛、斋宫、习乐之事（《宋会要•职官》22之17）。②仁宗康定元年（1040）十一月，改判礼院事为判太常寺事，兼礼仪事，太常寺从礼院收回部分职事。“先是，谢绛判礼院，建言：‘太常寺本礼乐之司，今寺事皆本院行之，于礼非便。请改判院为判寺，兼礼仪事。’于是，始从绛言。”（《长编》卷129乙丑）。③元丰改制后，礼院职事罢归，统掌礼乐之事，举凡大朝会、祭祀所用雅乐，及器服，郊祀、宗庙、社稷、陵寝、牺牲、籍田、祠祀、医药等，均得管领（《分纪》卷18《太常》）。③崇宁四年八月建大晟府，专掌乐；自此太常寺专掌礼，礼、乐始分为二（《宋史•乐志》4）。,,①太常。《乐全集•文安先生墓表》：“俾就太常修纂礼书。”《宋史•职官志》4《太常寺》：“令本寺《因革礼》五年一检举。”②犬寺。《宋会要•职官》22之27《大晟府》：“赴大寺协律厅。”《宋会要•礼》6之18：“太常寺将来亲享先农及亲耕籍田，合差官下项⋯⋯协律郎二员。”③奉常。拟古官称。秦、汉初，礼乐之司本称奉常。《栾城集》卷27《丁骘太常博士》：“奉常，礼乐之地，教化所从出也。”《汉书•百官表》上：“奉常，秦官，掌宗庙、礼仪，有丞。景帝中六年更名太常。”④容台。《攻媿集》卷41《太常少卿詹体仁太府卿》：“容台之礼乐，外府之财用，其实皆政也。”《合璧后集》卷33《太常寺》：“太常寺曰容台。”⑤曲台。《合璧后集》卷33《太常博士》：“曲台博士。”《曲阜行吕希纯制》：“曲台博士，稍试汝能。”《宋史•吕希纯传》：“登第，为太常博士。”《称谓录》卷17《太常寺》：“故太常称曲台。”⑥颂台。“颂”，仪容礼节之意。古“颂”与“容”音同。颂台即容台。《攻媿集》卷39《许介宗正丞》：“某司宗有丞，在颂台与册府之间，非列寺比。”太常寺丞、宗正寺丞、秘书省丞，号“三丞”，非其他七寺丞可比。宗正丞位在太常丞与秘书丞之间，故上谓宗正丞“在颂台与册府之间”。⑦礼乐之司。《玫媿集》卷41《曾三复太常少卿》：“擢居礼乐之司。”,宋代官制辞典第297页，宋代官制辞典第298页,秦置奉常，西汉初改称太常。北齐始有太常寺之称（《通典•职官》7《太常卿》、《汉书•百官表》上）。两宋沿置。隆兴元年七月光禄寺并入太常寺（《咸淳临安志》卷6《太常寺》、《宋会要•职官》21之7）。,,,,
,判太常寺,,,,,,,以三品以上官兼充，或两制官充（《春明退朝录》上、《宋会要•职官》22之17）。,,一人或二人（《宋会要•职官》22之17）。,,,主掌宋前期太常寺所存职事，即管社稷、武成王庙、诸坛、斋官及习乐等事（《宋会要•职官》22之17）。,,判寺。《玉海》卷124《宋朝列寺》：“康定元年十一月置判寺、同判兼礼仪事（李仲容、宋祁）。”《长编》卷129乙丑：“以判太常寺、翰林侍读学士兼龙图阁学士李仲容兼礼仪事。”,宋代官制辞典第298页,五代后晋有判太常寺事（《五代会要》卷7《庙乐》）。宋初置。康定元年十一月十四日，判太常寺兼礼仪事。元丰五年改制正名，罢判寺官（《宋会要•职官》22之17、18，《长编》卷129）。,,,,
,同判太常寺,,,,,,,,,,,,,,同判寺、同判。《宋会要•职官》22之18：“康定元年置判寺、同判寺兼礼仪事。”《玉海》卷124《宋朝列寺》：“康定元年十一月置判寺、同判兼礼仪事。“《长编》卷129乙丑：“以判太常寺、翰林待读学士、兼龙图阁学士李仲容兼礼仪事，判太常礼院、知制诰吴育、天章阁待制宋祁并同判太常寺、兼礼仪事。”,宋代官制辞典第298页,,,,,
,太常寺卿,,,,,,,①宋前期因唐制，唐为正三品（《六典》卷14《太常》）。②元丰改制后正四品（《宋会要•职官》22之34《郊社局》）。太常卿为九卿之首，每入朝，与六部尚书同幕次，有“尚书里行”之名、“太常不是卿”之号称。九卿中，唯太常卿、宗正卿为正四品，其余七寺卿均为从四品（《合璧后集》卷33《太常卿》、《宋史•职官志》8《官品》、《宋朝类苑》卷27《太常卿》）。,,一人，不常置（《通考•职官》9《太常卿》、《宋会要•职官》22之34《郊社局》）。,,,①宋前期无职事，杂压存其名，行礼时为行事官（《长编》卷45甲午、卷306甲戌）。②为太常寺长官，总领寺事，掌礼乐、郊庙、社稷、坛壝、陵寝、医药等事（《宋会要•职官》22之18）。,,①太常卿、太常。太常寺卿罕见称，习称太常卿。《长编》卷61乙巳朔：“赐胙，大礼使至太常寺卿十六段。”《宋朝类苑》卷27《太常卿、秘书监》：“旧传太常卿不是卿，秘书监不是监，以其品列清重，不与诸卿监侔耳。”②乐卿。《懒真子录》卷1：“自唐以来，呼太常卿为乐卿，或云‘太常礼乐之司’，故有此名。然此二字，古有之。《前汉•食货志》：武帝置赏官名，曰‘武功爵第八级曰乐卿’。故后之文人因取二字用之。”③春官卿。《长编》卷306乙亥：“太常卿，古春官卿。”④奉常、奉常巨卿。拟秦汉奉常之称。《合璧后集》卷33《太常卿•诗集》张文潜《除奉常有感》：“奉龙旗平生秉《周礼》，投老奉龙旗。”《合璧后集》卷33《太常少卿》：“奉常巨卿不常置，为之少者益专寺任，礼乐之事皆取决焉。《曲阜集•除温益制》。”《汉书•百官表》上：“奉常，秦官，掌宗庙礼仪，有丞。景帝中六年更名太常。”师古曰：“太常，王者雄旗也，画日月焉。王有大事，则建；以行礼官主奉持之，故曰奉常也。”,宋代官制辞典第298页，宋代官制辞典第299页,东汉时始有太常卿之称（《后汉书•百官志》2）。北齐置太常寺卿（《隋书•百官志》中）。两宋沿置。,,,,
,太常寺少卿,,,,,,,①宋初因唐制，唐为正四品上（《六典》卷14《太常》）。②元丰改制后从五品（《宋会要•职官》22之34《太社局》）。太常寺少卿序位在九寺少卿之首。品秩独宗正寺少卿与太常少卿同，其余七寺少卿则为正六品（《庆元条法》卷4《官品令》）。,,一人（《宋会要•职官》22之34）。,,,①宋前期无职事，为文臣寄禄官（同前书卷）。②元丰新制易阶官为朝议大夫，太常少卿为职事官，本寺副长官，佐正卿领太常寺事。,,①太常少卿、少卿。太常寺少卿习称太常少卿，或省称少卿。《宋朝类苑》卷27《太常卿》：“诸子因上问曰：‘太常卿班列如何？……卿与少卿每入幕次，皆于横行独据一榻。”《玉海》卷124《宋朝列寺》：“太常，元丰五年四月正官名。李常为少卿，卿不除。”《宋史•李常传》：“元丰六年，召为太常少卿。”②常少。《玉海》卷130《咸平宗正寺》：“建炎三年四月省，以常少兼。”《宋史•职官志》4《宗正寺》：“渡江后，卿不常置，少卿一人，以太常兼。”③少常。《长编》卷422癸丑：“朝散大夫、卫尉少卿王子韶为太常少卿。右正言刘安世言：‘……今少常之任，素号清选。’”④贰太常。《宋史•洪适传》：“（隆兴二年）召贰太常兼权直学士院。”《宋会要•职官》33之1《环卫》：“（隆兴二年）宰执进呈太常少卿洪适等讨论到环卫官故事。”⑤贰奉常、奉常贰卿。刘克庄《后村先生大全集》卷107《退斋遗稿》：“先君始擢贰奉常，历起居郎、舍人，迁吏侍。”《水心文集》卷20《故吏部侍郎刘公墓志铭》：“遂自副使为太常少卿，……除起居舍人，迁郎，遂为吏部侍郎。……子四人，曰克庄。”《曾巩集》卷20《李常除太常少卿制》：“奉常贰卿，典领甚重。”⑥贰容台、容台少列。《攻媿集》卷37《太常少卿薛叔似秘书监》：“归贰容台，物望无不宗之；既授以太史氏之职，复使正此久虚之位。”同前书卷40《监察御史曾三复太常少卿》：“宪府设属，以六案为重；容台少列，非七寺之比。”,宋代官制辞典第299页,北魏太和十五年（491）始置太常少卿（《魏书•官氏志》、《分纪》卷18《太常•少卿》）。太常寺少卿始于北齐（《隋书•百官志》中）。两宋沿置（《合璧后集》卷33《太常少卿》）。,,,,
,太常卿少,,,,,,,,,,,,,,,宋代官制辞典第299页,,,,,
,太常寺丞,,,,,,,①宋前期因唐制，唐为从五品上（《六典》卷14《太常》）。②元丰改制后从七品（《宋会要•职官》22之34《太社局》）。与宗正丞、秘书丞号称“三丞”，位于“七寺丞”（正八品）之上。,,一人（《通考•职官》9《太常卿》）。,,,①宋前期无职事，为文臣寄禄官。②元丰新制，其官阶易为奉议郎，丞为职事官，参领寺事（《通考•职官》9《太常卿》、《宋史•职官志》4《太常寺》）。,,①太常丞、丞事。《宋史•李若谷传》：“改秘书郎、进太常丞。”《合璧后集》33《太常寺丞》：“国朝皇祐中诏差礼官一员兼丞事。”②常丞。《齐东野语》卷7《洪君畴》：“常丞赵崇洁敏可。”《宋史•谢方叔传》：“太常寺丞赵崇洁。”③容台丞。《攻媿集》卷35《太常丞章颍军器少监》：“进丞容台，……俾贰戎监。”,宋代官制辞典第299页,太常丞始置于西汉（《汉书•百官表》上）。太常寺丞始于北齐（《隋书•百官志》中）。两宋沿置（《通考•职官》9《太常卿》）。建炎三年四月罢，绍兴三年六月复置。隆兴元年罢，二年复置（《要录》卷22、《宋史•职官志》4《太常寺》）。,,,,
,太常寺博士,,,,,,,①宋初因唐制，唐为从七品上（《六典》卷14《太常寺》）。②元丰改制后正八品（《分纪》卷18《太常》）。位在诸博士之上。,,①大中祥符间二员。②元丰改制后四员（《通考•职官》9《太常卿》）。,,,①宋前期无职事，为文臣迁转官阶。大中祥符间始有博士掌定谥等事。②元丰正名，其寄禄官阶易为承议郎，太常博士始掌讲定五礼（吉、宾、军、嘉、凶礼）仪式；如有改革，则据经审议。凡依法许得谥号文武官，考察其一生行迹，拟定谥文。有祠祭，监视仪物，并掌引导、助理事（《合壁后集》卷33《太常博士》、《宋会要•礼》1之11）。,,①太常博士。《栾城集》卷27《丁骘太常博士》。《长编》卷330己未：“诏秘书省正字，以太常寺博士、丞并中书省差。”②太博、大博。《东轩笔录》卷3：“文潞公彦博为太常博士，进谒，许公改容礼接，因语之曰：‘太博去此十年，当践某位。’”《林和靖诗集》卷1《知县李大博得替》。③博士。《宋史•胡宗愈传》：“御史当用学士及丞杂论荐，又须官博士、员外郎。”《长编》卷211癸卯：“本朝旧制，进补台官，皆诏中丞，知杂与翰林学士，于太常博士以上、中行员外郎以下互举曾任通判者。”④曲台博士。《合璧后集》卷33《太常博士》：“曲台博士《曲阜行吕希纯制》。”《宋史•吕希纯传》：“登第，为太常博士。”,宋代官制辞典第299页，宋代官制辞典第300页,西汉太常属官有博士，掌通古今，或定礼制，或以《五经》教子弟。太常博士始置于北齐。北宋初沿置，为文臣迁转官阶，大中祥符间置二员为职事官，元丰正名以后止为职事官（《汉书•百官表》上、《合璧后集》卷33《太常博士》、《隋书•百官志》中、《通考•职官》9《太常卿》）。,,,,
,太常寺主簿,,,,,,,元丰新制后为从八品（《宋会要•职官》22之34《太社局》）。,,一人（同前书卷）。,,,①宋前期用作文臣迁转官阶，偶为职事官。②元丰正名为职事官，掌稽考、点检本寺簿书，并掌出纳文书，与闻礼乐之事（《容斋四笔》卷11《寺监主簿》、《合璧后集》卷33《太常寺簿》）。,,①太常寺簿、簿。《合璧后集》卷33《太常寺簿》：“国朝皇祐中，宋祁乞增置一员，勾检在寺文书及掌出纳，遂除胡瑷。……建炎三年省簿。”《长编》卷170皇祐三年壬午朔：“以太子中舍致仕胡瑷为大理评事、兼太常寺主簿。”②太常簿、主簿。《齐东野语》卷17《景定行公田》：“太常簿陆逵。”《分纪》卷18《太常•主簿》：“国朝皇祐三年，宋祁言：乞增置主簿一员，勾检在寺文簿，及主掌出纳。遂除太子中舍致仕胡瑷大理评事、兼太常寺主簿。”③勾稽颂台。太常寺主簿雅称，多用于告词中。《攻媿集》卷39《太常寺主簿张贵谟司农寺丞》：“勾稽颂台，进丞农扈。”,宋代官制辞典第300页,主簿之名始于战国秦昭王时代（见《水经•江水注》）。太常主簿始置于西晋（《晋书•职官志》）。太常寺主簿始置于北齐（《隋书•百官志》中）。北宋皇祐三年二月一日，置有职事太常寺主簿（《长编》卷170），皇祐四年后即不复置（《宋史•胡瑷传》、《分纪》卷18《太常•主簿》）。元丰正名，九寺五监均置主簿。南宋沿置，仅建炎三年至绍兴十年间省太常寺主簿不置（《通考•职官》9《太常卿•主簿》）。,,,,
,太常寺协律郎,,,,,,,《元祐官品令》从八品（《分纪》卷18《太常•协律郎》）。,,一人（《宋史•职官志》4《太常寺》）。,,,凡有祠仪或典礼，协律郎掌登歌时节奏举麾（乐工指挥），及监乐工、歌词、乐器之节（《长编》卷462甲申、《宋会要•礼》6之31、《宋会要•乐》3之1）。,,协律郎。《长编》卷462甲申：“太常寺状：‘祀仪，协律郎诣天地宗庙逐次登歌节奏举麾。’”《宋史•职官志》4《太常寺》：“主簿、协律郎、奉礼郎、太祝各一人。”,宋代官制辞典第300页,西汉武帝时始置协律都尉（《御览》卷229《协律郎》）。北魏始置协律郎（《魏书•官氏志》）。太常寺协律郎始于北齐（《隋书•百官志》中）。北宋前期遇大朝会、宴享、皇帝亲郊祀，临时遣官摄协律郎事。元祐见置，隶太常寺（《分纪》卷18）。崇宁二年，隶大晟府（《宋史•职官志》8《元丰以后合班之制》）。南宋临时差摄（《宋会要•礼》6之18）。,,,,
