类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,学士院,,,,,,,,,①北宋前期，翰林学士定员六名，其中资格最深者一员充翰林学士承旨；待诏三人。太宗淳化二年以前，翰林学士为专职、不领它局，自翰林学士贾黄中、苏易简同管勾差遣院后，在院专掌制诰之学士必带“知制诰”衔（按：如本官阶带“中书舍人”，为免重复，则不带“知制诰”三字），以别于不掌内制之翰林学士（《群书考索•后集》卷7、《翰苑群书》卷12《翰苑遗事》）。②元丰改制后，翰林学士定员二人带“知制诰”；又有直学士院、权直学士院、翰林权直、学士院权直之名，以授他官人院而未除学士或暂领学士之职者；待诏三人、吏额有录事一人、孔目官六人、表奏官八人，给使有驱使官二十人（《宋会要•职官》6之51、53，《却扫编》卷下、《宋史•职官志》2《翰林学士院》、《潜研堂文集》卷28《跋中兴学士院题名》）。,,,学士院为皇帝秘书处，专掌大官任命书（制诰）的起草，以及国书、赦书、德音、大号令等撰述之事。规定，凡文官至太中大夫（从四品）、武官观察使（正五品）以上草制、诰，立皇太子、后妃，封亲王，拜相、枢密使、三公、三少、使相、节度使等草制，统由皇帝宣召学士院翰林学士典掌，且不须经中书门下（元丰改制后则不必经三省）。为便于皇帝随时宣召，翰林学士有轮直、宿直之职责，如太宗朝“每双日夜直”、真宗朝“常留一员在院当直”（《续翰林志》卷上、《宋会要•职官》6之48）。,,①学院。《宋会要•仪制》4之14：“嘉祐二年五月二十四日，诏殿学士、侍读、待讲学士，许于学院抽人。”《长编》卷186，嘉祐二年十二月辛亥：“诏学士院承内降处分，自今并以关白中书、枢密院施行。“②玉堂。宋太宗曾以飞白“玉堂之署”赐学士院，遂有此典故称。《吹剑续录》：“东坡在玉堂日。”《石林燕语》卷7：“玉堂为学士院之称。⋯⋯太宗时，苏易简为学士，上乃以红罗飞白‘玉堂之署’四字赐之。”③北门。宋代学士院后门北向，以“北门”为榜额，并存唐翰林院称“北门”之遗意，故有此称。《明道杂志》：“许将罢成都，入北门。晁二言：‘冲元非学士可留，非久当执政。’已而果除右辖。”《石林燕语》卷7：“唐翰林院在银台之北，乾封以后，刘祎之、元万顷之徒，时宣召草制其间，因名‘北门学士’。今学士院在枢密院之后，……而后门北向，因榜日‘北门’。……亦以存故事也。④北扉。《旧闻证误》卷4：“时日严以右史值北扉，实当此制。”《梦溪笔谈》卷1：“学士院北扉者，为其浴堂之南，便于应召。”⑤瀛洲。典故称。唐太宗李世民以房玄龄等十八人为学士，时人号称“登瀛洲，后世遂有以瀛洲（仙境）喻称学士院者”。《宋史•职官志》1《总叙》：“时人语曰：‘宁登瀛，不为卿。’”《翰林志》：“于秦王府开文学馆，擢房玄龄、杜如晦十八人，皆以本官兼学士，给五品珍膳，分为三番更直，宿于阁下，讨论坟典，时人谓之‘登瀛洲’。”《续翰林志》：“上（宋太宗）尝谓近臣曰：‘词臣实神仙职也。’”⑥翰苑。《铁围山丛谈》卷1：“鲁公为北门承旨，时翰苑偶独员，命召入内东门草哲庙遗制。”《长编》卷520己卯：“上崩于福宁殿。……徽宗乃即皇帝位，宰臣等称贺毕，召翰林学士承旨蔡京于内东门幕次，草遗制进入。”⑦銮坡。《四库全书总目》卷79《职官类•玉堂杂记》：“《玉堂杂记》，宋周必大撰。……凡銮坡制度沿革，及一时宣召、奏对之事，随笔记录，集为此编。“《石林燕语》卷5：“盖唐德宗时，尝移学士院于銮坡上，故亦銮坡。“⑧禁林。《栾城集》卷47《辞召试中书舍人第二状》：“内、外两制，素号要途，况轼顷已擢在禁林，臣今安敢复居两掖？”《宋史•苏轼传》：“（哲宗元祐元年）除翰林学士。”《苏颍滨年表》：“（哲宗元祐元年）十一月内子，辙召试中书舍人。”⑨词垣。《内简尺牍》卷2《翰林莫公内外制》：“入翰林为学士。……徽宗对辅臣称善，有‘词垣得人’之语。”⑩粉署。《东轩笔录》卷11：“宋景文公祁守郑州，……作诗曰：‘……粉署重来忆旧游，蟠桃开尽海山秋。’按：宋祁前后两次入学士院，故有“粉署重游”之记。①鳌峰。《东轩笔录》卷11：“（宋）祁以翰林学士承旨召。……作诗曰：‘……宁知不是神仙骨，上到鳌峰更上头。’”⑪金坡。《玉堂杂记》卷上：“钱文僖公惟演《金坡遗事》云：‘旧规学士六人。’”⑫翰林。学士院冒称。《五朝名臣言行录》卷5：“（李迪）在翰林时，……传诏对内东门。《宋史•李迪传》：“徙陕西都转运使，入为翰林学士。”《石林燕语》卷7：“（唐）自张垍为学士，始别建学士院翰林院之南，则与翰林院分而为二，然犹冒‘翰林’之名。盖唐有弘文馆学士、丽正殿学士，故此特以‘翰林’别之。其后，遂以名官，讫不可改。然院名至今但云‘学士’，而不冠以‘翰林’，则亦自唐以来，沿袭之旧也。”⑭翰林学士院，学士院典故称，因唐时翰林院置学士，有翰林学士，以文学言语被顾问得名（《宋史•职官志》2《翰林学士院》）。《玉悔》卷167《宋朝学士院》：“翰林学士院印景德二年，少府览铸。《新唐书•百官志》1《学士之职》：“本以文学言语被顾问，出入侍从，因得参谋议、纳谏诤，其体尤宠；而翰林院者，待诏之所也。”,宋代官制辞典第46页，宋代官制辞典第47页,学士院之名，始于唐玄宗开元二十六年（738）。“故事，驾在大内，则于明福门内置院；驾在兴庆宫，则于金明门内置院；今在右银台门之北第一门东向，榜曰‘翰林之门’，其制高大重复，号为‘朝门’；入门直西为学士院，即开元二十六年之所置也（《翰林志》）。宋代沿置，学士院为正式官司名。宋代又有翰林院，为供奉之司，与学士院非同一机构。至于《宋史》称“学士院”为“翰林学士院”，系属典故称，用唐故事也。（《宋会要•职官》36之95、《石林燕语》卷7、《宋史•职官志》2）。,,,,
,翰林学士承旨,,,,,,,元丰改制后为正三品（《分纪》卷15、《庆元条法》卷4）。位在诸翰林学士之上（《宋史•职官志》8《建隆以后合班之制》）。,,不常置。以翰林学士人院最久者为之，一人而已（《宋会要•职官》6之46）。,,,掌内制、备皇帝咨询顾问。凡大诏命、大除拜，如制、诰、赦书、国书；以及戒励百官、晓谕军民用敕榜，遣使劳问臣下之口宣，宫禁所用文词，皆当撰述之任（《宋会要•职官》6之50、51）。,,①学士承旨、承旨。《长编》卷209丁巳：“（王珪）拜翰林侍读学士，入翰林为学士。……又兼端明殿学士，进承旨。”《宋史•王珪传》：“神宗即位，……翰林学士承旨王珪等言。”《塵史》卷上《礼仪》：“神宗即位，（王珪）迁学士承旨。”②翰长。《琬琰集》卷8《王太师珪神道碑》：“嘉祐二年，余与端明韩子华、翰长王禹玉、侍读范景仁、龙图梅公仪知礼部贡举。”按：“翰长王禹玉”即指翰林学士承旨王珪。③学士院长。《嬾真子录》卷1：“沈传师，（唐）穆宗时召入翰林学士，改中书舍人。翰林阙承旨，次当传师。穆宗欲面命，辞曰：‘学士院长参天子密议，次为宰相，臣自知必不能。’因称疾出。”,宋代官制辞典第47页,唐永贞元年（805），宪宗李纯即位，命郑絪为翰林学士承旨，是为设学士承旨之始。翰林学士承旨在唐，位居诸学士之上、居东第一阁（《元稹集》卷51《翰林承旨学士记》）。宋沿置。,,,,
,翰林学士,,,,,,,正三品（《宋史•职官志》8《官品》、《分纪》卷15）。,,宋前期六员、元丰新制二员。然历朝未必拘守，或缺员，或超编置“员外学士”（《宋会要•职官》6之50）。,,,①带“知制诰”三字，在学士院内供视草之职，掌撰内制（北宋前期，掌内制之翰林学士如本官阶升至“中书舍人”，则不带“知制诰”）。②北宋前期，或以翰林学士兼领他官，则与职名同，无实际职事，不带“知制诰”（《却扫编》卷下、《群书考索•后集》卷4、《翰苑群书》卷12《翰苑遗事》、《宋会要•职官》6之53）。,,①翰林。《容斋三笔》卷12《侍从两制》：“翰林本以六员为额。”《宋会要•职官》6之45：“《两朝国史志》：“学士院……学士六员。”②学士。全称应为学士院翰林学士。《玉堂杂记》卷3：“某久在翰苑，独员日常多。⋯⋯戊戌九月丁丑，御药院传旨问：‘近例，院官有无三员者？’吏具：‘上初政，承旨洪遵、学士史浩、直院刘珙。’”③内翰。《宋史•王旦传》：“翰林学士陈彭年呈政府《科场条目》，（王）旦投之地曰：‘内翰得官几日？乃欲隔截天下进士耶？！’”又见《居士集》卷18《答李淑内翰书》。④内相。《清波杂志》卷1：“乾道间，王日严内相申请谓：‘环一堂而坐，色皆素浅，极可憎，乞存紫衫。’”《铁围山丛谈》卷6：“（王）安中在翰苑，时人谓之‘王内相’。”⑤内制。太宗朝以前，翰林学士专职制命，不领它局职事，别称“内制”；至淳化二年，贾黄中、苏易简以翰林学士兼领它局，遂有在院学士专掌制诰与不在院学士不掌制诰之别，唯前者仍别称“内制”。《朝野类要》卷2。《宋东京考》卷8《翰林院》引《玉堂漫笔》：“宋制，以翰林学士带知制诰，谓之内制；以他职带知制诰，谓之外制。”⑥凤。《宋东京考》卷7《翰林院》引《庐陵集注》：“太宗时，贾黄中、宋白、李至、吕蒙正、苏易简，同时拜学士、承旨。扈蒙赠诗曰：‘五凤齐飞入翰林。'⑦坡。《石林燕语》卷5：“俗称翰林学士为坡。”⑧翰墨。《水心别集》卷3《官法》：“故谏官、御史无人焉，翰墨、制诰或无人焉，大哉至于丞相之位或无人焉。”⑨词臣。《周文忠公全集》卷140《奏议》卷7《翰林学士选德殿对札子三首•自叙》：“自唐至本朝优待词臣，异乎他官，非专取其翰墨之工也，谓其居近侍之职，无簿书之冗。”《翰林续志》：“太宗曰：‘词臣，实神仙之职也。’玉堂东西壁，延袤数丈，悉画水以布之，风涛浩渺，拟瀛洲之象也。”⑩天子私人。《石林燕语》卷9：“学士，天子私人也。”,宋代官制辞典第47页，宋代官制辞典第48页,唐朝开元年间，置学士院学士，或称翰林学士。至唐肃宗朝，翰林院亦置学士，称翰林学士（《旧唐书•陆贽传》）。宋沿置。,,,,
,翰林学士•知制诰,,,,,,,与“翰林学士”同。,,与“翰林学士”同。,,,在学士院供撰述内制之职（《却扫编》卷下、参“学士院•职掌”条）。,,与“翰林学士”同。,宋代官制辞典第48页,翰林学士带知制诰衔，始于唐，以别于不草拟文书之翰林学士（《新唐书•百官志》1）。宋沿置，正式系于官衔之内。如“可特授依前朝请大夫、充翰林学士、知制诰、兼太子詹事、兼侍读（周必大）”、“翰林学士承旨、左朝散大夫、知制诰、兼侍读臣洪遵等”（《周文忠公全集》卷首《周必大年谱》、卷134《奏议•同翰苑给舍议事状》）。但，在院掌内制的翰林学士，如本官阶为“中书舍人”，则不带“知制诰”三字；元丰改制后，中书舍人均为掌外制的职事官，不复充当本官阶，翰林学士不可能同时又带“中书舍人”官，于是，专典内制的翰林学士，一律带“知制诰”（《翰苑群书》卷12《翰苑遗事》、《宋会要•职官》6之53）。,,,,
,直学士院,,,,,,,直学士院系兼官，其官品依原差遣官所带本官阶或原职事官，如开宝二年，李昉为中书舍人，直学士院，其官品则依中书舍人（正五品上）（《长编》卷10戊辰、《宋史•职官志》2《翰林学士院》）。,,,,,与“翰林学士、知制诰”同（《麈史》卷上），但不带“知制诰”三字（《却扫编》卷上）。,,直院。《宋史•尤袤传》：“进〔尤〕袤权礼部侍郎兼同修国史、侍讲，又兼直学士院，力辞。上听免直院。”,宋代官制辞典第48页,北宋太祖开宝二年（969）十一月二十七日始置（《长编》卷10戊辰）。,,,,
,权直学士院,,,,,,,权直学士院系临时顶阙官，院中俱阙学士，即以他官暂行院中文书，故官品须视他官所带本官阶或官品而定。如仁宗乾兴元年，“命户部郎中、知制诰宋绶权直学士院；时承旨李维、学士晏殊、李谘并充使永定陵故也。不数日，刘筠入院充学士，绶遂罢。”（《宋会要•职官》6之49）据此，宋绶权直学士院时所带本官阶为户部郎中，其官品为从五品上。,,,,,与“翰林学士、知制诰”同，但不带“知制诰”之名（《塵史》卷上《礼仪》、《却扫编》卷上）。,,权直翰林院。此属冒称。宋代学士院与翰林院系不同性质机构，然宋人或沿唐、五代之旧习，或称学士院为翰林院，以至于冒称权直学士院为权直翰林院。《宋会要•职官》6之46：“（开宝）六年四月，以知制诰张淡权直翰林院，时学士李昉责授太常少卿，止卢多逊在院、又使江南，使还如旧。”《宋史•张淡传》：“（开宝）六年，会李昉责授，卢多逊使江南，内署阙学士，太祖令〔张〕淡权直学士院。”,宋代官制辞典第48页,北宋太祖开宝六年（973）四月十九日初置（《朝野杂记》甲集卷10《直学士院、权直学士院》），或称“祗应翰林院事”（《长编》卷14壬寅）。,,,,
,翰林权直,,,,,,,翰林权直系它官兼，其本身无品。如崔敦诗以秘书省正字（从八品）兼翰林权直（《宋会要•职官志》2《翰林学士院》）。,,,,,暂行学士院文书。“学士俱阙，他官暂行文书，谓之‘权直’。”（《合璧后集》卷22《直学士院》）,,权直。《周文忠公全集》卷152《学士添员御笔》：“学士院更添一员，具姓名来。回奏：葛邲文字稔审，曾兼权直，……可备翰林权直之选。”,宋代官制辞典第48页，宋代官制辞典第49页,南宋孝宗乾道九年（1173）十二月二十四日始置（《宋会要•职官》6之56、《朝野杂记》甲集卷10《直学士院》）。,,,,
,学士院权直,,,,,,,,,,,,,,权直。《玉堂杂记》卷3：“淳熙六年明堂大礼，崔大雅（敦诗）已迁著作郎，权直如故。”《朝野杂记》甲集卷10《翰林权直、学士院权直》：“乾道九年十二月，孝宗初命大雅以秘书省正字兼翰林权直。逾年以忧去。淳熙五年九月，复召为枢密院编修官，始议以‘翰林’乃书艺应奉者所居，非专指词臣也，遂改兼‘学士院权直’。”,宋代官制辞典第49页,,,,,
,员外学士,,,,,,,,,,,,,,,宋代官制辞典第49页,,,,,
,双宣学士,,,,,,,,,,,,,,双学士、双宣。《宋史•职官志》2《翰林学士院》：“大礼锁院，麻三道以上，系双学士宿直分撰。”《鸿庆居士集》卷30《翰林莫公内外制》：“翰林故事，以学士二员分直。朝廷有大除拜，过二道以上，则并召二员者，谓之‘双宣’。”《通考•职官》8《学士院》：“靖康元年，吴幵等奏：‘大礼锁院，麻三道以上，系双宣学士宿直分撰。乞依故事。’从之。”,宋代官制辞典第49页,,,,,
