类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,将作监,,,,,,,,,①判将作监事一人（《通考•职官》11《将作监》）。②元丰新制，置监、少监各一人，丞、主簿各二人（《宋史•职官志》5）。③南宋建炎三年四月罢编，绍兴三年十月复置丞一员，十年复置主簿一员，十一年复置长贰各一员（《要录》卷22庚申、卷69庚戌、卷140庚寅，《宋史•职官志》5）。新制分案五，置吏二十七人。所隶官属十：修内司，东、西八作司，竹木务，事材场，麦场，窑务，丹粉所，作坊物料库第三界，退材场，帘箔场。,,,①宋前期，工匠之政，归隶三司修造案。本监止掌祀祭供省牲牌、镇衣、香、盥手用具、焚版币等杂事（《宋史•职官志》5《将作监》）。②神宗熙宁四年十一月一日，将作监始正名，始专领在京修造事（《长编》卷228壬午）。③元丰行新制，罢三司，举凡土木工匠板筑造作之政令、城璧宫室桥梁街道舟车营造之事，总归本监掌管（《宋史•职官志》5《将作监》、《分纪》卷22《将作监》）。④南宋中后期，营造事由临安府与京畿转运司分管，职事较少。本监为储备人才之地（《咸淳临安志》卷8《将作监》）。,,①将作。《邵氏闻见后录》卷25《赵韩王园》：“赵韩王宅园，开国初，诏将作管治，其经画制作，殆侔禁省。“《长编》卷228壬午：“以将作监专领在京修造事。”②缮监，拟唐官司称。《攻媿集》卷37《效虎将作监丞》：“汝贤，再转为丞，尚居缮监，职务清简，可以卒汗青之业。”《新唐书•百官志》3《将作监》：“龙朔二年，改将作监曰缮监。”③雉监。《后村大全集》卷60《谢堂将作丞徐谓礼将作簿》：“朕于营缮之事，未数数然也，故雉监视它曹其职尤简。”,宋代官制辞典第405页，宋代官制辞典第406页,秦汉有将作少府。汉景帝中六年改名将作大匠（《汉书•百官表》上）。将作监之名始于隋开皇二十年（《六典》卷22《将作监》）。北宋沿置，然初期实不举职，熙宁四年十一月二日以嘉庆院为将作监，始振职。南宋建炎三年四月十三日罢。绍兴三年十月二十九日复置（《十朝纲要》卷22）。,,,,
,判将作监事,,,,,,,,,,,,,,,宋代官制辞典第406页,,,,,
,同判将作监事,,,,,,,,,,,,,,同判、同判监。全称应为同判将作监事。《合璧后集》卷38《将作少监•历代沿革》：“国朝熙宁四年将作监置同判，元丰中为少监。”《长编》卷228熙宁四年十一月壬午朔：“诏以将作监专领在京修造事，选置判监一员、同判监一员。”,宋代官制辞典第406页,,,,,
,将作监监,,,,,,,①宋初依唐制，唐为从三品（《新唐书•百官志》3）。②元丰新制后为从四品（《分纪》卷22《将作监监》）。班位在国子监、司业、少府监监之下，军器监、都水监使者之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制一人，南宋屡阙，绍兴十一年复置一人（《宋史•职官志》5《将作监》、《要录》卷140庚寅）。,,,①宋前期无职事，为文臣迁转官阶（《宋史•职官志》8《建隆以后合班之制》，《宋宰辅》卷1建隆元年甲申）。②元丰新制正名，为本监长官，总领监事（《通考•职官》11《将作监》）。,,①将作监。全称应为将作监监，习称将作监。《挥塵后录》卷8：“政和中，将作监贾谠明仲奉诏为童贯治赐第于都城。”《新唐书•百官志》3《将作监》：“将作监监一员，从三品。”《宋史•职官志》5《将作监》：“元丰官制行，始正职掌。置监、少监各一人。”②将作。《咸淳临安志》卷8《将作监》：“将作，古官也。……（南渡以来）监、少屡虚。”③大匠。拟汉唐官称。《攻媿集》卷35《干办审计司刘三杰将作监主簿》：“处三杰于大匠。”《汉书•百官表》上：“将作少府……景帝中六年更名将作大匠。”《新唐书•百官表》3《将作监》：“天宝十一载，改大匠曰大监、少匠曰少监。”④匠监。《齐东野语》卷1《孝宗圣政》：“李处全尝论匠监韩玉。……上就书批云：‘韩玉曾任卿监，理当靖共。’”,宋代官制辞典第406页,隋大业五年，将作监大匠改大监（《隋书•百官志》下）。唐开元十五年始称监（《玉海》卷124《唐将作监》）。北宋沿置。南宋建炎三年四月十三日罢置（《要录》卷22庚申）。绍兴十一年四月二十二日复置（《要录》卷140庚寅）。,,,,
,将作监少监,,,,,,,①宋初沿唐制，唐为从四品下（《新唐书•百官志》3）。②元丰新制后定从六品（《分纪》卷22《将作监》）。其班位在尚书诸司员外郎、少府监少监之下，将作监、军器监少监之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制一人。南宋屡阙。绍兴十一年四月复置一人（《通考•职官》11、《要录》卷140庚寅）。,,,①宋前期无职事，为文臣迁转官阶（《宋宰辅》卷1建隆元年甲中）。②元丰新制正名，为本监副贰，佐大监领本监公事（《通考•职官》11《将作监》）。,,①将作少监。《长编》卷31四月：“虞部郎中索湘为将作少监。”《宋史•职官志》5《将作监》：“元丰官制行，始正职掌。置监、少监各一人。”②少匠。拟隋唐官称。《攻媿集》卷38《将作少监黄由将作监》：“自少匠而为长，盖亦宠矣！”《隋书•百官志》下：“将作监改大监、少监为大匠、少匠。”③贰缮工。唐龙朔二年改将作监为缮工监（缮监），宋人或以缮工少匠拟称将作少监，雅称“贰缮工”。《合壁后集》卷38《将作少监》：“来贰缮工。”《旧唐书•职官志》3《将作监》：“龙朔改为缮工监。”,宋代官制辞典第406页,隋大业五年始置（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢。绍兴十一年四月二十二日复置（《要录》卷22庚申、卷140庚寅）。,,,,
,将作监丞,,,,,,,①宋初依唐制，唐为从六品下（《六典》卷23《将作监》）。②元丰新制后为从八品（《职源撮要•官品》）。其班位在太史局正、少府监丞之下，军器监、都水监丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,①熙宁四年十月置知将作监丞公事两员（或主簿两员）（《长编》卷228壬午、《合璧后集》卷38《将作监丞》）。②元丰新制一人、绍兴三年十月复置丞一员（《要录》卷69庚戌）。,,,①宋前期为文臣寄禄官阶，状元初授此阶，元丰寄禄格易为宣义郎（《邵氏闻见后录》卷1）。②熙宁四年十一月一日，设知将作监丞事，参领在京修造事（《长编》卷228壬午）。③元丰五年行新制，罢去寄禄官阶职能，止为职事官，参领监事（《通考•职官》11）。,,①将作丞。《齐东野语》卷17《景定行公田》：“将作丞廖邦杰往常、润，任督催之职。”《长编》卷21甲寅：“进士第一等将作监丞、通判藩郡。”②匠监丞。《咸淳临安志》卷11《太学•学官经》：“元丰初，令上舍生上等中选者，取旨推恩不与他等，或以阶官祗受匠监丞。”参“将作监•匠监”条。,宋代官制辞典第406页，宋代官制辞典第407页,西汉将作少府有丞（《汉书•百官表》上）。将作监丞始置于隋大业三年（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢。绍兴三年十月八日复置（《要录》卷22庚申、卷69庚戌）。,,,,
,将作监主簿,,,,,,,①宋初因唐制，唐为从七品下（《六典》卷23《将作监》）。②元丰新制后为从八品（《分纪》卷22）。,,,,,①宋初无职事，为文臣寄禄官阶，元丰寄禄格，易为承务郎（《邵氏闻见后录》卷1）。②熙宁四年十月始复将作监职事，设知将作监主簿公事。掌本监簿书事（《长编》卷228壬午、《合璧后集》卷30《将作监主簿》）。③元丰五年正名，止为职事官，罢寄禄官职能（《通考•职官》11《将作监》）。,,①将作监簿、将作簿。《曾巩集》卷46《光禄少卿晁公墓志铭》：“补将作监簿，十四迁至光禄少卿。”林希逸《后村先生刘公行状》：“端平改西山帅闽，以机幕辟除将作簿兼帅司参议之官。”《长编》卷60丁丑：“进士、诸科同出身试将作监主簿。“②匠簿。《齐东野语》卷1《孝宗圣政》：“李处全尝论匠监韩玉……而玉留北阙，作书投匦，诉匠簿张权谮己。”《合璧后集》卷38《将作监主簿•事类》：“匠簿是升（《胡文恭行祁咸亨制》）。”③匠员。将作监属员之意。《合璧后集》卷38《将作监主簿•事类》：“匠员试秩匠员。（《胡文恭行将作监簿制》）。”,宋代官制辞典第407页,西晋将作大匠下置主簿《晋书•职官志》）。将作监主簿始置于隋大业三年（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢，绍兴十年复置主簿（《要录》卷22庚申、《宋史•职官志》5《将作监》）。,,,,
,修内司,,,,,,,,,勾当官三人，由内侍省、入内省内侍差充。后或以三班使臣充。雄武兵级一千人，充军匠。南宋时勾当官改干办官，编制二人。又，修内司视所修造事轻重利害，或置都大提举内中修造、提举内中修造、提举在内修造、提举修内司、提辖修内司等差遣（《宋会要•职官》30之1、2、3、4）。,,,掌皇城内宫殿垣宇及太庙修缮之事。南宋时并兼制造御前军器（《通考•职官》11《将作监》、《宋会要•职官》30之4）。,,内司。《齐东野语》卷7《洪君畴》：“复疏都知卢允升、门司董宋臣及内司诸吏，怙势作威。”《宋史•洪天赐传》：“又言修内司之为民害者，⋯⋯愿毋使史臣书之曰‘内司之横自今始’。”,宋代官制辞典第407页,北宋真宗大中祥符五年七月始见有修内司之名（《长编》卷77甲辰）。南宋沿置（《咸淳临安志》卷10《提举修内司》）。,,,,
,提举内中修造所,,,,,,,,,,,,,,,宋代官制辞典第407页,,,,,
,提举在内修造所,,,,,,,,,,,,,,,宋代官制辞典第407页,,,,,
