类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,少府监,,,,,,,,,宋前期，设判监事官。元丰改制，官属有监、少监、丞、主簿各一人。分案四，吏八人。所隶官属五：文思院、绫锦院、染院、裁造院、文绣院等（《宋史•职官志》5《少府监》）。,,,①宋前期，其职事分隶于文思院、后苑造作所。本监止掌制造门戟、神衣、节、郊庙诸坛祭玉、法物，铸造官府牌印、朱记，百官拜表、案褥之事；及祭祀供祭器、爵、瓒、蜡烛等（《通考•职官》11、《宋史•职官志》5《少府监》）。②元丰新制，掌百工技巧的政令、乘舆服御之物；祭祀、朝会礼乐器服与册宝、符节、度量衡，则按法式与制度制造（《玉海》卷124《建隆少府监》、《宋史•职官志》5《少府监》）。,,少府。《咸淳临安志》卷8《将作监》：“《主簿孙祖寿题名记》：适少府未复，故与军器两监分领其所隶。”《要录》卷22庚申：“绍兴三年十一月（应为十月）庚戌，复将作、军器二监，唯少府监不复。”,宋代官制辞典第397页，宋代官制辞典第398页,少府之名，始于秦、汉（《汉书•百官表》上）。少府监始置于隋大业三年（607）（《隋书•百官志》下）。北宋沿设。南宋建炎三年四月十三日罢，并归工部。绍兴三年复将作监，少府监不复，其事总于将作监（《要录》卷22庚申、《通考•职官》11《少府监》）。,,,,
,判少府监事,,,,,,,,,,,,,,,宋代官制辞典第398页,,,,,
,少府监监,,,,,,,①宋初沿唐制，唐为从三品（《六典》卷22《少府监》）。②从四品（《职源•官品》）。其班位在国子监、司业之下，将作、军器监及都水监使者之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制一人。南宋建炎三年四月十三日罢置。,,,①宋前期无职事，为文臣迁转官阶，元丰寄禄格，易为中散大夫阶（《邵氏闻见后录》卷1）。②元丰新制正名，为本监长官，总掌百工技巧政令等公事（《宋史•职官志》5《少府监》）。,,少府监。全称应为少府监监，以区别于作为官署之少府监。但宋人多习称少府监（《曾巩集》卷25《少府监制》）。,宋代官制辞典第398页,少府监监始置于隋大业三年（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。,,,,
,少府监少监,,,,,,,元丰新制正名后为从六品（《分纪》卷22《少府监》）。其班位在尚书省六部诸司员外郎之下、监察御史之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰正名后除人，编制一人（《通考•职官》11《少府监》）。,,,①宋前期无职事，为阶官（《长编》卷20戊申）。②元丰新制，佐监领百工技巧之政令（《宋史•职官志》5《少府监》）。,,少府少监。《长编》卷20戊申：“将作监段思恭责授少府少监。思恭前知秦州⋯⋯为通判王延范所发。”《长编》卷337庚申：“少府监少监、丞、主簿三员。”,宋代官制辞典第398页,少府监少监始置于隋炀帝大业三年。北宋沿置。南宋建炎三年四月十三日罢（《隋书•百官志》下、《要录》卷22庚申）。,,,,
,少府监丞,,,,,,,元丰新制后从八品（《职源•官品》）。班位在国子监丞、太史局正之下，将作、军器、都水监丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人（《通考•职官》11）。,,,①宋前期无职事，或用作文臣迁转官阶（《宋史•职官志》8《文臣京官至三师叙迁之制》）。②元丰新制正名，为职事官，参领本监事（《通考•职官》11）。,,少府丞。《长编》卷370末：“文永世为少府丞。”同前书卷417壬子：“包绶为少府监丞。”,宋代官制辞典第398页,秦汉已置少府丞（《汉书•百官表》上）。少府监丞始置于隋大业三年（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。,,,,
,少府监主簿,,,,,,,①宋初依唐制，唐为从七品下（《旧唐书•职官志》3）。②元丰新制后从八品（《分纪》卷22《少府监》）。五监主簿班位在光禄寺太官令下、宣义郎之上；五监主簿之中，少府监主簿次于国子监主簿（《宋史•职官志》8《元丰以后合班之制》）。,,,,,①宋前期无职事，或用作文臣迁转官阶（《宋史•冯文智传》）。②元丰新制正名为职事官，专以勾考本监簿书为职，它事不得预。或有签书公事者，则在禁令之列（《愧郯录》卷6《寺监簿职守》）。,,主簿。《愧郯录》卷6《寺监簿职守》：“今取问寺监有令主簿签书公事处：……少府监少监、丞、主簿三员，……主簿可并降一官。”《宋史•冯文智传》：“端拱初，授少府监主簿。”,宋代官制辞典第398页，宋代官制辞典第399页,西晋少府卿下设主簿（《晋书•职官志》）。少府监主簿始设于隋炀帝大业三年（《隋书•百官志》下）。北宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。,,,,
,文思院,,,,,,,,,分文思院上界、文思院下界，共领四十二作，工匠二指挥。南宋时置提辖官一人。监官四人，监门官二人。吏额：两界各置手分、库经司、花料司、门司、专知官、副知、秤子、库子等。所隶官属有铸印司（《宋会要•职官》29之1、6）。,,,掌制作金银犀革象牙玉器等工艺之物，金采、绘素装钿之饰，以供帝后私生活所需，及舆辇、册宝、法物、器服等。熙宁四年十二月后，并掌管斗秤制造（《宋会要•职官》29之1、《长编》卷228辛酉）。,,文思。《长编》卷69戊戌：“封禅用玉册凡七。文思玉工言用玉追琢难成。“《邻几杂志》：“文思院亦不知从何得此名。或云《量铭》‘时文思索’，或说殿名，聚工巧于其侧，因名‘文思院’。”,宋代官制辞典第399页,文思院之名始于唐（《玉海》卷168《太平兴国文思院》）。攻作之所称“文思院”，因《量铭》“时文思索”一语而得名（《邻几杂志》、《青箱杂记》卷8）。北宋太平兴国三年置文思院（《长编》卷19）。南宋沿置，绍兴三年，少府监并入文思院。隆兴二年六月，礼物局并入（《合璧后集》卷49《院辖门•文思院》）。,,,,
,监文思院上界,,,,,,,,,,,,,,,宋代官制辞典第399页,,,,,
,监文思院下界,,,,,,,,,,,,,,,宋代官制辞典第399页,,,,,
,文思院两界监官,,,,,,,,,,,,,,①文思监官。《宋史•职官志》5《少府监》：“（元丰元年）诏：‘文思监官除内侍外，令工部、少府监同议选差。’”《元丰官制》（不分卷）：“熙宁三年，诏文思院两界监官，立定文臣一员、武臣一员。”②监官。《玉海》卷168《太平兴国文思院》：“熙宁三年定制，监官文、武各一人，罢内侍。”《长编》卷495辛酉：“文思院等处工作合雇人，入役者，具人数单于监门官点名放人，委监官检察功程及造到名件，仍各置历，即日抄上、结押，每旬申少府监点检。”,宋代官制辞典第399页,,,,,
,提辖文思院上下界,,,,,,,官品视所带寄禄官。提辖文思院为南宋四辖官之一，为储才之地。任满外补为知州或杂监司，内补则为寺监丞、或为秘书省官。光宗绍熙以后，位遇下降，或为六院官、或为添差通判之类（《宋史•职官志》1《榷货务都茶场》）。,,,,,通管文思院上，下界财货出纳之事（同上书29之1、6）。,,①提辖文思院、文思。全称应为提辖文思院上、下界。《宋史•职官志》1《尚书省•榷货务都茶场》：“淳熙间，熊克自文思除校书郎。”《宋史•文苑》7《熊克传》：“入为提辖文思院。……乃以为校书郎。”《宋会要•职官》29之3：“提辖文思院上、下界郑绩。”②提辖官、提辖、辖官。《宋会要•职官》29之1：“提辖官一员，通管上、下界职事。”《朝野杂记》乙集卷13《四辖》：“文思院……分上、下两界，而辖官兼总之。”《宋会要•职官》29之6：“今本院上、下界印并为一面，以‘文思院印’为文，提辖掌之。”③辖长、提辖院官。《宋会要•职官》29之6：“以文思一院言之，凡所制造出入，监官自专，而辖长若无闻焉。……甚非祖宗创立提辖官之意。……提辖文思院林复言。”,宋代官制辞典第399页,南宋绍兴六年正月始置提辖文思院官（《朝野杂记》乙集卷13《四辖》、《宋会要•职官》29之3《文思院》）。,,,,
,拘押官,,,,,,,,,,,,,,,宋代官制辞典第399页，宋代官制辞典第400页,,,,,
,监门官,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,文思院上界修造案,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,文思院下界修造案,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,库经司,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,花料司,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,门司,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,秤子,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,库子,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,手分,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
,贴司,,,,,,,,,,,,,,,宋代官制辞典第400页,,,,,
