类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,殿中省,,,,,,,,,①宋前期，殿中监视秘书监，为文臣寄禄官阶；六尚局仅存空名，止设判省事一人。吏人有书令史三人，都知二人，剩员二人（同前书卷19之2、3）。②崇宁后，官额有：殿中省监、少监、丞各一人，主簿一人。吏额有：令史二人，书令史六人，贴书十二人。其下设六尚局：尚食局、尚药局、尚酝局、尚衣局、尚舍局、尚辇局，各置官吏有差。又置提举六尚局一员（《宋会要•职官》19之4、7）。所属有御药院、内衣物库、新衣库、朝服法物库（同前书19之2）。,,,①宋前期，殿中省仅掌元旦、冬至天子御殿，郊祀、禘袷与后庙神主赴太庙行祔庙礼时，准备伞、扇等仪仗队所用法物（《宋史•职官志》4《殿中省》、《宋会要•职官》19之2）。②元丰新制，正其名，禁中无建省之所，实未建省（《长编》卷328癸卯）。③崇宁二年二月建殿中省后，总领六尚局，掌供奉天子衣、食、住、行、医药等政令（《宋会要•职官》19之1《殿中省》）。,,①殿省。《林和靖诗集》卷1《送史殿省典封川》。《宋会要•职官》19之1《殿中省》：“殿中省高伸上《编定六尚供奉式》。”②北司。《十朝纲要》卷16：“崇宁二年二月辛酉，立殿中监六尚局。北司之盛，自此始。”③殿中监。拟古官司称。隋时或称“殿内监”。《宋史•徽宗纪》1：“崇宁二年二月辛酉，置殿中监。”《玉海》卷121《唐殿中省》：“（宋朝）崇宁三（二）年二月辛酉，建殿中省。”《隋书•百官志》下：“取殿内监名，以为殿中省。”《宋会要•职官》19之7、8：“殿中监言：‘本监今来行移文字，乞依秘书省例，以殿中省为名。’从之。”,宋代官制辞典第287页,隋大业三年（607）改殿内监名为殿内省；唐武德元年（618），改殿内省为殿中省，是为之始（《隋书•百官志》下、《新唐书•百官志》2《殿中省》）。北宋前期名存实废，至崇宁二年（1103）二月十二日重建殿中省，始振举其职事；靖康元年（1126）正月四日罢（《十朝纲要》卷16，《宋会要•职官》21之6、7，《玉海》卷121《唐殿中省》）。,,,,
,判殿中省事,,,,,,,,,,,,,,判省事。《玉海》卷121《唐殿中省》：“宋朝以朝官一员判省事。”《宋会要•职官》19之1：“旧殿中省判省事一人。”,宋代官制辞典第287页,,,,,
,殿中省监,,,,,,,①宋前期，因唐制，唐时官品从三品（《新唐书•百官志》2）。②宋《元祐官品令》正四品（《分纪》卷24《殿中省》）。其位次，宋前期位于秘书监之下，崇宁二年后升在秘书监之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人（《宋会要•职官》19之4）。,,,①宋前期视秘书省监为文臣寄禄官阶。无职事（《宋史•职官志》4《殿中省》）。②崇宁二年建省后，掌皇帝衣、食、住、行等生活起居及医药侍奉之政令，总治一省之事（《宋会要•职官》19之4）。,,殿中监。《宋史•职官志》8《元丰以后合班之制》：“殿中监旧在秘书监下，崇宁二年升。”《宋会要•职官》19之8：“殿中省监治一省之事。”,宋代官制辞典第287页,魏始置殿中监（《三国志•魏书•卫臻传》）。唐武德元年改隋殿内省监为殿中省监（《新唐书•百官志》2）。北宋沿置，靖康元年罢（《靖康要录》卷10）。,,,,
,殿中省少监,,,,,,,①宋前期官品因唐制，唐时从四品上（《新唐书•百官志》2）。②宋《元祐官品令》从五品（《分纪》卷24）。其序位，宋前期在秘书省少监之下，崇宁二年升在秘书少监之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人（《宋会要•职官》19之4）。,,,①宋前期无职掌，但存其官名（《宋史•职官志》8《元丰以后合班之制》）。②崇宁二年二月十二日，建殿中省，定殿中省少监为殿中省佐贰官（《宋会要•职官》19之9）。,,殿中少监。《麈史》（上海古籍出版社1986年点校本）卷上《官制》：“自官制以来，……殿中监、少监、丞并未尝命。”《宋会要•职官》19之8：“殿中省监治一省之事。……少监为之贰。”,宋代官制辞典第287页，宋代官制辞典第288页,隋大业三年（607）始置殿内少监（《隋书•百官志》下），唐武德元年（618）改殿中省少监（《新唐书•百官志》2）。宋沿置，罕以除人（《塵史》卷上《官制》）。靖康元年随省罢而罢（《玉海》卷121《唐殿中省》）。,,,,
,殿中省丞,,,,,,,①宋前期沿唐五代之旧，唐官品为从五品上（《新唐书•百官志》2）。②宋《元祐官品令》为从七品（《分纪》卷24）。其序位，宋前期在秘书省丞之下，崇宁二年二月升在秘书丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人（《宋会要•职官》19之4）。,,,①宋前期为文臣寄禄官阶，无职事（《宋史•职官志》九《文臣京官至三师叙迁之制》）。②元丰五年五月行新官制，寄禄官殿中丞易为奉议郎（《宋史•职官志》9《元丰寄禄格》）。殿中丞为职事官，但未授人（参《塵史》卷上《官制》）。③崇宁二年二月建殿中省后，丞参领省事（《宋史•职官志》4《殿中省》）。,,①殿中丞。《明道杂志》：“殿中丞丘浚，多言人也。”《宋史•职官志》4《殿中省》：“殿中省监、少监、丞各一人。”②殿中。《曾巩集》卷46《故高邮主簿朱君墓志铭》：“父某赠殿中丞。……殿中之弟、工部侍郎巽。”,宋代官制辞典第288页,隋大业三年始置殿内省丞（《隋书•百官志》下）。唐武德随省名改为殿中省丞（《新唐书•百官志》2）。宋沿置，靖康元年罢（《玉海》卷121《唐殿中省》）。,,,,
,殿中省主簿,,,,,,,元祐时未置，故《元祐官品令》无；靖康元年罢，《宋史•职官志》所录绍兴后《官品》亦无。其在九寺主簿之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人（《宋会要•职官》19之4）。,,,掌本省簿册文书的管理、考核，及通管杂务事。,,殿中簿。《宋会要•职官》19之10：“诏殿中监、少、丞、簿刘瑷等各与转一官。《宋史•职官志》8《元丰以后合班之制》：“殿中省主簿崇宁二年增置。”,宋代官制辞典第288页,主簿官名，始见于战国秦昭王（前306一前251）时（《水经•江水注》引《风俗通》）。殿中省主簿始置于崇宁二年（1103）二月十二日（《宋会要•职官》19之4）。靖康元年罢。,,,,
,殿中监少丞簿,,,,,,,,,,,,,,,宋代官制辞典第288页,,,,,
,令史,,,,,,,,,,,,,,,宋代官制辞典第288页,,,,,
,书令史,,,,,,,,,,,,,,,宋代官制辞典第288页,,,,,
,贴司,,,,,,,,,,,,,,贴书。《宋会要•职官》19之7：“殿中省言：‘本省……置令史二人，书令史六人，贴司十二人。’”同前书19之4：“殿中监……监一人、少监一人、丞一人、簿一人，令史二人，书令史六人，贴书十二人。”,宋代官制辞典第288页,,,,,
,殿中省六尚局,,,,,,,,,,,,,,①六尚局。《靖康要录》卷1：“靖康元年正月五日圣旨：六尚局并依祖宗法。“《十朝纲要》卷16：“崇宁二年二月辛西，立殿中监六尚局。”②六尚。《玉海》卷121《唐殿中省》：“元丰五年欲复置六尚，如唐故事，而禁中未有其地。”《长编》卷326，元丰五年七月癸卯：“上欲厘正殿中省职事，置六尚，如唐故事。“③六局。《宋会要•职官》19之7：“其六局别更有厘正事在他局内，如乳酪院之类。”,宋代官制辞典第288页，宋代官制辞典第289页,,,,,
,殿中省提举六尚局,,,,,,,官品视内侍官所带官品。序位在延福宫使之上（同前书19之7）。,,一人（同前书卷）。,,,总领六尚局事（同前书19之9）。,,①提举官、提举。《宋会要•职官》19之9：“提举官总六尚之事。”19之8：“食直钱，提举四十贯、管勾三十五贯。”19之7：“置提举六尚局一员。”②提举六尚。《宋会要•职官》19之4：提举六尚在延福宫使之上。”,宋代官制辞典第289页,崇宁二年二月十二日始设（《宋会要•职官》19之7）。靖康元年罢。,,,,
,殿中省提举六尚局所,,,,,,,,,,,,,,殿中省提举所。《宋会要•职官》19之9：“修立成《殿中省提举所六尚局供奉库救令格式》。”同前书19之10：“提举六尚局所言：‘朝廷肇殿中省六尚局。’”,宋代官制辞典第289页,,,,,
,管勾殿中省六尚局,,,,,,,,,,,,,,①六尚管勾。《宋会要•职官》19之7：“六尚管勾欲在枢密院承旨之上。”②管干官。“管干”系“管勾”的追改称。北宋时无“管干”之名。《宋会要•职官》19之1《殿中省》：“又置提举六尚及管干官一员。”同前书19之8：“诏殿中省食直钱，……提举四十贯、管勾三十五贯。”,宋代官制辞典第289页,,,,,
,尚食局,,,,,,,,,官额有管勾官一人，典御二人，奉御六人，监门二人。吏额及工匠有：太官局膳工二百人，膳徒三十人；其余为食医四人，司珍六十人，掌库二人，杂役三十人，库典十二人，典事二人，局史六人，书吏七人。所隶局有太官局。,,,①宋前期空存其名，其职事归御厨（同前书19之2、3）。②崇宁二年二月后，供御膳馐及品尝事（同前书19之4）。,,尚食。《宋会要•职官》19之4：“中书省修立到殿中监尚食、尚药、尚酝、尚衣、尚舍、尚辇官制等。”《宋东京考》卷3《诸司•殿中省》：“六局：尚食、尚药、尚酝、尚衣、尚舍、尚辇。”,宋代官制辞典第289页,尚食之名始于秦。凡带“尚”字，均为掌天子所用物之意。尚食局之名，始于北齐（《六典》卷11《殿中省》）。北宋初存其名，元丰新制欲复其职，崇宁二年二月始正式建置，靖康元年罢（《宋会要•职官》19之3）。,,,,
,太官局,,,,,,,,,太官令五员、勾当太官局三人，膳工二百人，膳徒三十（同前书19之4）。,,,供御膳。,,,宋代官制辞典第289页,秦、汉少府属官有太官令（《汉书•百官表》上）。北齐始置光禄寺太官署（《隋书•百官志》中）。宋初，太官署事隶御厨，沿设太官（《长编》卷10壬子、《通考•职官》9《光禄卿》）。崇宁二年二月十二日于尚食局设太官局，御厨并入太官局（《宋会要•职官》19之4、8）。,,,,
,太官令,,,,,,,,,,,,,,大官。《宋会要•职官》19之4：“以御厨、翰林司凡供御事悉厘人尚食局，以直下（其下）事厘为〔太官局〕，太官令主之。⋯⋯大官外择精熟人人尚食局，通为膳工。”并参“光禄寺•太官令”条。,宋代官制辞典第289页,,,,,
,勾当太官局,,,,,,,,,,,,,,,宋代官制辞典第289页，宋代官制辞典第290页,,,,,
,尚药局,,,,,,,,,官额：管勾官一人，典御二人，奉御四人，监门二人、医师二人、御医四人、医正四人、医佐四人。吏人及工匠：药童二十人，封人三人，药工十人，掌库二人，库典七人，局长一人，典事二人，局史四人，直史四人，书吏三人，贴书十人（《宋会要•职官》19之5）。,,,①宋前期空存其名，其职事归医官院（《宋会要•职官》19之3）。②崇宁二年二月后，掌供奉御药、和剂诊候治病之事（同前书19之5）。,,尚药。《宋会要•职官》19之4：“中书省修立到殿中监尚食、尚药、尚酝、尚衣、尚舍、尚辇官制等。”同前书19之5：“尚药局掌供和剂诊、奉御药候之事。”,宋代官制辞典第290页,北齐门下省有尚药局，唐归隶殿中省（《大唐六典》卷11）。北宋沿置，靖康元年罢。,,,,
,尚酝局,,,,,,,,,官额有：管勾官一人，典御二人，奉御四人，监门二人。工匠及吏人：酒人十五人，酒工五十人，掌库二人，库典五人，局史三人，书吏二人（《宋会要•职官》19之5）。,,,供奉御用酒醴之事（《宋史•职官志》4《殿中省》）。,,尚酝。《宋会要•职官》19之4：“中书省修立到殿中监尚食、尚药、尚酝、尚衣、尚舍、尚辇官制等。”《宋东京考》卷3《诸司•殿中省》：“六局：尚食、尚药、尚酝、尚衣、尚舍、尚辇。”,宋代官制辞典第290页,北宋《元祐官品令》中始见置（《分纪》卷24《殿中省》）。靖康元年罢（《宋会要•职官》19之5、《玉海》卷122《唐殿中省》）。,,,,
,尚衣局,,,,,,,,,官额：有管勾官一人，典御二人，奉御四人，监门二人。吏人及工匠：掌库二人，衣徒三十人，典事二人，局史五人，书吏二人，贴书五人，库典十人，缝人十二人，典功二十人，染人七人。,,,①宋前期，其职事归尚衣库。②崇宁二年二月后供御衣服及冠冕之事（同前书卷）。,,尚衣。《宋会要•职官》19之4：“中书省修立到殿中监尚食、尚药、尚酝、尚衣、尚舍、尚辇官制等。”同前书19之5：“尚衣局掌供御衣服、冠冕之事。”,宋代官制辞典第290页,《周礼》有尚服中士。战国时有尚衣、尚冠之设。北齐门下省有主衣局。隋殿内省设尚衣局，唐改为殿中省尚衣局。北宋沿存其名，至崇宁二年举其职，靖康元年废（《六典》卷11、《宋会要•职官》19之5）。,,,,
