类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,都水监,,,,,,,初以侍御史知杂事之，后以员外郎以上充（《长编》卷188己丑、《通考•职官》11《都水使者》）。,,①嘉祐初置时，设判监事、同判监事各一人，知都水监丞公事二人，知都水监主簿公事一人，后又有勾当公事之设。轮监丞一员在外治河，置局号“外都水监丞司”《长编》卷188己丑、《宋会要•方域》15之5、6《治河》、《通考•职官》11《都水使者》）。②元丰正名，置都水监使者一人，都水监丞二人，都水监主簿一人。南外都水监丞、北外都水监丞各一员。其后，元丰八年，提举汴河堤岸司归隶本监，元祐间增置外都水使者、勾当公事各一员。又有都大提举修闭黄河决口、都大提举汴河堤岸司等等都提举官八人，监埽官三十五人。③南宋水官大为减少，建炎三年置都水使者一员。绍兴八年宋金议和归河南地后，于九年设南、北外都水丞各一员。十年罢。分案七，吏额三十七。所隶堤堰二十一、渡口六十五；官司有街道司（②、③项见《宋史•职官志》5《都水监》、《宋会要•方域》15之2、11、12《治河》、《玉海》卷124《嘉祐都水监》、《通考•职官》11）。一人。,,,掌内外河渠、渡口、桥梁、堤堰、川泽浚治疏导之事。江、河、淮、海所经州县，则颁布禁令（《分纪》卷23《都水使者》、《宋史•职官志》5《都水监》）。领都水监公事，即掌内外河渠、堤堰、渡口等浚治、疏导、管理公事。,,①水监。《宋会要•职官》16之3《水部员外郎》：“国朝初隶三司河渠案，后领于水监，本司无所掌。”同上书16之2《虞部员外郎》：“凡虞衡之政令，皆归三司河渠案，后领于都水监。”②都水。《宋史•河渠志》3：“诏都水度量疏浚汴河浅深。”《宋史•职官志》5《都水监》：“视汴、洛水势涨涸增损而调节之。”③都水司。《通考•职官》I1《都水使者•宋都水监》：“元丰八年，诏提举汴河堤岸司隶本监。先是导洛入汴专置堤岸司，至是归之都水司。”④都监。《宋会要•方域》15之5：“（元丰二年）近差都监干当公事钱曜。”《长编》卷300，元丰二年九月壬申：“近差都水监勾当公事钱曜检定诸埽桩料。”判都水监事差遣名。①判都水。《宋会要•方域》14之27：“嘉祐八年，贽判都水。“同上书14之20：“（嘉祐八年二月），判都水监韩天涛。“②判都水监。全称应为判都水监事。《宋史•河渠志》2：“诏判都水监俞光往治之。”《宋史•职官志》5《都水监》：“嘉祐三年，始专置监以领之。判监事一人。”,宋代官制辞典第410页,西晋武帝改水衡为都水台，隋仁寿元年（601）始置都水监（《通典•职官》9《都水使者》）。北宋嘉祐三年十一月二十二日罢三司河渠司、初置都水监（《长编》卷188己丑）。南宋绍兴十年罢（《宋史•职官志》5《都水监》）。北宋嘉祐三年十一月二十二日始置，元丰五年行新官制罢（《玉海》卷124《嘉祐都水监》）。,,,,
,同判都水监事,,,,,,,,,,,,,,①同判水监、同判。《宋会要•方域》16之6《汴河》：“同判水监杨佐。”《长编》卷188己丑：“置在京都水监，⋯⋯盐铁判官、领河渠司事杨佐同判。”《宋史•职官志》5《都水监》：“同判监事一人，以朝官以上充。”②判都水监。《宋史•河渠志》1：（治平元年）乃遣判都水监张巩、户部副使张焘等行视。“《宋会要•方域》14之20：”（治平三年）同判都水监张巩。”,宋代官制辞典第410页,,,,,
,都水监使者,,,,,,,正六品（《分纪》卷23《都水使者》）。班位在军器监大监之下、入内内侍省都都知之上（《宋史•职官志》8《元丰以后合班之制》）。,,一人。,,,为都水监长官，领都水监疏凿浚治河道、河堤、堰、渡等水利事（同上书卷）。,,①都水使者。全称应为都水监使者。宋人多习称都水使者。《职源•官品》：“正六品都水使者。”《愧郯录》卷6《寺监簿职守》：“都水监使者、丞、主簿四员。“②都水者、都水。《宋史•河渠志》2：“以王孝先代领都水。……右司谏王规言：‘都水使者王孝先暗缪，望别择人。’”《宋会要•方域》15之13：“其都水者王孝先乞重行黜降。”,宋代官制辞典第410页，宋代官制辞典第411页,西汉武帝置水衡都尉，其属官有左、右都水使者（如刘向为左都水使者）。都水监使者始置于隋炀帝时（《通典•职官》9《都水使者》）。北宋元丰五年行新制始设，绍兴十年罢（《宋史•职官志》5《都水监》）。,,,,
,知都水监丞公事,,,,,,,以朝官充（同上书卷）。,,二人（《玉海》卷124《嘉祐都水监》）。,,,参领本监公事，并轮遣一员出外治河床之事，置局于外（《宋史•职官志》5《都水监》）。,,丞、知丞事、知监丞事、知监丞公事、知都水监丞。《宋史•职官志》5《都水监》：“（嘉祐三年）丞二人。”《玉海》卷124《嘉𧙗都水监》：“孙琳、王叔贤知丞事。”《长编》卷188嘉祐三年十一月己丑：“孙琳、王叔夏知监丞事。”《宋会要•方域》14之20《治河》：“（嘉祐七年）都水监丞王叔夏。”《宋会要•方域》4之21：“（熙宁二年）司勋员外郎、知都水监丞李立之乘驿赴阙。”《分纪》卷23《都水使者》：“国朝嘉祐三年，孙琳、王叔夏并知监丞公事。”《宋会要•方域》15之6：“（元丰三年）权知都水监丞公苏液。”,宋代官制辞典第411页,北宋嘉祐三年十一月二十二日始置，元丰行新制正名，改为都水监丞（《分纪》卷23《都水使者》）。,,,,
,管勾都水监丞公事,,,,,,,,,,,,,,都水监丞。《宋史•河渠志》4：“神宗熙宁六年，都水监丞侯叔献。“《宋会要•食货》61之101《水利杂录》：“熙宁六年八月十六日，管勾都水监丞侯叔献。”,宋代官制辞典第411页,,,,,
,都水监丞,,,,,,,从八品（《职源•官品》）。班序在少府、将作、军器监丞之下，太医局正、秘书省校书郎之上（《宋史•职官志》8《元丰以后合班之制》）。,,二人。又有外监丞一至二人（《宋史•职官志》5）。,,,参领在本都水监公事。外都水监丞，出外治黄河河埽等公事（《玉海》卷124《嘉祐都水监》、《宋史•职官志》5）。,,①监丞。《宋史•河渠志》3《黄河》下：“（绍圣二年）都水使者王宗望、监丞郑佑。”《长编》卷517甲子：“俞瑾罢都水监丞。”②丞水官。《栾城集》卷27《郑佶都水监丞》：“故当今之政，水事为急，以尔佶尝丞水官，练达有素。”,宋代官制辞典第411页,秦汉已有都水丞官（《汉书•百官表》上）。都水监丞始置于隋炀帝大业三年（《隋书•百官志》下）。,,,,
,都水监内外监丞,,,,,,,,,,,,,,,宋代官制辞典第411页,,,,,
,知都水监主簿公事,,,,,,,以京朝官充（《宋史•职官志》5）。,,一人（同上书卷）。,,,掌领本监簿书，或干办本监修河公事（《宋会要•方域》15之5）。,,"主簿。《宋会要•方域》15之8：""（元丰五年）主簿李士良。”《长编》卷310，元丰三年十二月己巳：“元丰三年十二月二十一日，知都水监主簿公事李士良言：黄河见管大、小使臣一百六十余员，并委监丞以上奏举。”",宋代官制辞典第411页,北宋嘉祐三年十一月二十二日始置，元丰正名罢，直称都水监主簿（《宋史•职官志》5《都水监》、《宋会要•方域》15之6）。,,,,
,都水监主簿,,,,,,,①宋初因唐制，唐从八品下（《六典》卷23）。②元丰新制后从八品（《分纪》卷23）。其班位，五监主簿同列，但位于五监主簿之末。,,,,,①宋初，无职事，为文臣迁转官阶（《长编》卷2辛亥）。②元丰新制，掌本监簿书公事。依令，不许签书公事。后因书吏味于令文，主簿与丞同签书公事（《愧郯录》卷6《寺监簿职守》）。,,主簿。《长编》卷337元丰六年七月庚申：“诏寺监主簿止是专掌簿书，其公事自当丞以上通议施行。今取问寺监有令主簿签书公事处：……都水监使者、丞、主簿四员。”,宋代官制辞典第411页，宋代官制辞典第412页,西晋水衡都尉下设主簿，隋大业三年置都水监主簿（《六典》卷23《都水使者》）。宋初因唐沿制（《长编》卷2辛亥）。后不复设。元丰正名始除人。南宋绍兴十年罢（《宋史•职官志》5《都水监》）。,,,,
,勾当都水监公事,,,,,,,,,,,,,,都水监干当公事。应为勾当公事。《宋会要•方域》15之5：”（元丰二年）近差都水监干当公事钱曜。”《长编》卷300元丰二年九月壬中：“近差都水监勾当公事钱曜检定诸埽桩料。”,宋代官制辞典第412页,,,,,
