类别,条目名,衙署,下级机构,上级机构,隶属机构,下级官员,平级官员,官品文本,官品,编制文本,编制,编制人数,职掌文本,职掌,简称与别名,参考文档页数,职源与沿革文本,出处,始置时间,罢置时间,前身
,鸿胪寺,,,,,,,,,①宋前期，置判鸿胪寺事一人，吏额有府史三人、驱使官一人，临时或差摄鸿胪卿、摄鸿胪少卿（《宋会要•职官》25之1）。②元丰新制，置鸿胪寺卿、少卿、丞、主簿各一人。分案三、设吏九。所隶官司；往来国信所、都亭西驿，礼宾院，怀远驿，中太一宫、醴泉观、万寿观、奉慈宫、集禧观、崇真院、资圣院及建隆观提点所，在京寺务司及提点所，传法院，左、右街僧录司，同文馆及管勾所（《宋史•职官志》5《鸿胪寺》、《宋会要•职官》25之2）。③绍兴二十五年十月六日复置鸿胪寺少卿一员，二十三日即罢（《要录》卷169庚辰）。,,,①宋前期，止掌祭祀、朝会时前资官、致仕官、蕃客进奉官、僧道、耆寿陪位，享拜后周六庙、三陵及本朝公主、妃主以下丧葬差官监护，给其所用仪仗，文武官薨卒赙赠等事（《宋会要•职官》25之1）。②元丰行新制后，掌四方蕃国宾客、国之丧葬赙赠及后周陵庙祭享与柴氏后裔袭封崇义公，道释籍帐等（《分纪》卷20《鸿胪》、《宋史•职官志》5《鸿胪寺》）。,,①鸿胪。《通考•职官》10《鸿胪卿》：“中兴后，废鸿胪，并入礼部。”《宋会要•职官》25之5：“建炎三年四月十三日，诏鸿胪寺并归礼部。”②典客。拟秦官称。《栾城集》卷28《常安民鸿胪丞》：“典客之职，号为优暇。”《汉书•百官表》上：“典客，秦官，掌诸归义蛮夷。有丞。景帝中六年更名大行令，武帝太初元年改名大鸿胪。”,宋代官制辞典第348页,汉武帝太初元年（前104），改大行令为大鸿胪，鸿胪之名始于此。“鸿胪”，原义为大声传呼，以引导宾客（《汉书•百官表》上）。北齐始称鸿胪寺，为九寺之一（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日鸿胪寺并入礼部，绍兴二十五年十月六日复置寺，二十三日又罢，此后不再置司（《要录》卷22庚申，卷169庚辰、丁酉）。,,,,
,判鸿胪寺事,,,,,,,,,,,,,,,宋代官制辞典第348页,,,,,
,摄鸿胪卿,,,,,,,,,,,,,,,宋代官制辞典第348页,,,,,
,鸿胪寺卿,,,,,,,从四品（《分纪》卷20《鸿胪•卿》）。自建隆三年定《合班仪》后，在九寺卿中，鸿胪寺卿位居大理寺卿之下、司农寺卿之上（《宋史•职官志》8，页3998、页3992）。,,元丰新制定以一员（《宋史•职官志》5《鸿胪寺》）。,,,宋前期无职事。元丰新制正名，为本寺长官，总掌外国使者朝贡、设宴慰劳、给赐、迎送之事，文武官、宗室丧葬各按品级、服纪以定赙赠、奠临监护之制，京师祠庙、宫观，道释帐籍除附之禁令，及后周陵庙命官按时祭享，柴氏后裔承袭崇义公择定嫡嗣具名上尚书省等等（《宋会要•职官》25之2）。,,①鸿胪卿。《分纪》卷20《鸿胪》：“鸿胪卿从四品。”②鸿胪、睡卿。《塵史》卷下《谐谑》：“鸿胪为睡卿。……睡卿掌四夷宾客之事。”,宋代官制辞典第348页，宋代官制辞典第349页,鸿胪卿之官名始于梁天监七年（508）（《隋书•百官志》上）。鸿胪寺卿之名始于北齐（《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日后罢（《要录》卷22庚申）。,,,,
,鸿胪寺少卿,,,,,,,①宋初因唐制，唐官品为从四品下（《六典》卷18《鸿胪寺》）。②元丰改制后为正六品（《分纪》卷20《鸿胪•少卿》）。鸿胪寺少卿属七寺少卿（自光禄少卿至太府少卿），元祐元年十二月十日，新定其序位，由位在少府、将作、军器监、都水使者之上，改降在下（《长编》卷393甲午）。,,①元丰新制定以一员为额（《宋史•职官志》5《鸿胪寺》）。②绍兴二十五年十月复置一员（《要录》卷169庚辰）。,,,元丰正名后，少卿为正卿之副贰，佐卿领寺事（《通考•职官》10《鸿胪卿》）。,,鸿胪少卿。《长编》卷31四月：“袁廓为鸿胪少卿。”《宋会要•职官》25之2：“鸿胪寺……少卿，正六品。”,宋代官制辞典第349页,北魏太和十五年（491）始设大鸿胪少卿（《魏书•官氏志》、《六典》卷18《鸿胪寺》）。鸿胪寺少卿始置于北齐（《隋书•百官志》中）。北宋前期虽沿置，实罕除，淳化元年四月，欲振起寺监副贰，曾除人（《长编》卷31）。南宋建炎三年四月十三日罢。绍兴二十五年十月六日复置少卿，二十三日又罢（《要录》卷169庚辰、丁酉）。,,,,
,鸿胪寺丞,,,,,,,①宋初依唐制，唐时官品为从六品下（《六典》卷18《鸿胪寺》）。②元丰改制后为正八品（《职源撮要•官品》）。列为七寺丞之一，元丰后，位于诸监丞之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰新制一人为额（《宋史•职官志》5《鸿胪寺》）。,,,①宋前期无职事，或为文臣迁转官阶（《长编》卷20己亥）。②元丰正名后，参领本寺事（《通考•职官》）。,,鸿胪丞。《栾城集》卷28《常安民鸿胪丞》。《长编》卷20，太平兴国四年十一月己亥：“鸿胪寺丞王在田为陆路转运判官。”,宋代官制辞典第349页,秦典官丞、西汉大行治礼丞、北魏大鸿胪卿丞，至北齐演变为鸿胪寺丞（《汉书•百官表》上、《汉书•萧望之传》、《魏书•官氏志》、《隋书•百官志》中）。北宋沿置。南宋建炎三年四月十三日罢（《要录》卷22庚申）。,,,,
,鸿胪寺主簿,,,,,,,元丰新制后从八品不变（《宋会要•职官》25之2、《分纪》卷20《鸿胪•主簿》）。其班位，作九寺主簿之一，位于御史台主簿之下、五监主簿之上（《宋史•职官志》8《元丰以后合班之制》）。,,元丰官制编制一人（《宋会要•职官》25之2）。,,,元丰正名后，以勾考本寺簿书为职，不得签书公事（《愧郯录》卷6《寺监簿职守》）。,,鸿胪簿。《事物纪原》卷5《三省纲辖部》：“鸿胪簿。”《分纪》卷20《鸿胪•主簿》：“国朝《元祐官品令》，鸿胪寺主簿从八品。”,宋代官制辞典第349页,汉朝有鸿胪主簿（据《分纪》卷20《鸿胪•主簿》所引《六典》）。鸿胪寺主簿始见于北齐（《隋书•百官志》中）。北宋因之。南宋建炎三年四月十三日罢（《要录》卷22庚申）。,,,,
,往来国信所,,,,,,,,,,,,,,,宋代官制辞典第349页,,,,,
,都亭驿,,,,,,,,,设监都亭驿官一人（《通考•职官》10《鸿胪卿》）。吏额有专知官、副知各一人，手分、贴司、库级各一人，库子二人，院子七人，兵级四十人（《宋会要•方域》10之11）。,,,①北宋时接待辽国使者之所（《东京梦华录》卷2《宣德楼前省府宫宇》、《契丹国志》卷21《宋朝劳契丹人使物件》）。②南宋时接待金国使者之使馆（《宋会要•职官》36之68）。,,使馆。馆驿或通称使馆。《长编》卷464乙未：“都亭驿常为辽使馆。”,宋代官制辞典第349页，宋代官制辞典第350页,“驿”之名始于汉，邮骑传递之馆（旅店），设在四方者，称驿。汉朝有“筹笔驿”（《玉海》卷172《邮驿•汉筹笔驿》）。都亭驿之名起于唐：“开元十五年四月敕两京都亭驿出使人”（《唐会要》卷172《唐都亭驿》）。北宋太平兴国二年八月，改东京怀信驿（后周世宗置）为都亭驿（《朱会要•方域》10之14）。位于东京西大街街北（《东京梦华录》卷2《宣德楼前省府宫宇》）。南宋沿置，设于临安府，在候潮门里（《乾道临安志》卷1《馆驿》）。,,,,
,都亭西驿,,,,,,,,,置管勾都亭西驿所，管勾官二人《通考•职官》10《鸿胪卿》）。,,,接待河西番部（包括西夏国）使者之所（《宋史•职官志》《鸿胪寺》）。,,西驿。《通考•职官》10《鸿胪卿》：“西驿管勾官二人，以诸司使、副以下至三班使臣充。掌河西蕃部贡奉之事。”《宋史•职官志》5《鸿胪寺》：“都亭西驿及管勾所，掌河西蕃部贡奉之事。”,宋代官制辞典第350页,北宋大中祥符间置（《玉海》卷172《宫室邸驿》、《宋会要•职官》10之14）。位于东京皇城西掖门外大佛寺附近（《东京梦华录》卷3《大内西掖门外街巷》）。,,,,
